Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Mason Rudolph,TEN,22,38,266,12.0,30.8,335,8.8,187,8.5,4.9,79,3.6,1,2.6%,13,34.2%,1,8,4,4,9,22.0%,2,12.5,8.0,2024,109
Jared Goff,DET,12,15,85,8.0,42.1,50,3.3,16,1.3,1.1,69,5.8,0,0.0%,1,7.1%,4,5,0,1,5,26.3%,0,,8.0,2024,109
Hendon Hooker,DET,2,3,6,,,15,5.0,-1,-0.5,-0.3,7,3.5,0,0.0%,1,33.3%,0,0,1,0,1,33.3%,0,,8.0,2024,109
David Montgomery,DET,1,1,3,1.0,100.0,3,3.0,3,3.0,3.0,0,0.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,8.0,2024,109
