Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Bears to receive the opening kickoff.",,,8.0,2024,119
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,119
1.0,15:00,1.0,10.0,CHI 30,0.0,0.0,D'Andre Swift right guard for 1 yard (tackle by Jeremy Chinn),0.94,0.53,8.0,2024,119
1.0,14:26,2.0,9.0,CHI 31,0.0,0.0,Caleb Williams sacked by Jer'Zhan Newton for -6 yards,0.53,-0.96,8.0,2024,119
1.0,13:41,3.0,15.0,CHI 25,0.0,0.0,"Penalty on Caleb Williams: Delay of Game, 5 yards (accepted) (no play)",-0.96,-1.62,8.0,2024,119
1.0,13:41,3.0,20.0,CHI 20,0.0,0.0,Caleb Williams pass incomplete short middle intended for D.J. Moore,-1.62,-2.03,8.0,2024,119
1.0,13:17,4.0,20.0,CHI 20,0.0,0.0,"Tory Taylor punts 68 yards, returned by Olamide Zaccheaus for 21 yards. Olamide Zaccheaus fumbles (tackle by Amen Ogbongbemiga, recovered by Jeremy McNichols at WAS-36",-2.03,-1.33,8.0,2024,119
1.0,13:03,1.0,10.0,WAS 36,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by T.J. Edwards),1.33,1.06,8.0,2024,119
1.0,12:39,2.0,8.0,WAS 38,0.0,0.0,Jayden Daniels pass complete short middle to Zach Ertz for 12 yards (tackle by Elijah Hicks),1.06,2.26,8.0,2024,119
1.0,12:03,1.0,10.0,WAS 50,0.0,0.0,Jayden Daniels right end for 9 yards (tackle by Montez Sweat),2.26,2.93,8.0,2024,119
1.0,11:30,2.0,1.0,CHI 41,0.0,0.0,Brian Robinson right guard for 6 yards (tackle by Tremaine Edmunds and Tyrique Stevenson),2.93,3.25,8.0,2024,119
1.0,10:54,1.0,10.0,CHI 35,0.0,0.0,Brian Robinson right end for 19 yards (tackle by Elijah Hicks),3.25,4.51,8.0,2024,119
