Quarter,Time,Tm,Detail,KAN,LVR,week,year,game_id
1.0,10:02,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),7,0,8.0,2024,120
,2:39,Raiders,Jakobi Meyers 7 yard pass from Gardner Minshew II (Daniel Carlson kick),7,7,8.0,2024,120
2.0,10:13,Raiders,Daniel Carlson 54 yard field goal,7,10,8.0,2024,120
,1:57,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),14,10,8.0,2024,120
,0:04,Chiefs,Harrison Butker 42 yard field goal,17,10,8.0,2024,120
3.0,6:40,Raiders,Daniel Carlson 32 yard field goal,17,13,8.0,2024,120
4.0,8:44,Chiefs,Harrison Butker 24 yard field goal,20,13,8.0,2024,120
,4:59,Chiefs,Xavier Worthy 9 yard pass from Patrick Mahomes (Harrison Butker kick),27,13,8.0,2024,120
,2:03,Raiders,DJ Turner 11 yard pass from Gardner Minshew II (Daniel Carlson kick),27,20,8.0,2024,120
