Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Aaron Rodgers,NYJ,17,28,233,12,41.4,274,9.8,166,9.8,5.9,67,3.9,2,8.0%,4,16.0%,1,5,2,4,7,24.1%,0,,8.0,2024,116
Jacoby Brissett,NWE,15,24,132,6,24.0,178,7.4,70,4.7,2.9,62,4.1,4,17.4%,3,13.0%,1,7,1,1,3,11.5%,1,14.0,8.0,2024,116
Drake Maye,NWE,3,6,23,1,14.3,65,10.8,7,2.3,1.2,16,5.3,1,16.7%,1,16.7%,1,1,0,0,1,10.0%,3,15.3,8.0,2024,116
