Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Cardinals,0.0,12.76,18.1,-2.21,0.0,-17.63,-10.12,-7.51,0.0,3.43,-5.09,6.25,1.85,-0.42,0.84,8.0,2024,114
Dolphins,0.0,17.63,10.12,7.51,0.0,-12.76,-18.1,2.21,0.0,-3.43,-6.25,5.09,0.42,-1.85,-0.84,8.0,2024,114
