Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,8.0,2024,114
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 64 yards, returned by D'Wayne Eskridge for 35 yards (tackle by Darren Hall)",0.0,1.33,8.0,2024,114
1.0,14:55,1.0,10.0,MIA 36,0.0,0.0,De'Von Achane left tackle for 11 yards (tackle by Garrett Williams and Max Melton),1.33,2.06,8.0,2024,114
1.0,14:33,1.0,10.0,MIA 47,0.0,0.0,Tua Tagovailoa pass complete short left to Alec Ingold for 16 yards (tackle by Jalen Thompson),2.06,3.12,8.0,2024,114
1.0,13:59,1.0,10.0,ARI 37,0.0,0.0,"Tua Tagovailoa sacked by Dante Stills for -7 yards. Tua Tagovailoa fumbles (forced by Dante Stills), recovered by Austin Jackson at ARI-44 (tackle by Dante Stills)",3.12,1.63,8.0,2024,114
1.0,13:34,2.0,17.0,ARI 44,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 8 yards (tackle by Mack Wilson),1.63,2.01,8.0,2024,114
1.0,12:54,3.0,9.0,ARI 36,0.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 13 yards (tackle by Garrett Williams and Budda Baker),2.01,4.04,8.0,2024,114
1.0,12:18,1.0,10.0,ARI 23,0.0,0.0,De'Von Achane right tackle for 9 yards (tackle by Max Melton and Naquan Jones),4.04,4.95,8.0,2024,114
1.0,11:38,2.0,1.0,ARI 14,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 6 yards (tackle by Jalen Thompson),4.95,5.37,8.0,2024,114
1.0,11:03,1.0,8.0,ARI 8,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill (defended by Budda Baker),5.37,4.57,8.0,2024,114
1.0,10:51,2.0,8.0,ARI 8,0.0,0.0,"Tua Tagovailoa pass complete short left to Julian Hill for 4 yards. Julian Hill fumbles (forced by Victor Dimukeje), recovered by Robert Jones at ARI-1 (tackle by Victor Dimukeje)",4.57,5.17,8.0,2024,114
1.0,10:17,3.0,1.0,ARI 1,0.0,6.0,"Raheem Mostert up the middle for 1 yard, touchdown",5.17,7.0,8.0,2024,114
1.0,10:15,,,ARI 15,0.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2024,114
1.0,10:15,,,MIA 35,0.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
1.0,10:15,1.0,10.0,ARI 30,0.0,7.0,James Conner left tackle for 4 yards (tackle by Jordan Poyer),0.94,0.93,8.0,2024,114
1.0,9:39,2.0,6.0,ARI 34,0.0,7.0,Kyler Murray pass incomplete short right intended for James Conner (defended by Jalen Ramsey),0.93,0.23,8.0,2024,114
1.0,9:34,,,,,,Timeout #1 by Arizona Cardinals,,,8.0,2024,114
1.0,9:34,3.0,6.0,ARI 34,0.0,7.0,Kyler Murray pass incomplete short right intended for Trey McBride (defended by Calais Campbell),0.23,-1.11,8.0,2024,114
1.0,9:31,4.0,6.0,ARI 34,0.0,7.0,"Blake Gillikin punts 60 yards, returned by Malik Washington for 19 yards (tackle by Victor Dimukeje and Owen Pappoe)",-1.11,-0.61,8.0,2024,114
1.0,9:17,1.0,10.0,MIA 25,0.0,7.0,De'Von Achane right tackle for 4 yards (tackle by Dante Stills),0.61,0.6,8.0,2024,114
1.0,8:42,2.0,6.0,MIA 29,0.0,7.0,Tua Tagovailoa pass complete short left to De'Von Achane for 5 yards (tackle by Kyzir White),0.6,0.56,8.0,2024,114
1.0,7:57,3.0,1.0,MIA 34,0.0,7.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 4 yards (tackle by Jalen Thompson),0.56,1.47,8.0,2024,114
1.0,7:19,1.0,10.0,MIA 38,0.0,7.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for -1 yards (tackle by Budda Baker),1.47,0.79,8.0,2024,114
1.0,6:38,2.0,11.0,MIA 37,0.0,7.0,Jaylen Wright left end for 6 yards (tackle by Mack Wilson),0.79,0.89,8.0,2024,114
1.0,5:58,3.0,5.0,MIA 43,0.0,7.0,Tua Tagovailoa pass complete short right to D'Wayne Eskridge for 6 yards (tackle by Budda Baker and Max Melton),0.89,2.19,8.0,2024,114
1.0,5:17,1.0,10.0,MIA 49,0.0,7.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at MIA-49 and returned for -1 yards",2.19,1.51,8.0,2024,114
1.0,4:34,2.0,11.0,MIA 48,0.0,7.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 11 yards (tackle by Jalen Thompson and Budda Baker),1.51,2.85,8.0,2024,114
1.0,3:52,1.0,10.0,ARI 41,0.0,7.0,Raheem Mostert up the middle for 1 yard (tackle by L.J. Collier and Naquan Jones),2.85,2.44,8.0,2024,114
1.0,3:13,2.0,9.0,ARI 40,0.0,7.0,"Tua Tagovailoa pass complete short left to De'Von Achane for no gain (tackle by Jesse Luketa). Penalty on Austin Jackson: Offensive Holding, 10 yards (accepted) (no play)",2.44,1.09,8.0,2024,114
1.0,2:41,2.0,19.0,ARI 50,0.0,7.0,Jaylen Wright right end for 12 yards (tackle by Jalen Thompson),1.09,2.02,8.0,2024,114
1.0,2:01,3.0,7.0,ARI 38,0.0,7.0,Tua Tagovailoa pass complete short right to De'Von Achane for 3 yards (tackle by Kyzir White),2.02,0.98,8.0,2024,114
1.0,1:21,4.0,4.0,ARI 35,0.0,10.0,Jason Sanders 53 yard field goal good,0.98,3.0,8.0,2024,114
1.0,1:16,,,MIA 35,0.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
1.0,1:16,1.0,10.0,ARI 30,0.0,10.0,Kyler Murray pass complete deep right to Marvin Harrison for 25 yards (tackle by Jevon Holland),0.94,2.59,8.0,2024,114
1.0,0:37,1.0,10.0,MIA 45,0.0,10.0,"James Conner right guard for 2 yards (tackle by Jordyn Brooks and Calais Campbell). Penalty on Neil Farrell: Defensive Holding, 5 yards (accepted)",2.59,3.05,8.0,2024,114
1.0,0:14,1.0,10.0,MIA 38,0.0,10.0,Kyler Murray pass complete short left to Marvin Harrison for 8 yards (tackle by David Long),3.05,3.59,8.0,2024,114
2.0,15:00,2.0,2.0,MIA 30,0.0,10.0,Trey Benson left tackle for 10 yards (tackle by Jevon Holland and Jordan Poyer),3.59,4.24,8.0,2024,114
2.0,14:21,1.0,10.0,MIA 20,0.0,10.0,James Conner right guard for no gain (tackle by Da'Shawn Hand and Benito Jones),4.24,3.69,8.0,2024,114
2.0,13:38,2.0,10.0,MIA 20,0.0,10.0,Kyler Murray pass complete short left to Trey McBride for 12 yards (tackle by Jalen Ramsey),3.69,5.37,8.0,2024,114
2.0,13:03,1.0,8.0,MIA 8,0.0,10.0,Kyler Murray pass complete short right to Elijah Higgins for 7 yards (tackle by Jevon Holland),5.37,5.91,8.0,2024,114
2.0,12:33,2.0,1.0,MIA 1,0.0,10.0,James Conner left guard for no gain (tackle by Emmanuel Ogbah),5.91,5.17,8.0,2024,114
2.0,11:50,3.0,1.0,MIA 1,0.0,10.0,"Penalty on Tip Reiman: False Start, 5 yards (accepted) (no play)",5.17,4.04,8.0,2024,114
2.0,11:37,3.0,6.0,MIA 6,6.0,10.0,"Kyler Murray pass complete short left to Michael Wilson for 6 yards, touchdown",4.04,7.0,8.0,2024,114
2.0,11:28,,,MIA 15,7.0,10.0,Chad Ryland kicks extra point good,0.0,0.0,8.0,2024,114
2.0,11:28,,,ARI 35,7.0,10.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,114
2.0,11:28,1.0,10.0,MIA 30,7.0,10.0,De'Von Achane left tackle for 7 yards (tackle by Mack Wilson and Jalen Thompson),0.94,1.34,8.0,2024,114
2.0,10:51,2.0,3.0,MIA 37,7.0,10.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle (defended by Kyzir White),1.34,0.63,8.0,2024,114
2.0,10:44,3.0,3.0,MIA 37,7.0,10.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 5 yards (tackle by Starling Thomas),0.63,1.73,8.0,2024,114
2.0,10:08,1.0,10.0,MIA 42,7.0,10.0,De'Von Achane right guard for 2 yards (tackle by L.J. Collier and Dante Stills),1.73,1.46,8.0,2024,114
2.0,9:31,2.0,8.0,MIA 44,7.0,10.0,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith,1.46,0.76,8.0,2024,114
2.0,9:23,3.0,8.0,MIA 44,7.0,10.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,0.76,-0.46,8.0,2024,114
2.0,9:17,4.0,8.0,MIA 44,7.0,10.0,"Jake Bailey punts 56 yards, touchback.",-0.46,-0.28,8.0,2024,114
2.0,9:08,1.0,10.0,ARI 20,7.0,10.0,James Conner left tackle for -3 yards (tackle by Chop Robinson),0.28,-0.79,8.0,2024,114
2.0,8:29,2.0,13.0,ARI 17,7.0,10.0,Kyler Murray pass complete short left to Michael Wilson for 12 yards (tackle by Cam Smith and Jordan Poyer),-0.79,0.23,8.0,2024,114
2.0,8:00,3.0,1.0,ARI 29,7.0,10.0,Kyler Murray pass complete short right to Zay Jones for 3 yards (tackle by Jevon Holland),0.23,1.07,8.0,2024,114
2.0,7:25,1.0,10.0,ARI 32,7.0,10.0,Kyler Murray right end for 6 yards (tackle by Jalen Ramsey),1.07,1.34,8.0,2024,114
2.0,6:47,2.0,4.0,ARI 38,7.0,10.0,Kyler Murray pass complete short middle to Trey McBride for 6 yards (tackle by David Long),1.34,1.86,8.0,2024,114
2.0,6:09,1.0,10.0,ARI 44,7.0,10.0,James Conner left tackle for 7 yards (tackle by Jalen Ramsey),1.86,2.26,8.0,2024,114
2.0,5:42,2.0,3.0,MIA 49,7.0,10.0,James Conner left guard for 2 yards (tackle by Calais Campbell and Jordyn Brooks),2.26,1.82,8.0,2024,114
2.0,5:14,3.0,1.0,MIA 47,7.0,10.0,James Conner up the middle for 2 yards (tackle by Calais Campbell),1.82,2.59,8.0,2024,114
2.0,4:36,1.0,10.0,MIA 45,7.0,10.0,Kyler Murray pass incomplete deep left intended for Marvin Harrison,2.59,2.04,8.0,2024,114
2.0,4:27,2.0,10.0,MIA 45,7.0,10.0,Kyler Murray left guard for 3 yards (tackle by Brandon Pili),2.04,1.75,8.0,2024,114
2.0,3:54,3.0,7.0,MIA 42,7.0,10.0,Kyler Murray pass incomplete short right intended for Michael Wilson (defended by Kendall Fuller),1.75,0.46,8.0,2024,114
2.0,3:51,4.0,7.0,MIA 42,7.0,10.0,Blake Gillikin punts 37 yards downed by Aaron Brewer,0.46,0.38,8.0,2024,114
2.0,3:42,1.0,10.0,MIA 5,7.0,10.0,Raheem Mostert left guard for 1 yard (tackle by Budda Baker and L.J. Collier),-0.38,-0.71,8.0,2024,114
