Unnamed: 0,MIN,LAR,week,year,game_id
First Downs,17,26,8.0,2024,108
Rush-Yds-TDs,22-64-0,32-107-0,8.0,2024,108
Cmp-Att-Yd-TD-INT,18-25-240-2-0,25-34-279-4-1,8.0,2024,108
Sacked-Yards,3-28,0-0,8.0,2024,108
Net Pass Yards,212,279,8.0,2024,108
Total Yards,276,386,8.0,2024,108
Fumbles-Lost,0-0,0-0,8.0,2024,108
Turnovers,0,1,8.0,2024,108
Penalties-Yards,9-50,6-40,8.0,2024,108
Third Down Conv.,2-7,4-10,8.0,2024,108
Fourth Down Conv.,0-0,1-1,8.0,2024,108
Time of Possession,26:23,33:37,8.0,2024,108
