Unnamed: 0,ARI,MIA,week,year,game_id
First Downs,22,22,8.0,2024,114
Rush-Yds-TDs,26-82-1,25-150-2,8.0,2024,114
Cmp-Att-Yd-TD-INT,26-36-307-2-0,28-38-234-1-0,8.0,2024,114
Sacked-Yards,0-0,1-7,8.0,2024,114
Net Pass Yards,307,227,8.0,2024,114
Total Yards,389,377,8.0,2024,114
Fumbles-Lost,1-0,4-0,8.0,2024,114
Turnovers,0,0,8.0,2024,114
Penalties-Yards,4-29,2-15,8.0,2024,114
Third Down Conv.,7-13,11-15,8.0,2024,114
Fourth Down Conv.,0-0,0-0,8.0,2024,114
Time of Possession,29:29,30:31,8.0,2024,114
