Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Steelers to receive the opening kickoff.",,,8.0,2024,123
1.0,15:00,,,NYG 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
1.0,15:00,1.0,10.0,PIT 30,0.0,0.0,Russell Wilson pass complete short right to Calvin Austin for 12 yards (tackle by Andru Phillips),0.94,1.73,8.0,2024,123
1.0,14:30,1.0,10.0,PIT 42,0.0,0.0,Najee Harris right guard for 5 yards (tackle by Brian Burns),1.73,1.86,8.0,2024,123
1.0,14:05,2.0,5.0,PIT 47,0.0,0.0,Russell Wilson pass complete short right to Van Jefferson for 4 yards (tackle by Nick McCloud),1.86,1.69,8.0,2024,123
1.0,13:36,3.0,1.0,NYG 49,0.0,0.0,Najee Harris left guard for 10 yards (tackle by Bobby Okereke),1.69,2.98,8.0,2024,123
1.0,13:07,1.0,10.0,NYG 39,0.0,0.0,Najee Harris left tackle for 10 yards (tackle by Jason Pinnock and Tyler Nubin),2.98,3.64,8.0,2024,123
1.0,12:39,,,,,,Timeout #1 by New York Giants,,,8.0,2024,123
1.0,12:39,1.0,10.0,NYG 29,0.0,0.0,Jaylen Warren right tackle for 17 yards (tackle by Andru Phillips),3.64,4.78,8.0,2024,123
1.0,12:05,1.0,10.0,NYG 12,0.0,0.0,Jaylen Warren left guard for 1 yard (tackle by D.J. Davidson and Bobby Okereke),4.78,4.27,8.0,2024,123
1.0,11:40,2.0,9.0,NYG 11,0.0,0.0,"Russell Wilson pass complete short right to George Pickens for no gain, touchdown. Penalty on Broderick Jones: Offensive Facemask, 15 yards (accepted) (no play)",4.27,2.33,8.0,2024,123
1.0,11:35,2.0,24.0,NYG 26,0.0,0.0,Jaylen Warren up the middle for 4 yards (tackle by Armon Watts and Dexter Lawrence),2.33,2.21,8.0,2024,123
1.0,11:04,3.0,20.0,NYG 22,0.0,0.0,Russell Wilson pass complete short left to Jaylen Warren for 9 yards (tackle by Tyler Nubin),2.21,2.57,8.0,2024,123
1.0,10:23,4.0,11.0,NYG 13,0.0,3.0,Chris Boswell 31 yard field goal good,2.57,3.0,8.0,2024,123
1.0,10:19,,,PIT 35,0.0,3.0,"Chris Boswell kicks off 64 yards, returned by Ihmir Smith-Marsette for 29 yards (tackle by Payton Wilson and Miles Killebrew)",0.0,0.94,8.0,2024,123
1.0,10:12,1.0,10.0,NYG 30,0.0,3.0,Tyrone Tracy right guard for 5 yards (tackle by T.J. Watt),0.94,1.07,8.0,2024,123
1.0,9:38,2.0,5.0,NYG 35,0.0,3.0,Tyrone Tracy up the middle for 4 yards (tackle by DeShon Elliott and Larry Ogunjobi),1.07,0.89,8.0,2024,123
1.0,9:02,3.0,1.0,NYG 39,0.0,3.0,Daniel Jones up the middle for 2 yards (tackle by Keeanu Benton and Patrick Queen),0.89,1.66,8.0,2024,123
1.0,8:24,1.0,10.0,NYG 41,0.0,3.0,Daniel Jones pass complete deep middle to Darius Slayton for 43 yards (tackle by Donte Jackson),1.66,4.51,8.0,2024,123
1.0,7:37,1.0,10.0,PIT 16,0.0,3.0,Daniel Jones pass complete short left to Tyrone Tracy for 5 yards (tackle by Donte Jackson and Isaiahh Loudermilk),4.51,4.76,8.0,2024,123
1.0,7:04,2.0,5.0,PIT 11,0.0,3.0,Tyrone Tracy right guard for -2 yards (tackle by Elandon Roberts),4.76,3.54,8.0,2024,123
1.0,6:19,3.0,7.0,PIT 13,0.0,3.0,"Penalty on Daniel Jones: Delay of Game, 5 yards (accepted) (no play)",3.54,2.94,8.0,2024,123
1.0,6:00,3.0,12.0,PIT 18,0.0,3.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Keeanu Benton),2.94,2.75,8.0,2024,123
1.0,5:23,4.0,5.0,PIT 11,3.0,3.0,Greg Joseph 29 yard field goal good,2.75,3.0,8.0,2024,123
1.0,5:19,,,NYG 35,3.0,3.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,123
1.0,5:19,1.0,10.0,PIT 30,3.0,3.0,Najee Harris up the middle for 7 yards (tackle by Jason Pinnock),0.94,1.34,8.0,2024,123
1.0,4:53,2.0,3.0,PIT 37,3.0,3.0,Russell Wilson pass complete deep right to Darnell Washington for 29 yards (tackle by Tyler Nubin),1.34,3.31,8.0,2024,123
1.0,4:13,1.0,10.0,NYG 34,3.0,3.0,Najee Harris left guard for 26 yards (tackle by Jason Pinnock),3.31,5.37,8.0,2024,123
1.0,3:43,1.0,8.0,NYG 8,3.0,3.0,Najee Harris right guard for 1 yard (tackle by D.J. Davidson and Rakeem Nunez-Roches),5.37,4.76,8.0,2024,123
1.0,3:20,2.0,7.0,NYG 7,3.0,3.0,Russell Wilson pass incomplete short right intended for Van Jefferson,4.76,3.81,8.0,2024,123
1.0,3:16,3.0,7.0,NYG 7,3.0,3.0,Russell Wilson pass incomplete short middle intended for Calvin Austin (defended by Isaiah Simmons),3.81,2.97,8.0,2024,123
1.0,3:08,4.0,7.0,NYG 7,3.0,6.0,Chris Boswell 25 yard field goal good,2.97,3.0,8.0,2024,123
1.0,3:05,,,PIT 35,3.0,6.0,"Chris Boswell kicks off 55 yards, returned by Ihmir Smith-Marsette for 24 yards (tackle by James Pierre and Jeremiah Moon)",0.0,1.2,8.0,2024,123
1.0,2:51,1.0,10.0,NYG 34,3.0,6.0,"Tyrone Tracy right guard for 4 yards (tackle by Minkah Fitzpatrick and Joey Porter). Penalty on Jon Runyan: Offensive Holding, 10 yards (accepted)",1.2,0.81,8.0,2024,123
1.0,2:37,1.0,16.0,NYG 28,3.0,6.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 8 yards (tackle by Patrick Queen and DeShon Elliott),0.81,0.93,8.0,2024,123
1.0,2:00,2.0,8.0,NYG 36,3.0,6.0,Tyrone Tracy right guard for 10 yards (tackle by Minkah Fitzpatrick and Patrick Queen),0.93,1.99,8.0,2024,123
1.0,1:22,1.0,10.0,NYG 46,3.0,6.0,"Daniel Jones pass complete short left to Theo Johnson for no gain (tackle by Patrick Queen). Penalty on Chris Hubbard: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.99,1.66,8.0,2024,123
1.0,0:48,1.0,15.0,NYG 41,3.0,6.0,"Daniel Jones pass complete short left to Devin Singletary for 8 yards (tackle by Beanie Bishop and Payton Wilson). Penalty on Alex Highsmith: Roughing the Passer, 15 yards (accepted)",1.66,3.18,8.0,2024,123
1.0,0:19,1.0,10.0,PIT 36,3.0,6.0,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.18,2.64,8.0,2024,123
1.0,0:13,2.0,10.0,PIT 36,3.0,6.0,Tyrone Tracy left tackle for 3 yards (tackle by Elandon Roberts and Joey Porter),2.64,2.35,8.0,2024,123
2.0,15:00,3.0,7.0,PIT 33,3.0,6.0,"Penalty on Greg Van Roten: False Start, 5 yards (accepted) (no play)",2.35,1.69,8.0,2024,123
2.0,15:00,3.0,12.0,PIT 38,3.0,6.0,Daniel Jones pass complete short left to Malik Nabers for 10 yards (tackle by Joey Porter and Minkah Fitzpatrick),1.69,1.7,8.0,2024,123
2.0,14:19,4.0,2.0,PIT 28,3.0,6.0,Daniel Jones pass complete short right to Malik Nabers for 5 yards (tackle by Beanie Bishop),1.7,4.04,8.0,2024,123
