Quarter,Time,Tm,Detail,NOR,LAC,week,year,game_id
1.0,10:20,Saints,Safety,2,0,8.0,2024,118
2.0,14:55,Chargers,Cameron Dicker 46 yard field goal,2,3,8.0,2024,118
,1:37,Chargers,J.K. Dobbins 1 yard rush (Cameron Dicker kick failed),2,9,8.0,2024,118
,0:05,Saints,Blake Grupe 40 yard field goal,5,9,8.0,2024,118
3.0,8:48,Chargers,Ladd McConkey 60 yard pass from Justin Herbert (Cameron Dicker kick),5,16,8.0,2024,118
,1:05,Saints,Blake Grupe 43 yard field goal,8,16,8.0,2024,118
4.0,11:55,Chargers,Cameron Dicker 29 yard field goal,8,19,8.0,2024,118
,3:22,Chargers,Ladd McConkey 9 yard pass from Justin Herbert (Cameron Dicker kick),8,26,8.0,2024,118
