Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,8.0,2024,120
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
1.0,15:00,1.0,10.0,KAN 30,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for -1 yards (tackle by Nate Hobbs and Jakorian Bennett),0.94,0.26,8.0,2024,120
1.0,14:30,2.0,11.0,KAN 29,0.0,0.0,Kareem Hunt right guard for 4 yards (tackle by Divine Deablo and K'Lavon Chaisson),0.26,0.1,8.0,2024,120
1.0,13:52,3.0,7.0,KAN 33,0.0,0.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 13 yards (tackle by Nate Hobbs),0.1,1.99,8.0,2024,120
1.0,13:14,1.0,10.0,KAN 46,0.0,0.0,Patrick Mahomes pass complete deep left to Travis Kelce for 25 yards (tackle by Divine Deablo),1.99,3.64,8.0,2024,120
1.0,12:36,1.0,10.0,LVR 29,0.0,0.0,Kareem Hunt up the middle for 5 yards (tackle by John Jenkins),3.64,3.78,8.0,2024,120
1.0,11:53,2.0,5.0,LVR 24,0.0,0.0,Kareem Hunt left guard for no gain (tackle by K'Lavon Chaisson),3.78,3.07,8.0,2024,120
1.0,11:16,3.0,5.0,LVR 24,0.0,0.0,Patrick Mahomes pass complete short right to Samaje Perine for 21 yards (tackle by Robert Spillane and Tre'von Moehrig),3.07,6.51,8.0,2024,120
1.0,10:32,1.0,3.0,LVR 3,0.0,0.0,Kareem Hunt right guard for 2 yards (tackle by Robert Spillane and Jonah Laulu),6.51,5.91,8.0,2024,120
1.0,10:08,2.0,1.0,LVR 1,6.0,0.0,"Kareem Hunt right guard for 1 yard, touchdown",5.91,7.0,8.0,2024,120
1.0,10:02,,,LVR 15,7.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,8.0,2024,120
1.0,10:02,,,KAN 35,7.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
1.0,10:02,1.0,10.0,LVR 30,7.0,0.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",0.94,0.61,8.0,2024,120
1.0,10:02,1.0,15.0,LVR 25,7.0,0.0,Alexander Mattison right guard for 3 yards (tackle by Leo Chenal),0.61,0.12,8.0,2024,120
1.0,9:27,2.0,12.0,LVR 28,7.0,0.0,Gardner Minshew pass complete short right to Alexander Mattison for 7 yards (tackle by Drue Tranquill and Trent McDuffie),0.12,0.37,8.0,2024,120
1.0,8:41,3.0,5.0,LVR 35,7.0,0.0,Gardner Minshew pass complete short left to Jakobi Meyers for 11 yards (tackle by Nick Bolton),0.37,1.99,8.0,2024,120
1.0,7:58,1.0,10.0,LVR 46,7.0,0.0,DJ Turner right end for 4 yards (tackle by Nick Bolton),1.99,1.99,8.0,2024,120
1.0,7:23,2.0,6.0,LVR 50,7.0,0.0,Gardner Minshew pass complete short left to Tre Tucker for 20 yards (tackle by Bryan Cook),1.99,3.58,8.0,2024,120
1.0,6:46,1.0,10.0,KAN 30,7.0,0.0,Alexander Mattison left guard for 2 yards (tackle by Nick Bolton),3.58,3.3,8.0,2024,120
1.0,6:07,2.0,8.0,KAN 28,7.0,0.0,Alexander Mattison up the middle for 1 yard (tackle by Tershawn Wharton and Drue Tranquill),3.3,2.74,8.0,2024,120
1.0,5:25,3.0,7.0,KAN 27,7.0,0.0,Gardner Minshew pass complete short left to Brock Bowers for 8 yards (tackle by Bryan Cook),2.74,4.31,8.0,2024,120
1.0,4:48,1.0,10.0,KAN 19,7.0,0.0,Tre Tucker left end for 7 yards (tackle by Nazeeh Johnson and Malik Herring),4.31,4.92,8.0,2024,120
1.0,4:06,2.0,3.0,KAN 12,7.0,0.0,Alexander Mattison right end for 3 yards (tackle by Nazeeh Johnson),4.92,5.14,8.0,2024,120
1.0,3:21,1.0,9.0,KAN 9,7.0,0.0,Zamir White left guard for 2 yards (tackle by Nazeeh Johnson),5.14,4.76,8.0,2024,120
1.0,2:42,2.0,7.0,KAN 7,7.0,6.0,"Gardner Minshew pass complete short left to Jakobi Meyers for 7 yards, touchdown",4.76,7.0,8.0,2024,120
1.0,2:39,,,KAN 15,7.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,8.0,2024,120
1.0,2:39,,,LVR 35,7.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
1.0,2:39,1.0,10.0,KAN 30,7.0,7.0,Patrick Mahomes pass incomplete deep middle intended for Xavier Worthy,0.94,0.39,8.0,2024,120
1.0,2:34,2.0,10.0,KAN 30,7.0,7.0,Patrick Mahomes pass complete short middle to Justin Watson for 19 yards (tackle by Divine Deablo),0.39,2.19,8.0,2024,120
1.0,2:00,1.0,10.0,KAN 49,7.0,7.0,Kareem Hunt left guard for 5 yards (tackle by Tre'von Moehrig and John Jenkins),2.19,2.32,8.0,2024,120
1.0,1:22,2.0,5.0,LVR 46,7.0,7.0,Patrick Mahomes pass incomplete deep left intended for DeAndre Hopkins,2.32,1.62,8.0,2024,120
1.0,1:19,3.0,5.0,LVR 46,7.0,7.0,"Patrick Mahomes sacked by Tyree Wilson for -10 yards. Penalty on Wanya Morris: Illegal Use of Hands / Offense, 5 yards (declined)",1.62,-0.46,8.0,2024,120
1.0,1:05,4.0,15.0,KAN 44,7.0,7.0,"Matt Araiza punts 42 yards, fair catch by DJ Turner at LV-14",-0.46,0.28,8.0,2024,120
1.0,0:59,1.0,10.0,LVR 14,7.0,7.0,Alexander Mattison right guard for 3 yards (tackle by Leo Chenal and Nazeeh Johnson),-0.28,-0.37,8.0,2024,120
1.0,0:23,2.0,7.0,LVR 17,7.0,7.0,Gardner Minshew pass complete deep right to Brock Bowers for 19 yards (tackle by Trent McDuffie),-0.37,1.33,8.0,2024,120
2.0,15:00,1.0,10.0,LVR 36,7.0,7.0,Gardner Minshew sacked by Drue Tranquill for -3 yards,1.33,0.39,8.0,2024,120
2.0,14:22,2.0,13.0,LVR 33,7.0,7.0,Alexander Mattison up the middle for 4 yards (tackle by Chamarri Conner and Felix Anudike-Uzomah),0.39,0.23,8.0,2024,120
2.0,13:44,3.0,9.0,LVR 37,7.0,7.0,"Gardner Minshew pass complete short left to Alexander Mattison for no gain (tackle by Trent McDuffie and Nick Bolton). Penalty on Kolton Miller: Offensive Holding, 10 yards (offset) . Penalty on Trent McDuffie: Illegal Contact, 5 yards (offset) (no play)",0.23,0.23,8.0,2024,120
2.0,13:14,3.0,9.0,LVR 37,7.0,7.0,Gardner Minshew pass complete short right to Brock Bowers for 12 yards (tackle by Chamarri Conner and Nazeeh Johnson),0.23,2.19,8.0,2024,120
2.0,12:34,1.0,10.0,LVR 49,7.0,7.0,Gardner Minshew pass complete short left to Jakobi Meyers for 17 yards (tackle by Nick Bolton),2.19,3.31,8.0,2024,120
2.0,11:50,1.0,10.0,KAN 34,7.0,7.0,Alexander Mattison up the middle for 1 yard (tackle by Chris Jones and Joshua Williams),3.31,2.91,8.0,2024,120
2.0,11:06,2.0,9.0,KAN 33,7.0,7.0,Zamir White right tackle for -3 yards (tackle by Malik Herring),2.91,1.82,8.0,2024,120
2.0,10:21,3.0,12.0,KAN 36,7.0,7.0,Gardner Minshew pass incomplete short left intended for Jakobi Meyers (defended by George Karlaftis),1.82,0.88,8.0,2024,120
2.0,10:18,4.0,12.0,KAN 36,7.0,10.0,Daniel Carlson 54 yard field goal good,0.88,3.0,8.0,2024,120
2.0,10:13,,,LVR 35,7.0,10.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
2.0,10:13,1.0,10.0,KAN 30,7.0,10.0,Kareem Hunt left end for 3 yards (tackle by Tre'von Moehrig and Robert Spillane),0.94,0.8,8.0,2024,120
2.0,9:40,,,,,,Timeout #1 by Las Vegas Raiders,,,8.0,2024,120
2.0,9:40,2.0,7.0,KAN 33,7.0,10.0,Patrick Mahomes pass complete short left to Xavier Worthy for 5 yards (tackle by K'Lavon Chaisson),0.8,0.76,8.0,2024,120
2.0,8:59,3.0,2.0,KAN 38,7.0,10.0,Patrick Mahomes pass complete short left to Xavier Worthy for 7 yards (tackle by Jakorian Bennett),0.76,1.93,8.0,2024,120
2.0,8:18,1.0,10.0,KAN 45,7.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Jakorian Bennett),1.93,2.46,8.0,2024,120
2.0,7:40,2.0,2.0,LVR 47,7.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by Robert Spillane),2.46,3.18,8.0,2024,120
2.0,7:02,1.0,10.0,LVR 36,7.0,10.0,Kareem Hunt right guard for 1 yard (tackle by John Jenkins and Charles Snowden),3.18,2.77,8.0,2024,120
2.0,6:27,2.0,9.0,LVR 35,7.0,10.0,"Patrick Mahomes pass complete short middle to Noah Gray for no gain (tackle by Divine Deablo). Penalty on Jody Fortson: Offensive Offside, 5 yards (accepted) (no play)",2.77,2.1,8.0,2024,120
2.0,6:00,2.0,14.0,LVR 40,7.0,10.0,Patrick Mahomes pass complete short right to Carson Steele for 8 yards (tackle by Jack Jones),2.1,2.48,8.0,2024,120
2.0,5:16,3.0,6.0,LVR 32,7.0,10.0,Patrick Mahomes pass complete short left to Noah Gray for 10 yards (tackle by Divine Deablo and Jakorian Bennett),2.48,4.11,8.0,2024,120
2.0,4:29,,,,,,Timeout #1 by Kansas City Chiefs,,,8.0,2024,120
2.0,4:29,1.0,10.0,LVR 22,7.0,10.0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Maxx Crosby and Robert Spillane),4.11,4.85,8.0,2024,120
2.0,3:48,2.0,2.0,LVR 14,7.0,10.0,Patrick Mahomes pass complete short right to Kareem Hunt for 4 yards (tackle by Jack Jones),4.85,4.91,8.0,2024,120
2.0,3:13,1.0,10.0,LVR 10,7.0,10.0,Kareem Hunt up the middle for 5 yards (tackle by Maxx Crosby),4.91,5.15,8.0,2024,120
2.0,2:37,2.0,5.0,LVR 5,7.0,10.0,Kareem Hunt left guard for no gain (tackle by Adam Butler and Charles Snowden),5.15,4.26,8.0,2024,120
2.0,2:00,,,,,,Timeout #2 by Las Vegas Raiders,,,8.0,2024,120
2.0,2:00,3.0,5.0,LVR 5,13.0,10.0,"Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards, touchdown",4.26,7.0,8.0,2024,120
2.0,1:57,,,LVR 15,14.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,8.0,2024,120
2.0,1:57,,,KAN 35,14.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
2.0,1:57,1.0,10.0,LVR 30,14.0,10.0,Gardner Minshew pass complete short middle to Jakobi Meyers for no gain (tackle by Chris Jones),0.94,0.39,8.0,2024,120
2.0,1:16,2.0,10.0,LVR 30,14.0,10.0,Ameer Abdullah left guard for 2 yards (tackle by Felix Anudike-Uzomah and George Karlaftis),0.39,-0.03,8.0,2024,120
2.0,1:11,,,,,,Timeout #2 by Kansas City Chiefs,,,8.0,2024,120
2.0,1:11,3.0,8.0,LVR 32,14.0,10.0,Gardner Minshew pass incomplete short right,-0.03,-1.24,8.0,2024,120
2.0,1:06,4.0,8.0,LVR 32,14.0,10.0,"AJ Cole punts 68 yards, touchback.",-1.24,-0.28,8.0,2024,120
2.0,0:58,1.0,10.0,KAN 20,14.0,10.0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Jack Jones),0.28,0.14,8.0,2024,120
2.0,0:53,2.0,7.0,KAN 23,14.0,10.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,0.14,-0.56,8.0,2024,120
2.0,0:48,3.0,7.0,KAN 23,14.0,10.0,Patrick Mahomes pass complete short left to Samaje Perine for 9 yards (tackle by Nate Hobbs and Tre'von Moehrig),-0.56,1.07,8.0,2024,120
2.0,0:41,,,,,,Timeout #3 by Kansas City Chiefs,,,8.0,2024,120
2.0,0:41,1.0,10.0,KAN 32,14.0,10.0,"Patrick Mahomes pass complete short left to Travis Kelce for 12 yards. Travis Kelce fumbles, recovered by Samaje Perine at KC-37 and returned for 7 yards (tackle by Robert Spillane and Jakorian Bennett)",1.07,1.86,8.0,2024,120
2.0,0:32,1.0,10.0,KAN 44,14.0,10.0,Patrick Mahomes pass incomplete short middle,1.86,1.32,8.0,2024,120
2.0,0:28,2.0,10.0,KAN 44,14.0,10.0,Patrick Mahomes pass complete deep right to Xavier Worthy for 16 yards (tackle by Jakorian Bennett),1.32,2.92,8.0,2024,120
2.0,0:13,1.0,10.0,LVR 40,14.0,10.0,Patrick Mahomes spiked the ball,2.92,2.37,8.0,2024,120
2.0,0:12,2.0,10.0,LVR 40,14.0,10.0,Patrick Mahomes pass complete deep right to DeAndre Hopkins for 16 yards,2.37,3.97,8.0,2024,120
2.0,0:08,,,,,,Timeout #3 by Las Vegas Raiders,,,8.0,2024,120
2.0,0:08,1.0,10.0,LVR 24,17.0,10.0,Harrison Butker 42 yard field goal good,3.97,3.0,8.0,2024,120
2.0,0:04,,,KAN 35,17.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
2.0,0:04,1.0,10.0,LVR 30,17.0,10.0,Gardner Minshew kneels for -1 yards,0.94,0.26,8.0,2024,120
3.0,15:00,,,KAN 35,17.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,120
3.0,15:00,1.0,10.0,LVR 30,17.0,10.0,Alexander Mattison right tackle for 1 yard (tackle by Felix Anudike-Uzomah),0.94,0.53,8.0,2024,120
3.0,14:24,2.0,9.0,LVR 31,17.0,10.0,Gardner Minshew pass complete short left to DJ Turner for no gain (tackle by Justin Reid),0.53,-0.16,8.0,2024,120
3.0,13:44,3.0,9.0,LVR 31,17.0,10.0,Gardner Minshew pass incomplete deep left intended for Tre Tucker,-0.16,-1.31,8.0,2024,120
3.0,13:39,4.0,9.0,LVR 31,17.0,10.0,"AJ Cole punts 60 yards, returned by Mecole Hardman for 6 yards (tackle by Tommy Eichenberg and Amari Gainer). Penalty on Jaden Hicks: Defensive Illegal Blindside Block, 7 yards (accepted)",-1.31,0.38,8.0,2024,120
3.0,13:25,1.0,10.0,KAN 8,17.0,10.0,Kareem Hunt up the middle for 1 yard (tackle by Maxx Crosby and Tyree Wilson),-0.38,-0.71,8.0,2024,120
3.0,12:52,2.0,9.0,KAN 9,17.0,10.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.71,-1.3,8.0,2024,120
3.0,12:49,3.0,9.0,KAN 9,17.0,10.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Jack Jones),-1.3,-2.49,8.0,2024,120
3.0,12:43,4.0,9.0,KAN 9,17.0,10.0,"Matt Araiza punts 51 yards, returned by DJ Turner for 17 yards (tackle by Joshua Williams). Penalty on Joshua Williams: Unnecessary Roughness / Offense, 15 yards (accepted)",-2.49,-3.71,8.0,2024,120
3.0,12:31,1.0,10.0,KAN 28,17.0,10.0,Gardner Minshew pass complete short right to Jakobi Meyers for 6 yards,3.71,3.98,8.0,2024,120
3.0,11:51,2.0,4.0,KAN 22,17.0,10.0,"Penalty on Jackson Powers-Johnson: False Start, 5 yards (accepted) (no play)",3.98,3.3,8.0,2024,120
3.0,11:35,2.0,9.0,KAN 27,17.0,10.0,Gardner Minshew scrambles right end for 7 yards (tackle by Leo Chenal),3.3,3.53,8.0,2024,120
3.0,10:48,3.0,2.0,KAN 20,17.0,10.0,"Penalty on Jackson Powers-Johnson: False Start, 5 yards (accepted) (no play)",3.53,2.87,8.0,2024,120
3.0,10:18,3.0,7.0,KAN 25,17.0,10.0,"Gardner Minshew pass complete short right to Alexander Mattison for 4 yards (tackle by Chamarri Conner). Penalty on Joshua Williams: Defensive Holding, 5 yards (accepted)",2.87,4.51,8.0,2024,120
3.0,10:10,1.0,10.0,KAN 16,17.0,10.0,Alexander Mattison right guard for -4 yards (tackle by Chris Jones),4.51,3.42,8.0,2024,120
3.0,9:34,2.0,14.0,KAN 20,17.0,10.0,Alexander Mattison right guard for 5 yards (tackle by Felix Anudike-Uzomah),3.42,3.22,8.0,2024,120
3.0,8:58,3.0,9.0,KAN 15,17.0,10.0,Gardner Minshew pass complete short left to Jakobi Meyers for 11 yards (tackle by Christian Roland-Wallace),3.22,6.28,8.0,2024,120
