Unnamed: 0,ATL,TAM,week,year,game_id
First Downs,20,24,8.0,2024,110
Rush-Yds-TDs,29-129-0,22-102-0,8.0,2024,110
Cmp-Att-Yd-TD-INT,23-29-276-4-0,37-50-330-3-2,8.0,2024,110
Sacked-Yards,2-11,0-0,8.0,2024,110
Net Pass Yards,265,330,8.0,2024,110
Total Yards,394,432,8.0,2024,110
Fumbles-Lost,1-0,2-1,8.0,2024,110
Turnovers,0,3,8.0,2024,110
Penalties-Yards,4-43,6-45,8.0,2024,110
Third Down Conv.,6-12,9-14,8.0,2024,110
Fourth Down Conv.,2-2,1-2,8.0,2024,110
Time of Possession,27:26,32:34,8.0,2024,110
