Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Panthers to receive the opening kickoff.",,,3.0,2024,41
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, returned by Xavier Legette for 30 yards (tackle by Kana'i Mauga and Sam Webb)",0.0,0.94,3.0,2024,41
1.0,14:53,1.0,10.0,CAR 30,0.0,0.0,Andy Dalton pass complete short left to Adam Thielen for 4 yards (tackle by Tre'von Moehrig),0.94,0.93,3.0,2024,41
1.0,14:21,2.0,6.0,CAR 34,0.0,0.0,Chuba Hubbard left guard for 4 yards (tackle by Robert Spillane and Luke Masterson),0.93,0.76,3.0,2024,41
1.0,13:44,3.0,2.0,CAR 38,0.0,0.0,Andy Dalton pass complete short middle to Adam Thielen for 5 yards (tackle by Tre'von Moehrig),0.76,1.8,3.0,2024,41
1.0,12:57,1.0,10.0,CAR 43,0.0,0.0,Andy Dalton pass complete deep left to Diontae Johnson for 17 yards,1.8,2.92,3.0,2024,41
1.0,12:22,1.0,10.0,LVR 40,0.0,0.0,Chuba Hubbard right tackle for 8 yards (tackle by Jack Jones),2.92,3.45,3.0,2024,41
1.0,11:41,2.0,2.0,LVR 32,0.0,0.0,Chuba Hubbard up the middle for 6 yards (tackle by John Jenkins and Luke Masterson),3.45,3.84,3.0,2024,41
1.0,10:58,1.0,10.0,LVR 26,0.0,0.0,Andy Dalton pass complete deep middle to Tommy Tremble for 20 yards (tackle by Tre'von Moehrig),3.84,5.83,3.0,2024,41
1.0,10:24,1.0,6.0,LVR 6,0.0,0.0,Andy Dalton pass incomplete short left intended for Diontae Johnson,5.83,4.95,3.0,2024,41
1.0,10:20,2.0,6.0,LVR 6,6.0,0.0,"Andy Dalton pass complete short right to Chuba Hubbard for 6 yards, touchdown",4.95,7.0,3.0,2024,41
1.0,10:13,,,LVR 15,7.0,0.0,Eddy Piñeiro kicks extra point good,0.0,0.0,3.0,2024,41
1.0,10:13,,,CAR 35,7.0,0.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,41
1.0,10:13,1.0,10.0,LVR 30,7.0,0.0,Zamir White left guard for 2 yards (tackle by LaBryan Ray),0.94,0.66,3.0,2024,41
1.0,9:33,2.0,8.0,LVR 32,7.0,0.0,Zamir White up the middle for 4 yards (tackle by Troy Hill and A'Shawn Robinson),0.66,0.5,3.0,2024,41
1.0,9:08,3.0,4.0,LVR 36,7.0,0.0,Gardner Minshew pass incomplete deep right intended for Jakobi Meyers,0.5,-0.98,3.0,2024,41
1.0,9:03,4.0,4.0,LVR 36,7.0,0.0,"AJ Cole punts 55 yards, returned by Raheem Blackshear for 7 yards (tackle by Tommy Eichenberg). Penalty on DJ Turner: Player Out of Bounds on Kick, 5 yards (accepted)",-0.98,-0.34,3.0,2024,41
1.0,8:51,1.0,10.0,CAR 21,7.0,0.0,Andy Dalton pass incomplete deep middle intended for Jonathan Mingo,0.34,-0.2,3.0,2024,41
1.0,8:46,2.0,10.0,CAR 21,7.0,0.0,Andy Dalton pass complete short middle to Tommy Tremble for 4 yards (tackle by Marcus Epps),-0.2,-0.36,3.0,2024,41
1.0,8:05,3.0,6.0,CAR 25,7.0,0.0,"Penalty on Janarius Robinson: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.36,0.3,3.0,2024,41
1.0,7:57,3.0,1.0,CAR 30,7.0,0.0,Chuba Hubbard up the middle for 13 yards (tackle by Marcus Epps),0.3,1.8,3.0,2024,41
1.0,7:19,1.0,10.0,CAR 43,7.0,0.0,Chuba Hubbard up the middle for 5 yards (tackle by Adam Butler),1.8,1.93,3.0,2024,41
1.0,6:44,2.0,5.0,CAR 48,7.0,0.0,Chuba Hubbard right guard for 3 yards (tackle by Luke Masterson and Adam Butler),1.93,1.62,3.0,2024,41
1.0,6:02,3.0,2.0,LVR 49,7.0,0.0,Andy Dalton pass incomplete short left intended for Diontae Johnson (defended by Jakorian Bennett),1.62,0.0,3.0,2024,41
1.0,5:58,4.0,2.0,LVR 49,7.0,0.0,Johnny Hekker punts 46 yards downed by Lonnie Johnson,0.0,0.38,3.0,2024,41
1.0,5:48,1.0,10.0,LVR 3,7.0,0.0,Zamir White up the middle for 3 yards (tackle by LaBryan Ray and A'Shawn Robinson),-0.38,-0.56,3.0,2024,41
1.0,5:11,2.0,7.0,LVR 6,7.0,0.0,Zamir White up the middle for 3 yards (tackle by Xavier Woods),-0.56,-0.72,3.0,2024,41
1.0,4:31,3.0,4.0,LVR 9,7.0,0.0,Gardner Minshew pass complete short left to Alexander Mattison for 11 yards (tackle by Charles Harris),-0.72,0.28,3.0,2024,41
1.0,3:50,1.0,10.0,LVR 20,7.0,0.0,Gardner Minshew pass complete short right to Jakobi Meyers for no gain (tackle by Michael Jackson),0.28,-0.27,3.0,2024,41
1.0,3:09,2.0,10.0,LVR 20,7.0,0.0,Gardner Minshew pass complete deep middle to Tre Tucker for 54 yards (tackle by Michael Jackson and Jordan Fuller),-0.27,3.84,3.0,2024,41
1.0,2:32,1.0,10.0,CAR 26,7.0,0.0,Zamir White right guard for no gain (tackle by A'Shawn Robinson and Shaq Thompson) (no play),3.84,4.57,3.0,2024,41
1.0,2:13,1.0,5.0,CAR 21,7.0,0.0,Zamir White left guard for 9 yards (tackle by Michael Jackson and Xavier Woods),4.57,4.78,3.0,2024,41
1.0,1:31,1.0,10.0,CAR 12,7.0,0.0,Zamir White left tackle for 6 yards (tackle by LaBryan Ray and Shaq Thompson),4.78,5.21,3.0,2024,41
1.0,1:04,2.0,4.0,CAR 6,7.0,0.0,Gardner Minshew pass incomplete short left intended for Michael Mayer,5.21,4.38,3.0,2024,41
1.0,0:59,3.0,4.0,CAR 6,7.0,0.0,Gardner Minshew scrambles right end for 4 yards (tackle by DeShawn Williams),4.38,6.74,3.0,2024,41
1.0,0:33,1.0,2.0,CAR 2,7.0,6.0,"Alexander Mattison up the middle for 2 yards, touchdown",6.74,7.0,3.0,2024,41
1.0,0:24,,,CAR 15,7.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,3.0,2024,41
1.0,0:24,,,LVR 35,7.0,7.0,"Daniel Carlson kicks off 65 yards, returned by Raheem Blackshear for 25 yards (tackle by Thomas Harper)",0.0,0.61,3.0,2024,41
1.0,0:17,1.0,10.0,CAR 25,7.0,7.0,Chuba Hubbard up the middle for 3 yards (tackle by Adam Butler and Robert Spillane),0.61,0.47,3.0,2024,41
2.0,15:00,2.0,7.0,CAR 28,7.0,7.0,Chuba Hubbard up the middle for 8 yards (tackle by Robert Spillane),0.47,1.33,3.0,2024,41
2.0,14:25,1.0,10.0,CAR 36,7.0,7.0,Jonathan Mingo right end for 2 yards (tackle by Tre'von Moehrig),1.33,1.06,3.0,2024,41
2.0,13:38,2.0,8.0,CAR 38,7.0,7.0,Andy Dalton sacked by Robert Spillane for -6 yards,1.06,-0.43,3.0,2024,41
2.0,12:54,3.0,14.0,CAR 32,7.0,7.0,Andy Dalton pass complete deep right to Diontae Johnson for 23 yards (tackle by Robert Spillane),-0.43,2.59,3.0,2024,41
2.0,12:08,1.0,10.0,LVR 45,7.0,7.0,Chuba Hubbard left tackle for no gain (tackle by Maxx Crosby and Nesta Jade Silvera),2.59,2.04,3.0,2024,41
2.0,11:24,2.0,10.0,LVR 45,7.0,7.0,"Andy Dalton pass complete short middle to Xavier Legette for 35 yards (tackle by Marcus Epps). Penalty on Tyree Wilson: Defensive Offside, 5 yards (declined)",2.04,4.91,3.0,2024,41
2.0,10:59,1.0,10.0,LVR 10,7.0,7.0,Chuba Hubbard right end for no gain (tackle by Robert Spillane and Maxx Crosby),4.91,4.19,3.0,2024,41
2.0,10:16,2.0,10.0,LVR 10,7.0,7.0,Andy Dalton pass complete short right to Chuba Hubbard for 5 yards (tackle by Marcus Epps),4.19,4.26,3.0,2024,41
2.0,9:33,3.0,5.0,LVR 5,13.0,7.0,"Andy Dalton pass complete short right to Diontae Johnson for 5 yards, touchdown",4.26,7.0,3.0,2024,41
2.0,9:28,,,LVR 15,14.0,7.0,Eddy Piñeiro kicks extra point good,0.0,0.0,3.0,2024,41
2.0,9:28,,,CAR 35,14.0,7.0,"Eddy Piñeiro kicks off 25 yards,. Penalty on Eddy Piñeiro: Kickoff Short of Landing Zone (accepted)",0.0,1.6,3.0,2024,41
2.0,9:28,1.0,10.0,LVR 40,14.0,7.0,Gardner Minshew pass complete short right to Davante Adams for 15 yards (tackle by Jaycee Horn and Josey Jewell),1.6,2.59,3.0,2024,41
2.0,8:54,1.0,10.0,CAR 45,14.0,7.0,Zamir White right tackle for 2 yards (tackle by Josey Jewell),2.59,2.31,3.0,2024,41
2.0,8:15,2.0,8.0,CAR 43,14.0,7.0,Zamir White up the middle for 1 yard (tackle by Josey Jewell),2.31,1.75,3.0,2024,41
2.0,7:36,3.0,7.0,CAR 42,14.0,7.0,Alexander Mattison up the middle for 3 yards (tackle by Jayden Peevy),1.75,0.66,3.0,2024,41
2.0,6:58,4.0,4.0,CAR 39,14.0,7.0,Gardner Minshew pass incomplete short left intended for Brock Bowers (defended by Michael Jackson),0.66,-1.53,3.0,2024,41
2.0,6:53,1.0,10.0,CAR 39,14.0,7.0,Miles Sanders up the middle for 6 yards (tackle by Robert Spillane and Luke Masterson),1.53,1.8,3.0,2024,41
2.0,6:13,2.0,4.0,CAR 45,14.0,7.0,Andy Dalton sacked by and Christian Wilkins for -7 yards and Charles Snowden for -7 yards,1.8,0.17,3.0,2024,41
