Unnamed: 0,NYG,CLE,week,year,game_id
First Downs,21,16,3.0,2024,35
Rush-Yds-TDs,32-112-1,18-69-0,3.0,2024,35
Cmp-Att-Yd-TD-INT,24-35-236-2-0,21-37-196-2-0,3.0,2024,35
Sacked-Yards,2-8,8-48,3.0,2024,35
Net Pass Yards,228,148,3.0,2024,35
Total Yards,340,217,3.0,2024,35
Fumbles-Lost,3-2,2-2,3.0,2024,35
Turnovers,2,2,3.0,2024,35
Penalties-Yards,9-68,5-48,3.0,2024,35
Third Down Conv.,4-14,4-14,3.0,2024,35
Fourth Down Conv.,1-1,1-3,3.0,2024,35
Time of Possession,33:56,26:04,3.0,2024,35
