Unnamed: 0,JAX,BUF,week,year,game_id
First Downs,19,25,3.0,2024,47
Rush-Yds-TDs,17-92-0,29-122-2,3.0,2024,47
Cmp-Att-Yd-TD-INT,26-46-200-1-1,24-31-266-4-0,3.0,2024,47
Sacked-Yards,5-53,0-0,3.0,2024,47
Net Pass Yards,147,266,3.0,2024,47
Total Yards,239,388,3.0,2024,47
Fumbles-Lost,1-1,0-0,3.0,2024,47
Turnovers,2,0,3.0,2024,47
Penalties-Yards,7-45,6-47,3.0,2024,47
Third Down Conv.,2-13,6-11,3.0,2024,47
Fourth Down Conv.,4-8,2-2,3.0,2024,47
Time of Possession,28:20,31:40,3.0,2024,47
