Quarter,Time,Tm,Detail,MIA,SEA,week,year,game_id
1.0,10:49,Seahawks,Jason Myers 56 yard field goal,0,3,3.0,2024,42
,6:44,Seahawks,Zach Charbonnet 4 yard rush (Jason Myers kick),0,10,3.0,2024,42
,0:11,Dolphins,Jason Sanders 23 yard field goal,3,10,3.0,2024,42
,0:00,Seahawks,D.K. Metcalf 71 yard pass from Geno Smith (Jason Myers kick),3,17,3.0,2024,42
4.0,4:55,Seahawks,Zach Charbonnet 10 yard rush (Jason Myers kick),3,24,3.0,2024,42
