Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Falcons to receive the opening kickoff.",,,3.0,2024,46
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,46
1.0,15:00,1.0,10.0,ATL 30,0.0,0.0,Kirk Cousins pass complete short right to Darnell Mooney for 9 yards (tackle by Bryan Cook),0.94,1.61,3.0,2024,46
1.0,14:17,2.0,1.0,ATL 39,0.0,0.0,Kirk Cousins pass complete deep left to Darnell Mooney for 26 yards (tackle by Bryan Cook),1.61,3.25,3.0,2024,46
1.0,13:35,1.0,10.0,KAN 35,0.0,0.0,Bijan Robinson right tackle for -1 yards (tackle by Nick Bolton),3.25,2.57,3.0,2024,46
1.0,13:01,2.0,11.0,KAN 36,0.0,0.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 15 yards (tackle by Bryan Cook),2.57,4.17,3.0,2024,46
1.0,12:28,1.0,10.0,KAN 21,0.0,0.0,Bijan Robinson left end for 5 yards (tackle by Michael Danna),4.17,4.37,3.0,2024,46
1.0,11:55,2.0,5.0,KAN 16,0.0,0.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 2 yards (tackle by Justin Reid),4.37,4.02,3.0,2024,46
1.0,11:12,3.0,3.0,KAN 14,0.0,6.0,"Kirk Cousins pass complete short left to Drake London for 14 yards, touchdown",4.02,7.0,3.0,2024,46
1.0,11:07,,,KAN 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,3.0,2024,46
1.0,11:07,,,ATL 35,0.0,7.0,"Bradley Pinion kicks off 63 yards, returned by Mecole Hardman for 19 yards (tackle by Antonio Hamilton and KhaDarel Hodge). Penalty on Leo Chenal: Offensive Holding, 10 yards (accepted)",0.0,-0.37,3.0,2024,46
1.0,11:02,1.0,10.0,KAN 11,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,-0.37,-0.78,3.0,2024,46
1.0,10:57,2.0,10.0,KAN 11,0.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 10 yards (tackle by Jessie Bates),-0.78,0.34,3.0,2024,46
1.0,10:28,1.0,10.0,KAN 21,0.0,7.0,Xavier Worthy left end for 6 yards (tackle by Lorenzo Carter),0.34,0.61,3.0,2024,46
1.0,9:54,2.0,4.0,KAN 27,0.0,7.0,Carson Steele left tackle for 7 yards (tackle by Troy Andersen and Mike Hughes),0.61,1.2,3.0,2024,46
1.0,9:17,1.0,10.0,KAN 34,0.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 1 yard (tackle by DeAundre Alford),1.2,0.86,3.0,2024,46
1.0,8:44,2.0,8.0,KAN 35,0.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 17 yards (tackle by Kaden Elliss),0.86,2.39,3.0,2024,46
1.0,8:13,1.0,10.0,ATL 48,0.0,7.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,2.39,1.85,3.0,2024,46
1.0,8:08,2.0,10.0,ATL 48,0.0,7.0,Patrick Mahomes scrambles left guard for 9 yards (tackle by Troy Andersen and DeAundre Alford),1.85,2.34,3.0,2024,46
1.0,7:33,,,,,,Timeout #1 by Kansas City Chiefs,,,3.0,2024,46
1.0,7:33,3.0,1.0,ATL 39,0.0,7.0,Carson Steele left guard for no gain (tackle by Ta'Quon Graham),2.34,0.66,3.0,2024,46
1.0,6:56,4.0,1.0,ATL 39,0.0,7.0,"Rashee Rice left end for 1 yard (tackle by Matt Judon and Grady Jarrett) ATL challenged the first down ruling, and the play was upheld.",0.66,3.05,3.0,2024,46
1.0,6:22,1.0,10.0,ATL 38,0.0,7.0,Patrick Mahomes pass incomplete deep middle intended for Xavier Worthy (defended by Mike Hughes),3.05,2.51,3.0,2024,46
1.0,6:15,2.0,10.0,ATL 38,0.0,7.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 4 yards (tackle by Mike Hughes),2.51,2.34,3.0,2024,46
1.0,5:38,3.0,6.0,ATL 34,0.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 6 yards,2.34,3.71,3.0,2024,46
