Unnamed: 0,CHI,IND,week,year,game_id
First Downs,26,15,3.0,2024,34
Rush-Yds-TDs,28-63-0,33-150-3,3.0,2024,34
Cmp-Att-Yd-TD-INT,33-52-363-2-2,10-20-167-0-2,3.0,2024,34
Sacked-Yards,4-31,1-11,3.0,2024,34
Net Pass Yards,332,156,3.0,2024,34
Total Yards,395,306,3.0,2024,34
Fumbles-Lost,1-1,0-0,3.0,2024,34
Turnovers,3,2,3.0,2024,34
Penalties-Yards,4-25,9-78,3.0,2024,34
Third Down Conv.,9-21,3-12,3.0,2024,34
Fourth Down Conv.,4-5,0-1,3.0,2024,34
Time of Possession,35:01,24:59,3.0,2024,34
