Unnamed: 0,WAS,CIN,week,year,game_id
First Downs,22,30,3.0,2024,48
Rush-Yds-TDs,32-108-3,20-124-1,3.0,2024,48
Cmp-Att-Yd-TD-INT,21-23-254-2-0,29-38-324-3-0,3.0,2024,48
Sacked-Yards,2-6,2-12,3.0,2024,48
Net Pass Yards,248,312,3.0,2024,48
Total Yards,356,436,3.0,2024,48
Fumbles-Lost,1-0,0-0,3.0,2024,48
Turnovers,0,0,3.0,2024,48
Penalties-Yards,3-28,5-16,3.0,2024,48
Third Down Conv.,5-9,6-10,3.0,2024,48
Fourth Down Conv.,3-3,1-1,3.0,2024,48
Time of Possession,33:06,26:54,3.0,2024,48
