Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Giants to receive the opening kickoff.",,,3.0,2024,35
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 66 yards, returned by Eric Gray for 24 yards. Eric Gray fumbles (forced by Tony Brown), recovered by Grant Delpit at NYG-24",0.0,-3.97,3.0,2024,35
1.0,14:55,1.0,10.0,NYG 24,0.0,6.0,"Deshaun Watson pass complete deep left to Amari Cooper for 24 yards, touchdown",3.97,7.0,3.0,2024,35
1.0,14:49,,,NYG 15,0.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,3.0,2024,35
1.0,14:49,,,CLE 35,0.0,7.0,"Dustin Hopkins kicks off 66 yards, returned by Eric Gray for 28 yards (tackle by Sam Kamara and D'Anthony Bell)",0.0,0.74,3.0,2024,35
1.0,14:45,1.0,10.0,NYG 27,0.0,7.0,Devin Singletary right guard for 3 yards (tackle by Shelby Harris and Jeremiah Owusu-Koramoah),0.74,0.6,3.0,2024,35
1.0,14:06,2.0,7.0,NYG 30,0.0,7.0,Devin Singletary right guard for -4 yards (tackle by Jordan Hicks),0.6,-0.62,3.0,2024,35
1.0,13:26,3.0,11.0,NYG 26,0.0,7.0,Daniel Jones pass complete short right to Malik Nabers for 4 yards (tackle by Denzel Ward),-0.62,-1.37,3.0,2024,35
1.0,12:50,4.0,7.0,NYG 30,0.0,7.0,"Jamie Gillan punts 56 yards, returned by James Proche for 7 yards (tackle by Bryce Ford-Wheaton)",-1.37,-0.34,3.0,2024,35
1.0,12:39,1.0,10.0,CLE 21,0.0,7.0,Jerome Ford right guard for 4 yards (tackle by Deonte Banks and Brian Burns),0.34,0.34,3.0,2024,35
1.0,12:20,2.0,6.0,CLE 25,0.0,7.0,Deshaun Watson pass complete short right to Cedric Tillman for 4 yards (tackle by Cordale Flott),0.34,0.17,3.0,2024,35
1.0,11:42,3.0,2.0,CLE 29,0.0,7.0,"Deshaun Watson sacked by Micah McFadden for no gain. Penalty on Rakeem Nunez-Roches: Defensive Offside, 5 yards (accepted) (no play)",0.17,1.2,3.0,2024,35
1.0,11:22,1.0,10.0,CLE 34,0.0,7.0,Deshaun Watson pass incomplete short middle intended for Jerome Ford,1.2,0.66,3.0,2024,35
1.0,11:19,2.0,10.0,CLE 34,0.0,7.0,Deshaun Watson pass complete short left to Jerry Jeudy for 3 yards (tackle by Andru Phillips and Jason Pinnock),0.66,0.37,3.0,2024,35
1.0,10:40,3.0,7.0,CLE 37,0.0,7.0,Deshaun Watson sacked by Dexter Lawrence for -5 yards,0.37,-1.24,3.0,2024,35
1.0,9:58,4.0,12.0,CLE 32,0.0,7.0,Corey Bojorquez punts 49 yards out of bounds,-1.24,-0.15,3.0,2024,35
1.0,9:51,1.0,10.0,NYG 19,0.0,7.0,"Daniel Jones pass short left is intercepted by Ronnie Hickman at NYG-24 and returned for no gain (tackle by Theo Johnson). Penalty on Greg Newsome: Roughing the Passer, 15 yards (accepted) (no play)",0.15,1.2,3.0,2024,35
1.0,9:45,1.0,10.0,NYG 34,0.0,7.0,Daniel Jones pass incomplete deep middle intended for Jalin Hyatt,1.2,0.66,3.0,2024,35
1.0,9:39,2.0,10.0,NYG 34,0.0,7.0,Tyrone Tracy up the middle for 4 yards (tackle by Jeremiah Owusu-Koramoah and Jordan Hicks),0.66,0.5,3.0,2024,35
1.0,8:53,3.0,6.0,NYG 38,0.0,7.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Denzel Ward),0.5,-0.52,3.0,2024,35
1.0,8:06,4.0,1.0,NYG 43,0.0,7.0,Malik Nabers right end for 2 yards (tackle by Ronnie Hickman),-0.52,1.93,3.0,2024,35
