Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,,3.0,2024,45
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Jordan Mason up the middle for 6 yards (tackle by Neville Gallimore and Christian Rozeboom),0.94,1.2,3.0,2024,45
1.0,14:31,2.0,4.0,SFO 36,0.0,0.0,"Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Christian Rozeboom). Penalty on Christian Rozeboom: Face Mask (15 Yards), 15 yards (accepted)",1.2,3.05,3.0,2024,45
1.0,14:12,1.0,10.0,LAR 38,0.0,0.0,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Byron Young),3.05,2.51,3.0,2024,45
1.0,14:03,2.0,10.0,LAR 38,0.0,0.0,Jordan Mason left tackle for 7 yards (tackle by Quentin Lake and Troy Reeder),2.51,2.74,3.0,2024,45
1.0,13:17,3.0,3.0,LAR 31,0.0,0.0,Jordan Mason up the middle for 7 yards (tackle by Kamren Kinchens and Kamren Curl),2.74,3.97,3.0,2024,45
1.0,12:38,1.0,10.0,LAR 24,0.0,0.0,Jordan Mason right guard for 4 yards (tackle by Tre'Davious White and Jared Verse),3.97,3.97,3.0,2024,45
1.0,11:52,2.0,6.0,LAR 20,0.0,0.0,Brock Purdy pass complete short right to Jordan Mason for 7 yards (tackle by Troy Reeder),3.97,4.71,3.0,2024,45
1.0,11:17,1.0,10.0,LAR 13,6.0,0.0,"Brock Purdy pass complete short middle to Jauan Jennings for 13 yards, touchdown",4.71,7.0,3.0,2024,45
1.0,11:12,,,LAR 15,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2024,45
1.0,11:12,,,SFO 35,7.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
1.0,11:12,1.0,10.0,LAR 30,7.0,0.0,Kyren Williams right guard for 5 yards (tackle by Talanoa Hufanga),0.94,1.07,3.0,2024,45
1.0,10:32,2.0,5.0,LAR 35,7.0,0.0,Kyren Williams up the middle for 3 yards (tackle by De'Vondre Campbell and Leonard Floyd),1.07,0.76,3.0,2024,45
1.0,9:57,3.0,2.0,LAR 38,7.0,0.0,Matthew Stafford pass incomplete short left intended for Tyler Johnson,0.76,-0.85,3.0,2024,45
1.0,9:49,4.0,2.0,LAR 38,7.0,0.0,"Ethan Evans punts 48 yards, returned by Jacob Cowing for 9 yards (tackle by Nick Hampton)",-0.85,-0.48,3.0,2024,45
1.0,9:40,1.0,10.0,SFO 23,7.0,0.0,Jordan Mason left tackle for -2 yards (tackle by Byron Young),0.48,-0.34,3.0,2024,45
1.0,9:05,2.0,12.0,SFO 21,7.0,0.0,Jordan Mason up the middle for 4 yards (tackle by Troy Reeder and Christian Rozeboom),-0.34,-0.49,3.0,2024,45
1.0,8:21,3.0,8.0,SFO 25,7.0,0.0,"Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk. Penalty on Tre'Davious White: Defensive Holding, 5 yards (accepted) (no play)",-0.49,0.94,3.0,2024,45
1.0,8:11,1.0,10.0,SFO 30,7.0,0.0,"Brock Purdy pass complete short middle to Brandon Aiyuk for no gain (tackle by Kamren Curl). Penalty on Dominick Puni: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.94,0.61,3.0,2024,45
1.0,7:51,1.0,15.0,SFO 25,7.0,0.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,0.61,-0.28,3.0,2024,45
1.0,7:43,2.0,15.0,SFO 25,7.0,0.0,Brock Purdy pass complete deep middle to Jauan Jennings for 34 yards (tackle by Kamren Curl),-0.28,2.85,3.0,2024,45
1.0,6:59,1.0,10.0,LAR 41,7.0,0.0,Jordan Mason right tackle for 1 yard (tackle by Troy Reeder and Jared Verse),2.85,2.44,3.0,2024,45
1.0,6:18,2.0,9.0,LAR 40,7.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 2 yards (tackle by Cobie Durant and Byron Young),2.44,2.02,3.0,2024,45
1.0,5:35,3.0,7.0,LAR 38,7.0,0.0,"Brock Purdy pass incomplete deep left intended for Jauan Jennings. Penalty on Quentin Lake: Illegal Contact, 5 yards (accepted) (no play)",2.02,3.38,3.0,2024,45
1.0,5:24,1.0,10.0,LAR 33,7.0,0.0,"Brock Purdy pass incomplete short left intended for Ronnie Bell. Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)",3.38,2.72,3.0,2024,45
1.0,5:20,1.0,20.0,LAR 43,7.0,0.0,Brock Purdy pass complete deep right to Eric Saubert for 16 yards (tackle by Kamren Curl),2.72,3.65,3.0,2024,45
1.0,4:43,2.0,4.0,LAR 27,7.0,0.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,3.65,2.94,3.0,2024,45
1.0,4:37,3.0,4.0,LAR 27,7.0,0.0,"Brock Purdy pass incomplete short right intended for Brandon Aiyuk. Penalty on Kamren Curl: Defensive Pass Interference, 14 yards (accepted) (no play)",2.94,4.71,3.0,2024,45
1.0,4:33,1.0,10.0,LAR 13,7.0,0.0,Jordan Mason up the middle for 3 yards (tackle by Christian Rozeboom),4.71,4.58,3.0,2024,45
1.0,4:00,2.0,7.0,LAR 10,7.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Christian Rozeboom and Quentin Lake),4.58,6.97,3.0,2024,45
1.0,3:19,1.0,1.0,LAR 1,7.0,0.0,Jordan Mason left guard for -3 yards (tackle by Tyler Davis and Bobby Brown),6.97,5.34,3.0,2024,45
1.0,2:35,2.0,4.0,LAR 4,7.0,0.0,Jordan Mason up the middle for no gain (tackle by Kamren Kinchens),5.34,4.49,3.0,2024,45
1.0,1:53,3.0,4.0,LAR 4,13.0,0.0,"Brock Purdy pass complete short right to Jauan Jennings for 4 yards, touchdown",4.49,7.0,3.0,2024,45
1.0,1:47,,,LAR 15,14.0,0.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2024,45
1.0,1:47,,,SFO 35,14.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,45
1.0,1:47,1.0,10.0,LAR 30,14.0,0.0,Kyren Williams left end for 13 yards (tackle by Talanoa Hufanga),0.94,1.8,3.0,2024,45
1.0,1:15,1.0,10.0,LAR 43,14.0,0.0,Kyren Williams up the middle for 6 yards (tackle by De'Vondre Campbell),1.8,2.06,3.0,2024,45
1.0,0:34,2.0,4.0,LAR 49,14.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Fred Warner and De'Vondre Campbell),2.06,1.62,3.0,2024,45
2.0,15:00,3.0,2.0,SFO 49,14.0,0.0,Kyren Williams right guard for 4 yards (tackle by Leonard Floyd and Charvarius Ward),1.62,2.59,3.0,2024,45
2.0,14:21,1.0,10.0,SFO 45,14.0,0.0,"Matthew Stafford pass complete short left to Demarcus Robinson for no gain. Penalty on Hunter Long: Offensive Holding, 10 yards (accepted) (no play)",2.59,1.93,3.0,2024,45
2.0,13:55,1.0,20.0,LAR 45,14.0,0.0,Matthew Stafford sacked by Javon Hargrave for -9 yards,1.93,-0.52,3.0,2024,45
2.0,13:16,2.0,29.0,LAR 36,14.0,0.0,Kyren Williams up the middle for no gain (tackle by Fred Warner),-0.52,-1.15,3.0,2024,45
2.0,12:35,3.0,29.0,LAR 36,14.0,0.0,Kyren Williams up the middle for 7 yards (tackle by De'Vondre Campbell and Talanoa Hufanga),-1.15,-0.52,3.0,2024,45
2.0,11:58,4.0,22.0,LAR 43,14.0,0.0,Ethan Evans punts 38 yards out of bounds,-0.52,-0.15,3.0,2024,45
2.0,11:51,1.0,10.0,SFO 19,14.0,0.0,Jordan Mason right tackle for 3 yards (tackle by Michael Hoecht and Neville Gallimore),0.15,0.07,3.0,2024,45
2.0,11:15,2.0,7.0,SFO 22,14.0,0.0,Brock Purdy pass complete short left to Brandon Aiyuk for 12 yards (tackle by Cobie Durant),0.07,1.2,3.0,2024,45
2.0,10:31,1.0,10.0,SFO 34,14.0,0.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by Christian Rozeboom and Michael Hoecht),1.2,1.47,3.0,2024,45
2.0,9:54,2.0,4.0,SFO 40,14.0,0.0,Jordan Mason up the middle for no gain (tackle by Tre'Davious White),1.47,0.76,3.0,2024,45
2.0,9:10,3.0,4.0,SFO 40,14.0,0.0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk (defended by Tre'Davious White),0.76,-0.72,3.0,2024,45
2.0,9:02,4.0,4.0,SFO 40,14.0,0.0,"Mitch Wishnowsky punts 47 yards, fair catch by Xavier Smith at LA-13",-0.72,0.32,3.0,2024,45
2.0,8:55,1.0,10.0,LAR 13,14.0,0.0,Ronnie Rivers right end for 2 yards (tackle by Ji'Ayir Brown),-0.32,-0.57,3.0,2024,45
2.0,8:32,2.0,8.0,LAR 15,14.0,0.0,Matthew Stafford pass incomplete short right intended for Tutu Atwell (defended by Charvarius Ward),-0.57,-1.18,3.0,2024,45
2.0,8:26,3.0,8.0,LAR 15,14.0,0.0,Matthew Stafford pass complete short middle to Tutu Atwell for 24 yards (tackle by Isaac Yiadom),-1.18,1.53,3.0,2024,45
2.0,7:44,1.0,10.0,LAR 39,14.0,0.0,"Matthew Stafford pass incomplete deep left. Penalty on Matthew Stafford: Intentional Grounding, 11 yards (accepted)",1.53,-0.5,3.0,2024,45
2.0,7:39,2.0,21.0,LAR 28,14.0,0.0,Matthew Stafford pass complete short left to Tyler Johnson for 9 yards (tackle by Isaac Yiadom),-0.5,0.04,3.0,2024,45
2.0,6:58,3.0,12.0,LAR 37,14.0,0.0,Matthew Stafford pass complete short right to Tyler Johnson for 6 yards (tackle by Charvarius Ward and Ji'Ayir Brown),0.04,-0.52,3.0,2024,45
2.0,6:14,4.0,6.0,LAR 43,14.0,0.0,Ronnie Rivers left end for 7 yards (tackle by Chris Conley),-0.52,2.26,3.0,2024,45
2.0,5:48,1.0,10.0,LAR 50,14.0,0.0,Matthew Stafford pass complete short right to Jordan Whittington for 6 yards (tackle by Charvarius Ward),2.26,2.52,3.0,2024,45
2.0,5:12,2.0,4.0,SFO 44,14.0,0.0,Kyren Williams up the middle for 4 yards (tackle by Jordan Elliott),2.52,2.92,3.0,2024,45
2.0,4:29,1.0,10.0,SFO 40,14.0,0.0,Matthew Stafford pass complete short left to Colby Parkinson for 4 yards (tackle by Isaac Yiadom),2.92,2.91,3.0,2024,45
2.0,3:50,2.0,6.0,SFO 36,14.0,0.0,Matthew Stafford pass complete short left to Jordan Whittington for 7 yards (tackle by Isaac Yiadom and Nick Bosa),2.91,3.64,3.0,2024,45
2.0,3:09,1.0,10.0,SFO 29,14.0,0.0,Matthew Stafford pass complete short right to Colby Parkinson for 9 yards (tackle by Deommodore Lenoir),3.64,4.32,3.0,2024,45
2.0,2:26,2.0,1.0,SFO 20,14.0,0.0,Kyren Williams up the middle for -1 yards (tackle by Deommodore Lenoir),4.32,3.47,3.0,2024,45
2.0,2:00,3.0,2.0,SFO 21,14.0,0.0,Kyren Williams up the middle for 5 yards (tackle by Javon Hargrave),3.47,4.51,3.0,2024,45
