Unnamed: 0,BAL,DAL,week,year,game_id
First Downs,24,26,3.0,2024,44
Rush-Yds-TDs,45-274-3,16-51-1,3.0,2024,44
Cmp-Att-Yd-TD-INT,12-15-182-1-0,28-51-379-2-0,3.0,2024,44
Sacked-Yards,0-0,3-18,3.0,2024,44
Net Pass Yards,182,361,3.0,2024,44
Total Yards,456,412,3.0,2024,44
Fumbles-Lost,0-0,2-1,3.0,2024,44
Turnovers,0,1,3.0,2024,44
Penalties-Yards,13-105,6-44,3.0,2024,44
Third Down Conv.,4-9,7-13,3.0,2024,44
Fourth Down Conv.,0-0,0-1,3.0,2024,44
Time of Possession,34:45,25:15,3.0,2024,44
