Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
D'Andre Swift,CHI,13,20,0,0.0,7,0.5,13,1.0,0,,3.0,2024,34
Roschon Johnson,CHI,8,30,0,3.0,19,2.4,11,1.4,0,,3.0,2024,34
Khalil Herbert,CHI,4,9,0,,4,1.0,5,1.3,0,,3.0,2024,34
D.J. Moore,CHI,1,-6,0,0.0,-6,-6.0,0,0.0,0,,3.0,2024,34
Rome Odunze,CHI,1,2,0,0.0,1,1.0,1,1.0,0,,3.0,2024,34
Caleb Williams,CHI,1,8,0,1.0,8,8.0,0,0.0,0,,3.0,2024,34
Jonathan Taylor,IND,23,110,2,6.0,95,4.1,15,0.7,0,,3.0,2024,34
Anthony Richardson,IND,8,24,0,1.0,18,2.3,6,0.8,0,,3.0,2024,34
Trey Sermon,IND,2,16,1,2.0,12,6.0,4,2.0,0,,3.0,2024,34
