Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Bengals to receive the opening kickoff.",,,3.0,2024,48
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 64 yards, returned by Chase Brown for 28 yards (tackle by Jamin Davis)",0.0,0.87,3.0,2024,48
1.0,14:54,1.0,10.0,CIN 29,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 1 yard (tackle by Bobby Wagner),0.87,0.46,3.0,2024,48
1.0,14:16,2.0,9.0,CIN 30,0.0,0.0,Joe Burrow pass complete short right to Andrei Iosivas for 8 yards (tackle by Mike Sainristil),0.46,0.83,3.0,2024,48
1.0,13:35,3.0,1.0,CIN 38,0.0,0.0,Joe Burrow scrambles left guard for 4 yards (tackle by Benjamin St-Juste),0.83,1.73,3.0,2024,48
1.0,13:00,1.0,10.0,CIN 42,0.0,0.0,Zack Moss left guard for 2 yards (tackle by Daron Payne),1.73,1.46,3.0,2024,48
1.0,12:27,2.0,8.0,CIN 44,0.0,0.0,Zack Moss right tackle for 15 yards (tackle by Quan Martin and Frankie Luvu),1.46,2.85,3.0,2024,48
1.0,11:43,1.0,10.0,WAS 41,0.0,6.0,"Joe Burrow pass complete deep left to Ja'Marr Chase for 41 yards, touchdown",2.85,7.0,3.0,2024,48
1.0,11:37,,,WAS 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,3.0,2024,48
1.0,11:37,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,48
1.0,11:37,1.0,10.0,WAS 30,0.0,7.0,Austin Ekeler right tackle for 8 yards (tackle by Germaine Pratt and Vonn Bell),0.94,1.47,3.0,2024,48
1.0,11:17,2.0,2.0,WAS 38,0.0,7.0,Jayden Daniels pass complete short right to Austin Ekeler for 8 yards (tackle by Daxton Hill),1.47,1.99,3.0,2024,48
1.0,10:49,1.0,10.0,WAS 46,0.0,7.0,Brian Robinson right guard for no gain (tackle by Germaine Pratt and Mike Hilton),1.99,1.45,3.0,2024,48
1.0,10:17,2.0,10.0,WAS 46,0.0,7.0,Jayden Daniels pass complete short right to Austin Ekeler for 14 yards (tackle by Daxton Hill and Geno Stone),1.45,2.92,3.0,2024,48
1.0,9:39,1.0,10.0,CIN 40,0.0,7.0,Jayden Daniels scrambles right end for 7 yards (tackle by Germaine Pratt),2.92,3.32,3.0,2024,48
1.0,9:00,2.0,3.0,CIN 33,0.0,7.0,Brian Robinson right guard for 2 yards (tackle by Cedric Johnson),3.32,2.87,3.0,2024,48
1.0,8:24,3.0,1.0,CIN 31,0.0,7.0,Jayden Daniels sacked by and Zachary Carter for -1 yards and Jay Tufele for -1 yards,2.87,1.3,3.0,2024,48
1.0,7:39,4.0,2.0,CIN 32,0.0,7.0,Jayden Daniels pass complete short right to Luke McCaffrey for 30 yards (tackle by Geno Stone),1.3,6.74,3.0,2024,48
1.0,6:54,1.0,2.0,CIN 2,0.0,7.0,"Penalty on CIN: Defensive Too Many Men on Field, 1 yard (accepted) (no play)",6.74,6.97,3.0,2024,48
1.0,6:32,1.0,1.0,CIN 1,0.0,7.0,Brian Robinson left guard for no gain (tackle by Logan Wilson and Lawrence Guy),6.97,5.91,3.0,2024,48
1.0,5:50,2.0,1.0,CIN 1,0.0,7.0,Brian Robinson up the middle for no gain (tackle by Mike Hilton). Penalty on Germaine Pratt: Defensive Offside (accepted) (no play),5.91,5.91,3.0,2024,48
1.0,5:28,2.0,1.0,CIN 1,6.0,7.0,"Brian Robinson left guard for 1 yard, touchdown",5.91,7.0,3.0,2024,48
1.0,5:25,,,CIN 15,7.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,3.0,2024,48
1.0,5:25,,,WAS 35,7.0,7.0,"Austin Seibert kicks off 64 yards, returned by Chase Brown for 22 yards (tackle by Jeremy Reaves)",0.0,0.48,3.0,2024,48
1.0,5:20,1.0,10.0,CIN 23,7.0,7.0,Chase Brown right guard for 7 yards (tackle by Noah Igbinoghene),0.48,0.88,3.0,2024,48
1.0,4:41,2.0,3.0,CIN 30,7.0,7.0,Chase Brown right guard for 2 yards (tackle by Jer'Zhan Newton),0.88,0.43,3.0,2024,48
1.0,4:01,3.0,1.0,CIN 32,7.0,7.0,Zack Moss right guard for 3 yards (tackle by Jeremy Chinn),0.43,1.27,3.0,2024,48
1.0,3:22,1.0,10.0,CIN 35,7.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 16 yards (tackle by Benjamin St-Juste),1.27,2.32,3.0,2024,48
1.0,2:42,1.0,10.0,WAS 49,7.0,7.0,Joe Burrow pass complete short left to Erick All for no gain (tackle by Frankie Luvu),2.32,1.78,3.0,2024,48
1.0,1:58,2.0,10.0,WAS 49,7.0,7.0,Joe Burrow pass complete short middle to Zack Moss for 6 yards (tackle by Jamin Davis and Frankie Luvu),1.78,1.88,3.0,2024,48
1.0,1:12,3.0,4.0,WAS 43,7.0,7.0,Joe Burrow pass complete short middle to Tee Higgins for 14 yards (tackle by Benjamin St-Juste and Jer'Zhan Newton),1.88,3.64,3.0,2024,48
1.0,0:40,1.0,10.0,WAS 29,7.0,7.0,Joe Burrow pass complete short left to Chase Brown for -1 yards (tackle by Jeremy Chinn),3.64,2.97,3.0,2024,48
1.0,0:01,2.0,11.0,WAS 30,7.0,7.0,Joe Burrow pass incomplete short right intended for Chase Brown (defended by Mike Sainristil),2.97,2.28,3.0,2024,48
2.0,15:00,3.0,11.0,WAS 30,7.0,7.0,Joe Burrow pass incomplete deep left intended for Mike Gesicki (defended by Percy Butler),2.28,1.41,3.0,2024,48
2.0,14:56,4.0,11.0,WAS 30,7.0,7.0,Evan McPherson 48 yard field goal no good,1.41,-1.47,3.0,2024,48
2.0,14:51,1.0,10.0,WAS 38,7.0,7.0,Brian Robinson left tackle for 7 yards (tackle by Vonn Bell and Logan Wilson),1.47,1.87,3.0,2024,48
2.0,14:20,2.0,3.0,WAS 45,7.0,7.0,Jayden Daniels scrambles right end for 4 yards (tackle by Cam Taylor-Britt),1.87,2.19,3.0,2024,48
2.0,13:42,1.0,10.0,WAS 49,7.0,7.0,Brian Robinson left guard for no gain (tackle by Germaine Pratt and Vonn Bell),2.19,1.65,3.0,2024,48
2.0,13:04,2.0,10.0,WAS 49,7.0,7.0,Jayden Daniels pass complete short right to Noah Brown for 16 yards (tackle by Daxton Hill),1.65,3.25,3.0,2024,48
2.0,12:21,1.0,10.0,CIN 35,7.0,7.0,Jayden Daniels pass incomplete deep right intended for Terry McLaurin,3.25,2.7,3.0,2024,48
2.0,12:15,,,,,,Timeout #1 by Washington Commanders,,,3.0,2024,48
2.0,12:15,2.0,10.0,CIN 35,7.0,7.0,Jayden Daniels pass complete short left to Luke McCaffrey for 11 yards (tackle by Germaine Pratt),2.7,3.97,3.0,2024,48
2.0,11:38,1.0,10.0,CIN 24,13.0,7.0,"Austin Ekeler left guard for 24 yards, touchdown",3.97,7.0,3.0,2024,48
2.0,11:31,,,CIN 15,14.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,3.0,2024,48
2.0,11:31,,,WAS 35,14.0,7.0,"Austin Seibert kicks off 64 yards, returned by Chase Brown for 29 yards (tackle by Nick Bellore and Mykal Walker)",0.0,0.94,3.0,2024,48
2.0,11:26,1.0,10.0,CIN 30,14.0,7.0,Joe Burrow pass complete short right to Zack Moss for 9 yards (tackle by Frankie Luvu and Benjamin St-Juste),0.94,1.61,3.0,2024,48
2.0,10:51,2.0,1.0,CIN 39,14.0,7.0,Zack Moss right guard for 5 yards (tackle by Benjamin St-Juste),1.61,1.86,3.0,2024,48
2.0,10:13,1.0,10.0,CIN 44,14.0,7.0,Chase Brown right guard for 14 yards (tackle by Bobby Wagner),1.86,2.79,3.0,2024,48
2.0,9:28,1.0,10.0,WAS 42,14.0,7.0,Joe Burrow pass complete short right to Chase Brown for 8 yards (tackle by Frankie Luvu),2.79,3.32,3.0,2024,48
2.0,8:47,2.0,2.0,WAS 34,14.0,7.0,Chase Brown left guard for 1 yard (tackle by Frankie Luvu),3.32,2.74,3.0,2024,48
2.0,8:03,3.0,1.0,WAS 33,14.0,7.0,Joe Burrow pass complete short right to Erick All for 8 yards (tackle by Bobby Wagner),2.74,3.91,3.0,2024,48
2.0,7:21,1.0,10.0,WAS 25,14.0,7.0,Joe Burrow pass complete deep middle to Mike Gesicki for 17 yards (tackle by Percy Butler and Quan Martin),3.91,5.37,3.0,2024,48
2.0,6:38,1.0,8.0,WAS 8,14.0,7.0,Joe Burrow sacked by and Dante Fowler for -6 yards and Dorance Armstrong for -6 yards,5.37,3.58,3.0,2024,48
2.0,6:16,2.0,14.0,WAS 14,14.0,7.0,Zack Moss up the middle for 5 yards (tackle by Bobby Wagner),3.58,3.36,3.0,2024,48
2.0,5:32,3.0,9.0,WAS 9,14.0,7.0,Joe Burrow pass incomplete short left intended for Andrei Iosivas,3.36,2.83,3.0,2024,48
2.0,5:28,4.0,9.0,WAS 9,14.0,10.0,Evan McPherson 28 yard field goal good,2.83,3.0,3.0,2024,48
