Unnamed: 0,HOU,MIN,week,year,game_id
First Downs,17,19,3.0,2024,38
Rush-Yds-TDs,14-38-0,28-118-0,3.0,2024,38
Cmp-Att-Yd-TD-INT,28-44-307-1-2,17-28-181-4-0,3.0,2024,38
Sacked-Yards,5-49,4-25,3.0,2024,38
Net Pass Yards,258,156,3.0,2024,38
Total Yards,296,274,3.0,2024,38
Fumbles-Lost,0-0,1-0,3.0,2024,38
Turnovers,2,0,3.0,2024,38
Penalties-Yards,11-88,5-30,3.0,2024,38
Third Down Conv.,4-14,6-13,3.0,2024,38
Fourth Down Conv.,2-4,1-1,3.0,2024,38
Time of Possession,30:42,29:18,3.0,2024,38
