Quarter,Time,Down,ToGo,Location,NWE,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Jets to receive the opening kickoff.",,,3.0,2024,33
1.0,15:00,,,NWE 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,33
1.0,15:00,1.0,10.0,NYJ 30,0.0,0.0,Aaron Rodgers pass complete short right to Garrett Wilson for 6 yards (tackle by Christian Gonzalez),0.94,1.2,3.0,2024,33
1.0,14:29,2.0,4.0,NYJ 36,0.0,0.0,Aaron Rodgers scrambles left end for 5 yards (tackle by Anfernee Jennings),1.2,1.66,3.0,2024,33
1.0,13:55,1.0,10.0,NYJ 41,0.0,0.0,Aaron Rodgers pass complete short right to Mike Williams for 5 yards (tackle by Jonathan Jones),1.66,1.8,3.0,2024,33
1.0,13:19,2.0,5.0,NYJ 46,0.0,0.0,Aaron Rodgers pass complete short left to Allen Lazard for 11 yards (tackle by Marcus Jones),1.8,2.72,3.0,2024,33
1.0,12:35,1.0,10.0,NWE 43,0.0,0.0,"Aaron Rodgers pass incomplete deep right intended for Mike Williams (defended by Jonathan Jones). Penalty on Morgan Moses: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,3.0,2024,33
1.0,12:25,1.0,20.0,NYJ 47,0.0,0.0,Aaron Rodgers sacked by Deatrich Wise for -6 yards,2.06,0.02,3.0,2024,33
1.0,11:41,2.0,26.0,NYJ 41,0.0,0.0,Breece Hall left guard for 7 yards (tackle by Raekwon McMillan),0.02,0.3,3.0,2024,33
1.0,10:57,3.0,19.0,NYJ 48,0.0,0.0,Aaron Rodgers pass complete short right to Breece Hall for 9 yards (tackle by Jabrill Peppers),0.3,0.4,3.0,2024,33
1.0,10:12,4.0,10.0,NWE 43,0.0,0.0,"Thomas Morstead punts 43 yards, touchback.",0.4,-0.28,3.0,2024,33
1.0,10:06,1.0,10.0,NWE 20,0.0,0.0,Jacoby Brissett pass complete short right to Hunter Henry for no gain (tackle by Quinnen Williams),0.28,-0.27,3.0,2024,33
1.0,9:32,2.0,10.0,NWE 20,0.0,0.0,Rhamondre Stevenson right tackle for 1 yard (tackle by Quincy Williams),-0.27,-0.82,3.0,2024,33
1.0,8:49,3.0,9.0,NWE 21,0.0,0.0,Jacoby Brissett pass incomplete deep right,-0.82,-1.96,3.0,2024,33
1.0,8:45,4.0,9.0,NWE 21,0.0,0.0,"Bryce Baringer punts 57 yards, returned by Xavier Gipson for 5 yards (tackle by Marcellas Dial and Jabrill Peppers)",-1.96,-0.74,3.0,2024,33
1.0,8:34,1.0,10.0,NYJ 27,0.0,0.0,Braelon Allen left tackle for 11 yards (tackle by Jahlani Tavai),0.74,1.47,3.0,2024,33
1.0,7:50,1.0,10.0,NYJ 38,0.0,0.0,Braelon Allen right tackle for 5 yards (tackle by Anfernee Jennings),1.47,1.6,3.0,2024,33
1.0,7:09,2.0,5.0,NYJ 43,0.0,0.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for 11 yards (tackle by Jahlani Tavai and Jonathan Jones),1.6,2.52,3.0,2024,33
