Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Texans to receive the opening kickoff.",,,3.0,2024,38
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,38
1.0,15:00,1.0,10.0,HOU 30,0.0,0.0,"C.J. Stroud pass complete deep left to Nico Collins for no gain (tackle by Andrew Van Ginkel). Penalty on Cade Stover: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,3.0,2024,38
1.0,14:47,1.0,20.0,HOU 20,0.0,0.0,C.J. Stroud pass short middle (defended by Harrison Phillips) intended for Tank Dell is intercepted by Kamu Grugier-Hill at HOU-26 and returned for 5 yards (tackle by Cam Akers and Nico Collins),0.28,-4.17,3.0,2024,38
1.0,14:24,1.0,10.0,HOU 21,0.0,0.0,Aaron Jones left tackle for 3 yards (tackle by Kamari Lassiter and Azeez Al-Shaair),4.17,4.04,3.0,2024,38
1.0,13:48,2.0,7.0,HOU 18,0.0,0.0,Sam Darnold pass incomplete short left intended for Johnny Mundt,4.04,3.31,3.0,2024,38
1.0,13:42,3.0,7.0,HOU 18,0.0,0.0,Sam Darnold pass complete short right to Justin Jefferson for 9 yards,3.31,5.14,3.0,2024,38
1.0,13:10,1.0,9.0,HOU 9,0.0,0.0,Sam Darnold pass incomplete short middle intended for Aaron Jones,5.14,4.38,3.0,2024,38
1.0,12:54,2.0,9.0,HOU 9,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by Jalen Pitre and Tim Settle),4.38,4.04,3.0,2024,38
1.0,12:10,3.0,6.0,HOU 6,0.0,6.0,"Sam Darnold pass complete short left to Justin Jefferson for 6 yards, touchdown",4.04,7.0,3.0,2024,38
1.0,12:03,,,HOU 15,0.0,7.0,Will Reichard kicks extra point good,0.0,0.0,3.0,2024,38
1.0,12:03,,,MIN 35,0.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,38
1.0,12:03,1.0,10.0,HOU 30,0.0,7.0,C.J. Stroud scrambles up the middle for 1 yard (tackle by Harrison Phillips),0.94,0.53,3.0,2024,38
1.0,11:23,2.0,9.0,HOU 31,0.0,7.0,Cam Akers right end for 2 yards (tackle by Kamu Grugier-Hill),0.53,0.1,3.0,2024,38
1.0,10:40,3.0,7.0,HOU 33,0.0,7.0,C.J. Stroud pass complete short left to Stefon Diggs for 7 yards (tackle by Byron Murphy),0.1,1.6,3.0,2024,38
1.0,9:57,1.0,10.0,HOU 40,0.0,7.0,Cam Akers right end for 8 yards (tackle by Camryn Bynum),1.6,2.13,3.0,2024,38
1.0,9:14,2.0,2.0,HOU 48,0.0,7.0,C.J. Stroud pass complete short right to Stefon Diggs for 7 yards (tackle by Blake Cashman),2.13,2.59,3.0,2024,38
1.0,8:30,1.0,10.0,MIN 45,0.0,7.0,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",2.59,2.26,3.0,2024,38
