Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA,week,year,game_id
1.0,9:18,3.0,2.0,ARI 38,7.0,0.0,Kyler Murray pass complete short right to Michael Wilson for 5 yards (tackle by Jack Campbell and Brian Branch),0.76,1.8,3.0,2024,43
1.0,8:39,1.0,10.0,ARI 43,7.0,0.0,Kyler Murray right end for 13 yards (tackle by Carlton Davis),1.8,2.65,3.0,2024,43
1.0,7:59,1.0,10.0,DET 44,7.0,0.0,Kyler Murray pass complete deep right to Marvin Harrison for 16 yards (tackle by Terrion Arnold),2.65,3.71,3.0,2024,43
1.0,7:15,1.0,10.0,DET 28,7.0,0.0,"James Conner up the middle for no gain (tackle by Jack Campbell and Marcus Davenport). Penalty on Will Hernandez: Offensive Holding, 10 yards (accepted) (no play)",3.71,3.05,3.0,2024,43
1.0,6:47,1.0,20.0,DET 38,7.0,0.0,Kyler Murray scrambles left end for 21 yards (tackle by Mekhi Wingo),3.05,4.44,3.0,2024,43
1.0,5:57,1.0,10.0,DET 17,7.0,0.0,James Conner up the middle for 2 yards (tackle by Derrick Barnes and Aidan Hutchinson),4.44,4.15,3.0,2024,43
1.0,5:14,2.0,8.0,DET 15,7.0,0.0,"Kyler Murray pass incomplete short left intended for Marvin Harrison. Penalty on Marcus Davenport: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",4.15,4.91,3.0,2024,43
1.0,5:14,1.0,10.0,DET 10,7.0,6.0,"Kyler Murray pass complete short left to Marvin Harrison for 10 yards, touchdown",4.91,7.0,3.0,2024,43
1.0,5:08,,,DET 15,7.0,7.0,Matt Prater kicks extra point good,0.0,0.0,3.0,2024,43
1.0,5:08,,,ARI 35,7.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,43
1.0,5:08,1.0,10.0,DET 30,7.0,7.0,Jahmyr Gibbs right tackle for 4 yards (tackle by Khyiris Tonga and Kyzir White),0.94,0.93,3.0,2024,43
1.0,4:27,2.0,6.0,DET 34,7.0,7.0,Jared Goff pass complete short middle to Brock Wright for 5 yards (tackle by Kyzir White and Khyiris Tonga),0.93,0.89,3.0,2024,43
1.0,3:46,3.0,1.0,DET 39,7.0,7.0,Jahmyr Gibbs right tackle for 3 yards (tackle by Khyiris Tonga),0.89,1.73,3.0,2024,43
1.0,3:10,1.0,10.0,DET 42,7.0,7.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Dennis Gardeck),1.73,1.46,3.0,2024,43
1.0,2:30,2.0,8.0,DET 44,7.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Garrett Williams),1.46,2.59,3.0,2024,43
1.0,1:51,1.0,10.0,ARI 45,7.0,7.0,"Penalty on Sam LaPorta: False Start, 5 yards (accepted) (no play)",2.59,2.26,3.0,2024,43
1.0,1:34,1.0,15.0,ARI 50,7.0,7.0,Jahmyr Gibbs right tackle for no gain (tackle by Budda Baker),2.26,1.37,3.0,2024,43
1.0,0:57,2.0,15.0,ARI 50,7.0,7.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 20 yards (tackle by Krys Barnes),1.37,3.58,3.0,2024,43
1.0,0:24,1.0,10.0,ARI 30,7.0,7.0,Jahmyr Gibbs left end for 3 yards (tackle by Budda Baker and Mack Wilson),3.58,3.44,3.0,2024,43
2.0,15:00,2.0,7.0,ARI 27,7.0,7.0,Jahmyr Gibbs left end for 4 yards (tackle by Sean Murphy-Bunting),3.44,3.27,3.0,2024,43
2.0,14:24,3.0,3.0,ARI 23,7.0,7.0,Jahmyr Gibbs up the middle for 14 yards (tackle by Kyzir White and Sean Murphy-Bunting),3.27,5.14,3.0,2024,43
2.0,13:46,1.0,9.0,ARI 9,7.0,7.0,Jahmyr Gibbs up the middle for 5 yards (tackle by Budda Baker and Kyzir White),5.14,5.34,3.0,2024,43
2.0,13:12,2.0,4.0,ARI 4,7.0,7.0,Jahmyr Gibbs up the middle for -1 yards (tackle by Dennis Gardeck),5.34,4.26,3.0,2024,43
2.0,12:33,3.0,5.0,ARI 5,13.0,7.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards, touchdown",4.26,7.0,3.0,2024,43
2.0,12:27,,,ARI 15,13.0,7.0,Jake Bates kicks extra point no good,0.0,-1.0,3.0,2024,43
2.0,12:27,,,DET 35,13.0,7.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,43
2.0,12:27,1.0,10.0,ARI 30,13.0,7.0,Kyler Murray scrambles right end for 3 yards (tackle by Brian Branch),0.94,0.8,3.0,2024,43
2.0,12:00,2.0,7.0,ARI 33,13.0,7.0,James Conner up the middle for 3 yards (tackle by Ben Niemann),0.8,0.5,3.0,2024,43
2.0,11:20,3.0,4.0,ARI 36,13.0,7.0,Kyler Murray pass complete short left to Michael Wilson for 3 yards (tackle by Carlton Davis),0.5,-0.78,3.0,2024,43
2.0,10:34,4.0,1.0,ARI 39,13.0,7.0,"Blake Gillikin punts 55 yards, returned by Kalif Raymond for 8 yards (tackle by Owen Pappoe)",-0.78,0.28,3.0,2024,43
2.0,10:23,1.0,10.0,DET 14,13.0,7.0,David Montgomery right tackle for 7 yards (tackle by Garrett Williams),-0.28,0.28,3.0,2024,43
2.0,9:52,2.0,3.0,DET 21,13.0,7.0,Jared Goff pass complete short right to Brock Wright for 10 yards (tackle by Sean Murphy-Bunting and Jalen Thompson),0.28,1.0,3.0,2024,43
2.0,9:15,1.0,10.0,DET 31,13.0,7.0,David Montgomery up the middle for no gain (tackle by L.J. Collier and Dante Stills),1.0,0.46,3.0,2024,43
2.0,8:41,2.0,10.0,DET 31,13.0,7.0,David Montgomery up the middle for 7 yards (tackle by Kyzir White and Dadrion Taylor-Demerson),0.46,0.7,3.0,2024,43
2.0,7:58,3.0,3.0,DET 38,13.0,7.0,Jared Goff sacked by Mack Wilson for -6 yards,0.7,-1.24,3.0,2024,43
2.0,7:15,4.0,9.0,DET 32,13.0,7.0,"Jack Fox punts 68 yards, touchback.. Penalty on Kei'Trel Clark: Unnecessary Roughness / Defense, 10 yards (accepted)",-1.24,0.38,3.0,2024,43
2.0,7:06,1.0,10.0,ARI 10,13.0,7.0,"Kyler Murray pass complete deep right to Michael Wilson for no gain (tackle by Terrion Arnold). Penalty on Elijah Higgins: Offensive Holding, 5 yards (accepted) (no play)",-0.38,-0.57,3.0,2024,43
2.0,6:38,1.0,15.0,ARI 5,13.0,7.0,James Conner left end for 3 yards (tackle by Jack Campbell),-0.57,-0.93,3.0,2024,43
2.0,5:57,2.0,12.0,ARI 8,13.0,7.0,"Kyler Murray pass incomplete short left intended for Michael Wilson. Penalty on Terrion Arnold: Defensive Pass Interference, 14 yards (accepted) (no play)",-0.93,0.41,3.0,2024,43
2.0,5:52,1.0,10.0,ARI 22,13.0,7.0,James Conner up the middle for -1 yards (tackle by Brian Branch and Aidan Hutchinson),0.41,-0.27,3.0,2024,43
2.0,5:12,2.0,11.0,ARI 21,13.0,7.0,Kyler Murray pass complete short middle to Michael Wilson for 9 yards (tackle by Brian Branch),-0.27,0.23,3.0,2024,43
2.0,4:32,3.0,2.0,ARI 30,13.0,7.0,Kyler Murray pass incomplete short right intended for Marvin Harrison,0.23,-1.37,3.0,2024,43
2.0,4:24,4.0,2.0,ARI 30,13.0,7.0,"Blake Gillikin punts 42 yards, fair catch by Kalif Raymond at DET-28",-1.37,-0.81,3.0,2024,43
2.0,4:23,1.0,10.0,DET 28,13.0,7.0,Jared Goff pass complete deep left to Sam LaPorta for 24 yards (tackle by Max Melton),0.81,2.39,3.0,2024,43
2.0,3:38,1.0,10.0,ARI 48,13.0,7.0,David Montgomery up the middle for 2 yards (tackle by Mack Wilson),2.39,2.12,3.0,2024,43
2.0,3:01,2.0,8.0,ARI 46,13.0,7.0,Jared Goff pass complete short right to David Montgomery for 1 yard (tackle by Julian Okwara and Budda Baker),2.12,1.55,3.0,2024,43
2.0,2:18,3.0,7.0,ARI 45,13.0,7.0,"Penalty on Taylor Decker: False Start, 5 yards (accepted) (no play)",1.55,0.89,3.0,2024,43
