Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Bills to receive the opening kickoff.",,,3.0,2024,47
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback., touchback.",0.0,0.94,3.0,2024,47
1.0,15:00,1.0,10.0,BUF 30,0.0,0.0,Josh Allen pass complete short left to James Cook for 19 yards (tackle by Montaric Brown),0.94,2.19,3.0,2024,47
1.0,14:25,1.0,10.0,BUF 49,0.0,0.0,Josh Allen pass incomplete short left intended for Dalton Kincaid,2.19,1.65,3.0,2024,47
1.0,14:21,2.0,10.0,BUF 49,0.0,0.0,James Cook left end for 3 yards (tackle by Andre Cisco and Montaric Brown),1.65,1.36,3.0,2024,47
1.0,13:43,3.0,7.0,JAX 48,0.0,0.0,Josh Allen pass complete short right to James Cook for 4 yards (tackle by Jarrian Jones),1.36,0.33,3.0,2024,47
1.0,13:01,4.0,3.0,JAX 44,0.0,0.0,Josh Allen pass complete short left to Khalil Shakir for 12 yards (tackle by Andre Cisco),0.33,3.45,3.0,2024,47
1.0,12:29,1.0,10.0,JAX 32,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Ronald Darby),3.45,4.24,3.0,2024,47
1.0,11:49,1.0,10.0,JAX 20,0.0,0.0,"Josh Allen pass complete short right to Dawson Knox for 1 yard (tackle by DaVon Hamilton and Yasir Abdullah). Penalty on Dion Dawkins: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.24,3.91,3.0,2024,47
1.0,11:16,1.0,15.0,JAX 25,0.0,0.0,Josh Allen pass complete short right to Curtis Samuel for 9 yards (tackle by Foyesade Oluokun),3.91,4.28,3.0,2024,47
1.0,10:41,2.0,6.0,JAX 16,0.0,0.0,James Cook right guard for 1 yard (tackle by Jarrian Jones),4.28,3.7,3.0,2024,47
1.0,10:21,3.0,5.0,JAX 15,0.0,0.0,Josh Allen up the middle for 9 yards (tackle by Devin Lloyd),3.7,5.83,3.0,2024,47
1.0,9:39,1.0,6.0,JAX 6,0.0,6.0,"James Cook left tackle for 6 yards, touchdown",5.83,7.0,3.0,2024,47
1.0,9:34,,,JAX 15,0.0,6.0,Tyler Bass kicks extra point blocked blocked by Roy Robertson-Harris,0.0,-1.0,3.0,2024,47
1.0,9:34,,,BUF 35,0.0,6.0,"Tyler Bass kicks off 65 yards, returned by Devin Duvernay for 27 yards (tackle by Dorian Williams)",0.0,0.74,3.0,2024,47
1.0,9:27,1.0,10.0,JAX 27,0.0,6.0,Trevor Lawrence pass complete short right to Travis Etienne for 1 yard (tackle by Dorian Williams),0.74,0.33,3.0,2024,47
1.0,8:57,2.0,9.0,JAX 28,0.0,6.0,Trevor Lawrence pass incomplete short right intended for Brian Thomas (defended by Rasul Douglas),0.33,-0.36,3.0,2024,47
1.0,8:54,3.0,9.0,JAX 28,0.0,6.0,"Trevor Lawrence pass incomplete short right intended for Gabriel Davis (defended by Cameron Lewis). Penalty on Cam Robinson: Offensive Holding, 10 yards (declined)",-0.36,-1.5,3.0,2024,47
1.0,8:49,4.0,9.0,JAX 28,0.0,6.0,"Logan Cooke punts 59 yards, returned by Brandon Codrington for 22 yards (tackle by Josiah Deguara and Caleb Johnson)",-1.5,-1.27,3.0,2024,47
1.0,8:37,1.0,10.0,BUF 35,0.0,6.0,Josh Allen pass complete short right to Curtis Samuel for 10 yards (tackle by Christian Braswell and Devin Lloyd),1.27,1.93,3.0,2024,47
1.0,7:55,1.0,10.0,BUF 45,0.0,6.0,Josh Allen pass incomplete short left intended for Marquez Valdes-Scantling (defended by Andre Cisco),1.93,1.38,3.0,2024,47
1.0,7:50,2.0,10.0,BUF 45,0.0,6.0,Josh Allen pass complete short middle to Marquez Valdes-Scantling for 7 yards (tackle by Ronald Darby),1.38,1.62,3.0,2024,47
1.0,7:11,3.0,3.0,JAX 48,0.0,6.0,Josh Allen pass complete deep right to Dalton Kincaid for 28 yards (tackle by Antonio Johnson),1.62,4.24,3.0,2024,47
1.0,6:35,,,,,,Timeout #1 by Buffalo Bills,,,3.0,2024,47
1.0,6:35,1.0,10.0,JAX 20,0.0,6.0,Josh Allen pass incomplete short middle intended for Dawson Knox (defended by Foyesade Oluokun),4.24,3.69,3.0,2024,47
1.0,6:30,2.0,10.0,JAX 20,0.0,6.0,Josh Allen pass complete short left to Khalil Shakir for 5 yards (tackle by Christian Braswell),3.69,3.7,3.0,2024,47
1.0,5:56,3.0,5.0,JAX 15,0.0,6.0,Josh Allen pass complete short left to Ty Johnson for 4 yards (tackle by Montaric Brown),3.7,2.85,3.0,2024,47
1.0,5:37,4.0,1.0,JAX 11,0.0,6.0,Josh Allen left guard for 2 yards (tackle by Foyesade Oluokun),2.85,5.14,3.0,2024,47
1.0,5:01,1.0,9.0,JAX 9,0.0,6.0,James Cook right guard for 3 yards (tackle by Josh Hines-Allen),5.14,4.95,3.0,2024,47
1.0,4:20,2.0,6.0,JAX 6,0.0,6.0,"Josh Allen pass incomplete short right intended for Khalil Shakir. Penalty on Ronald Darby: Defensive Holding, 5 yards (offset) . Penalty on Spencer Brown: Offensive Holding, 10 yards (offset) (no play)",4.95,4.95,3.0,2024,47
1.0,4:12,2.0,6.0,JAX 6,0.0,6.0,Curtis Samuel up the middle for no gain (tackle by Jeremiah Ledbetter),4.95,4.04,3.0,2024,47
1.0,3:34,3.0,6.0,JAX 6,0.0,12.0,"Josh Allen pass complete short right to Dalton Kincaid for 6 yards, touchdown",4.04,7.0,3.0,2024,47
1.0,3:25,,,JAX 15,0.0,13.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2024,47
1.0,3:25,,,BUF 35,0.0,13.0,"Tyler Bass kicks off 65 yards, touchback., touchback.",0.0,0.94,3.0,2024,47
1.0,3:25,1.0,10.0,JAX 30,0.0,13.0,Travis Etienne up the middle for 2 yards (tackle by A.J. Epenesa),0.94,0.66,3.0,2024,47
1.0,2:48,2.0,8.0,JAX 32,0.0,13.0,Trevor Lawrence pass complete short right to Christian Kirk for 6 yards (tackle by Cameron Lewis),0.66,0.76,3.0,2024,47
1.0,2:09,3.0,2.0,JAX 38,0.0,13.0,Trevor Lawrence scrambles left tackle for 1 yard (tackle by Baylon Spector and Dorian Williams),0.76,-0.78,3.0,2024,47
1.0,1:25,4.0,1.0,JAX 39,0.0,13.0,Travis Etienne up the middle for 2 yards (tackle by Baylon Spector and Ed Oliver),-0.78,1.66,3.0,2024,47
1.0,0:44,1.0,10.0,JAX 41,0.0,13.0,Trevor Lawrence pass incomplete deep right intended for Brian Thomas (defended by Christian Benford),1.66,1.12,3.0,2024,47
