Unnamed: 0,SFO,LAR,week,year,game_id
First Downs,25,19,3.0,2024,45
Rush-Yds-TDs,34-137-0,26-98-2,3.0,2024,45
Cmp-Att-Yd-TD-INT,22-30-292-3-0,16-26-221-1-0,3.0,2024,45
Sacked-Yards,1-4,3-23,3.0,2024,45
Net Pass Yards,288,198,3.0,2024,45
Total Yards,425,296,3.0,2024,45
Fumbles-Lost,2-1,0-0,3.0,2024,45
Turnovers,1,0,3.0,2024,45
Penalties-Yards,7-111,8-75,3.0,2024,45
Third Down Conv.,6-11,5-12,3.0,2024,45
Fourth Down Conv.,1-1,2-2,3.0,2024,45
Time of Possession,33:27,26:33,3.0,2024,45
