Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Travis Etienne,JAX,11,68,0,4.0,40,3.6,28,2.5,0,,3.0,2024,47
Tank Bigsby,JAX,2,9,0,1.0,4,2.0,5,2.5,1,2.0,3.0,2024,47
D'Ernest Johnson,JAX,2,12,0,1.0,9,4.5,3,1.5,0,,3.0,2024,47
Trevor Lawrence,JAX,2,3,0,1.0,1,0.5,2,1.0,0,,3.0,2024,47
James Cook,BUF,11,39,1,2.0,16,1.5,23,2.1,0,,3.0,2024,47
Ray Davis,BUF,7,22,1,1.0,15,2.1,7,1.0,0,,3.0,2024,47
Josh Allen,BUF,6,44,0,5.0,34,5.7,10,1.7,0,,3.0,2024,47
Ty Johnson,BUF,3,18,0,1.0,1,0.3,17,5.7,0,,3.0,2024,47
Curtis Samuel,BUF,1,0,0,0.0,0,0.0,0,0.0,0,,3.0,2024,47
Mitchell Trubisky,BUF,1,-1,0,,-1,-1.0,0,0.0,0,,3.0,2024,47
