Unnamed: 0,MIA,SEA,week,year,game_id
First Downs,13,21,3.0,2024,42
Rush-Yds-TDs,18-65-0,23-100-2,3.0,2024,42
Cmp-Att-Yd-TD-INT,20-32-186-0-0,26-34-289-1-2,3.0,2024,42
Sacked-Yards,6-46,3-19,3.0,2024,42
Net Pass Yards,140,270,3.0,2024,42
Total Yards,205,370,3.0,2024,42
Fumbles-Lost,3-0,1-0,3.0,2024,42
Turnovers,0,2,3.0,2024,42
Penalties-Yards,11-85,11-92,3.0,2024,42
Third Down Conv.,1-12,3-11,3.0,2024,42
Fourth Down Conv.,0-3,0-0,3.0,2024,42
Time of Possession,28:32,31:28,3.0,2024,42
