Unnamed: 0,LAC,PIT,week,year,game_id
First Downs,10,20,3.0,2024,40
Rush-Yds-TDs,20-61-0,31-114-1,3.0,2024,40
Cmp-Att-Yd-TD-INT,14-20-149-1-0,25-32-245-1-1,3.0,2024,40
Sacked-Yards,5-44,2-13,3.0,2024,40
Net Pass Yards,105,232,3.0,2024,40
Total Yards,166,346,3.0,2024,40
Fumbles-Lost,2-0,0-0,3.0,2024,40
Turnovers,0,1,3.0,2024,40
Penalties-Yards,7-69,3-15,3.0,2024,40
Third Down Conv.,3-11,7-14,3.0,2024,40
Fourth Down Conv.,0-0,0-0,3.0,2024,40
Time of Possession,26:09,33:51,3.0,2024,40
