Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Skylar Thompson,MIA,13,19,107,4,16.7,102,5.4,61,4.7,3.2,46,3.5,1,5.6%,2,11.1%,5,6,2,4,11,45.8%,0,,3.0,2024,42
Tim Boyle,MIA,7,13,79,4,28.6,104,8.0,31,4.4,2.4,48,6.9,1,7.7%,3,23.1%,1,0,0,2,3,20.0%,1,6.0,3.0,2024,42
Geno Smith,SEA,26,34,289,13,35.1,186,5.5,137,5.3,4.0,152,5.8,0,0.0%,4,12.1%,3,8,4,3,10,27.0%,0,,3.0,2024,42
