Unnamed: 0,GNB,TEN,week,year,game_id
First Downs,16,18,3.0,2024,37
Rush-Yds-TDs,37-188-1,11-33-0,3.0,2024,37
Cmp-Att-Yd-TD-INT,13-19-202-1-0,26-34-260-2-2,3.0,2024,37
Sacked-Yards,3-12,8-56,3.0,2024,37
Net Pass Yards,190,204,3.0,2024,37
Total Yards,378,237,3.0,2024,37
Fumbles-Lost,0-0,1-1,3.0,2024,37
Turnovers,0,3,3.0,2024,37
Penalties-Yards,10-75,2-15,3.0,2024,37
Third Down Conv.,5-14,3-9,3.0,2024,37
Fourth Down Conv.,0-0,0-1,3.0,2024,37
Time of Possession,32:28,27:32,3.0,2024,37
