Unnamed: 0,DET,ARI,week,year,game_id
First Downs,23,17,3.0,2024,43
Rush-Yds-TDs,43-187-1,18-77-0,3.0,2024,43
Cmp-Att-Yd-TD-INT,18-23-199-2-1,21-34-207-1-1,3.0,2024,43
Sacked-Yards,2-13,1-7,3.0,2024,43
Net Pass Yards,186,200,3.0,2024,43
Total Yards,373,277,3.0,2024,43
Fumbles-Lost,0-0,0-0,3.0,2024,43
Turnovers,1,1,3.0,2024,43
Penalties-Yards,9-79,4-30,3.0,2024,43
Third Down Conv.,6-12,1-9,3.0,2024,43
Fourth Down Conv.,0-1,0-2,3.0,2024,43
Time of Possession,36:49,23:11,3.0,2024,43
