Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,,3.0,2024,36
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Bo Nix pass complete deep left to Courtland Sutton for 22 yards (tackle by Jamel Dean),0.94,2.39,3.0,2024,36
1.0,14:26,1.0,10.0,TAM 48,0.0,0.0,Bo Nix pass complete short right to Nate Adkins for 6 yards (tackle by YaYa Diaby and Zyon McCollum),2.39,2.66,3.0,2024,36
1.0,13:47,2.0,4.0,TAM 42,0.0,0.0,Bo Nix pass complete deep right to Josh Reynolds for 31 yards (tackle by Zyon McCollum),2.66,4.84,3.0,2024,36
1.0,12:58,1.0,10.0,TAM 11,0.0,0.0,"Penalty on DEN: Delay of Game, 5 yards (accepted) (no play)",4.84,4.34,3.0,2024,36
1.0,12:34,1.0,15.0,TAM 16,0.0,0.0,Bo Nix right end for 2 yards (tackle by Zyon McCollum),4.34,3.69,3.0,2024,36
1.0,11:52,2.0,13.0,TAM 14,0.0,0.0,Bo Nix pass complete short left to Javonte Williams for 11 yards (tackle by Jamel Dean and Tykee Smith),3.69,4.89,3.0,2024,36
1.0,11:11,3.0,2.0,TAM 3,6.0,0.0,"Bo Nix scrambles right end for 3 yards, touchdown",4.89,7.0,3.0,2024,36
1.0,11:05,,,TAM 15,7.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2024,36
1.0,11:05,,,DEN 35,7.0,0.0,"Wil Lutz kicks off 67 yards, returned by Sean Tucker for 27 yards (tackle by Tanner McCalister and Devon Key)",0.0,0.61,3.0,2024,36
1.0,10:59,1.0,10.0,TAM 25,7.0,0.0,Rachaad White right guard for no gain (tackle by John Franklin-Myers and D.J. Jones),0.61,0.06,3.0,2024,36
1.0,10:25,2.0,10.0,TAM 25,7.0,0.0,Baker Mayfield pass incomplete short right,0.06,-0.62,3.0,2024,36
1.0,10:18,3.0,10.0,TAM 25,7.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 2 yards (tackle by Alex Singleton and Brandon Jones),-0.62,-1.57,3.0,2024,36
1.0,9:37,4.0,8.0,TAM 27,7.0,0.0,"Jake Camarda punts 67 yards, returned by Marvin Mims for 27 yards (tackle by Sean Tucker and Anthony Nelson)",-1.57,-1.14,3.0,2024,36
1.0,9:22,1.0,10.0,DEN 33,7.0,0.0,Javonte Williams right tackle for 3 yards (tackle by Jordan Whitehead),1.14,1.0,3.0,2024,36
1.0,8:41,2.0,7.0,DEN 36,7.0,0.0,Jaleel McLaughlin left end for 2 yards (tackle by Tykee Smith and Jordan Whitehead),1.0,0.56,3.0,2024,36
1.0,8:06,3.0,5.0,DEN 38,7.0,0.0,Bo Nix pass incomplete short right intended for Lil'Jordan Humphrey,0.56,-0.85,3.0,2024,36
1.0,8:03,4.0,5.0,DEN 38,7.0,0.0,"Riley Dixon punts 49 yards, fair catch by Trey Palmer at TB-13",-0.85,0.32,3.0,2024,36
1.0,7:55,1.0,10.0,TAM 13,7.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Riley Moss),-0.32,0.22,3.0,2024,36
1.0,7:17,2.0,3.0,TAM 20,7.0,0.0,Rachaad White right end for 4 yards (tackle by Ja'Quan McMillian),0.22,0.54,3.0,2024,36
1.0,6:44,1.0,10.0,TAM 24,7.0,0.0,Rachaad White left guard for 4 yards (tackle by Alex Singleton and Jonathon Cooper),0.54,0.54,3.0,2024,36
1.0,6:04,2.0,6.0,TAM 28,7.0,0.0,Baker Mayfield pass complete short left to Cade Otton for 2 yards (tackle by P.J. Locke),0.54,0.1,3.0,2024,36
1.0,5:25,3.0,4.0,TAM 30,7.0,0.0,Baker Mayfield pass deep right intended for Mike Evans is intercepted by Brandon Jones at TB-46 and returned for 37 yards (tackle by Tristan Wirfs and Rachaad White),0.1,-5.14,3.0,2024,36
1.0,5:10,1.0,9.0,TAM 9,7.0,0.0,"Bo Nix sacked by Anthony Nelson for no gain. Bo Nix fumbles (forced by Anthony Nelson), recovered by Logan Hall at TB-16. Penalty on Greg Gaines: Defensive Offside, 5 yards (accepted) (no play)",5.14,6.28,3.0,2024,36
1.0,5:00,1.0,4.0,TAM 4,7.0,0.0,Javonte Williams up the middle for 2 yards (tackle by SirVocea Dennis),6.28,5.72,3.0,2024,36
1.0,4:25,2.0,2.0,TAM 2,7.0,0.0,Jaleel McLaughlin up the middle for 1 yard (tackle by Greg Gaines and Tykee Smith),5.72,5.17,3.0,2024,36
1.0,3:44,3.0,1.0,TAM 1,7.0,0.0,"Javonte Williams up the middle for no gain (tackle by Jordan Whitehead and Greg Gaines) DEN challenged the runner was down by contact ruling, and the play was upheld.",5.17,3.55,3.0,2024,36
1.0,3:02,4.0,1.0,TAM 1,13.0,0.0,"Jaleel McLaughlin right end for 1 yard, touchdown",3.55,7.0,3.0,2024,36
1.0,2:56,,,TAM 15,14.0,0.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2024,36
1.0,2:56,,,DEN 35,14.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,36
1.0,2:56,1.0,10.0,TAM 30,14.0,0.0,Bucky Irving right guard for 3 yards (tackle by Jonathon Cooper and Cody Barton),0.94,0.8,3.0,2024,36
1.0,2:16,2.0,7.0,TAM 33,14.0,0.0,Baker Mayfield sacked by Devon Key for no gain,0.8,0.1,3.0,2024,36
1.0,1:29,3.0,7.0,TAM 33,14.0,0.0,Baker Mayfield pass incomplete short left intended for Trey Palmer (defended by Riley Moss),0.1,-1.18,3.0,2024,36
1.0,1:25,4.0,7.0,TAM 33,14.0,0.0,Jake Camarda punts 33 yards downed by J.J. Russell,-1.18,-1.2,3.0,2024,36
1.0,1:17,1.0,10.0,DEN 34,14.0,0.0,Jaleel McLaughlin left tackle for 7 yards (tackle by K.J. Britt),1.2,1.6,3.0,2024,36
1.0,0:48,2.0,3.0,DEN 41,14.0,0.0,Bo Nix pass incomplete deep right intended for Troy Franklin,1.6,0.89,3.0,2024,36
1.0,0:41,3.0,3.0,DEN 41,14.0,0.0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 2 yards (tackle by Jordan Whitehead and SirVocea Dennis),0.89,-0.52,3.0,2024,36
1.0,0:09,4.0,1.0,DEN 43,14.0,0.0,Bo Nix left tackle for 3 yards (tackle by YaYa Diaby),-0.52,1.99,3.0,2024,36
