Unnamed: 0,DEN,TAM,week,year,game_id
First Downs,18,17,3.0,2024,36
Rush-Yds-TDs,28-136-2,16-91-0,3.0,2024,36
Cmp-Att-Yd-TD-INT,25-36-216-0-0,25-33-163-1-1,3.0,2024,36
Sacked-Yards,0-0,7-31,3.0,2024,36
Net Pass Yards,216,132,3.0,2024,36
Total Yards,352,223,3.0,2024,36
Fumbles-Lost,1-1,1-1,3.0,2024,36
Turnovers,1,2,3.0,2024,36
Penalties-Yards,5-51,5-19,3.0,2024,36
Third Down Conv.,4-13,3-11,3.0,2024,36
Fourth Down Conv.,2-3,0-2,3.0,2024,36
Time of Possession,32:08,27:52,3.0,2024,36
