Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Jacoby Brissett,NWE,12,18,98,4,17.4,120,6.7,47,3.9,2.6,51,4.3,1,5.6%,4,22.2%,5,7,2,4,11,47.8%,0,,3.0,2024,33
Drake Maye,NWE,4,8,22,2,20.0,25,3.1,8,2.0,1.0,14,3.5,1,12.5%,2,25.0%,2,2,0,1,3,25.0%,2,6.0,3.0,2024,33
Aaron Rodgers,NYJ,27,35,281,16,43.2,226,6.5,129,4.8,3.7,152,5.6,2,5.7%,5,14.3%,2,6,0,2,4,10.0%,3,6.0,3.0,2024,33
