Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA,week,year,game_id
2.0,7:36,2.0,8.0,BAL 49,14.0,3.0,Lamar Jackson pass complete short left to Zay Flowers for 7 yards (tackle by Malik Hooker and Micah Parsons),1.79,2.02,3.0,2024,44
2.0,7:02,3.0,1.0,DAL 44,14.0,3.0,Derrick Henry right end for no gain (tackle by Eric Kendricks and Marshawn Kneeland),2.02,0.33,3.0,2024,44
2.0,6:06,4.0,1.0,DAL 44,14.0,3.0,"Penalty on BAL: Delay of Game, 5 yards (accepted) (no play)",0.33,0.0,3.0,2024,44
2.0,5:53,4.0,6.0,DAL 49,14.0,3.0,"Jordan Stout punts 36 yards, fair catch by KaVontae Turpin at DAL-13",0.0,0.32,3.0,2024,44
2.0,5:46,1.0,10.0,DAL 13,14.0,3.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks,-0.32,-0.77,3.0,2024,44
2.0,5:41,2.0,10.0,DAL 13,14.0,3.0,Dak Prescott pass complete short middle to Jake Ferguson for 6 yards (tackle by Ar'Darius Washington),-0.77,-0.71,3.0,2024,44
2.0,5:00,3.0,4.0,DAL 19,14.0,3.0,Dak Prescott pass complete short left to KaVontae Turpin for 12 yards (tackle by Marlon Humphrey),-0.71,1.0,3.0,2024,44
2.0,4:27,1.0,10.0,DAL 31,14.0,3.0,Rico Dowdle up the middle for 2 yards (tackle by Roquan Smith and David Ojabo),1.0,0.73,3.0,2024,44
2.0,3:57,2.0,8.0,DAL 33,14.0,3.0,KaVontae Turpin right end for 1 yard (tackle by Kyle Hamilton),0.73,0.17,3.0,2024,44
2.0,3:18,3.0,7.0,DAL 34,14.0,3.0,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,0.17,-1.11,3.0,2024,44
2.0,3:15,4.0,7.0,DAL 34,14.0,3.0,"Bryan Anger punts 54 yards, fair catch by Deonte Harty at BAL-12",-1.11,0.35,3.0,2024,44
2.0,3:07,1.0,10.0,BAL 12,14.0,3.0,Derrick Henry up the middle for 12 yards (tackle by Marshawn Kneeland),-0.35,0.54,3.0,2024,44
2.0,2:32,1.0,10.0,BAL 24,14.0,3.0,Derrick Henry left end for 13 yards (tackle by Micah Parsons),0.54,1.4,3.0,2024,44
2.0,2:00,1.0,10.0,BAL 37,14.0,3.0,Lamar Jackson pass complete short left to Justice Hill for 13 yards (tackle by Malik Hooker),1.4,2.26,3.0,2024,44
2.0,1:53,1.0,10.0,DAL 50,14.0,3.0,Lamar Jackson pass complete short left to Derrick Henry for 23 yards (tackle by Eric Kendricks and Jourdan Lewis),2.26,3.78,3.0,2024,44
2.0,1:10,1.0,10.0,DAL 27,14.0,3.0,Derrick Henry up the middle for 3 yards (tackle by Eric Kendricks and Osa Odighizuwa),3.78,3.64,3.0,2024,44
2.0,1:05,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2024,44
2.0,1:05,2.0,7.0,DAL 24,14.0,3.0,Lamar Jackson pass complete short left to Justice Hill for 8 yards (tackle by Trevon Diggs),3.64,4.51,3.0,2024,44
2.0,0:37,1.0,10.0,DAL 16,14.0,3.0,Lamar Jackson pass complete short left to Rashod Bateman for 3 yards (tackle by Caelen Carson),4.51,4.39,3.0,2024,44
2.0,0:31,,,,,,Timeout #2 by Baltimore Ravens,,,3.0,2024,44
2.0,0:31,2.0,7.0,DAL 13,20.0,3.0,"Lamar Jackson pass complete short middle to Rashod Bateman for 13 yards, touchdown",4.39,7.0,3.0,2024,44
2.0,0:25,,,DAL 15,21.0,3.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2024,44
2.0,0:25,,,BAL 35,21.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,44
2.0,0:25,1.0,10.0,DAL 30,21.0,3.0,Dak Prescott scrambles right end for 6 yards (tackle by Kyle Hamilton),0.94,1.2,3.0,2024,44
2.0,0:19,2.0,4.0,DAL 36,21.0,3.0,Dak Prescott pass complete deep right to CeeDee Lamb for 31 yards (tackle by Marcus Williams),1.2,3.38,3.0,2024,44
2.0,0:12,1.0,10.0,BAL 33,21.0,3.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Tyler Guyton: Offensive Holding (offset) . Penalty on Nate Wiggins: Defensive Pass Interference (offset) (no play),3.38,3.38,3.0,2024,44
2.0,0:06,,,,,,Timeout #3 by Baltimore Ravens,,,3.0,2024,44
2.0,0:06,1.0,10.0,BAL 33,21.0,6.0,Brandon Aubrey 51 yard field goal good,3.38,3.0,3.0,2024,44
2.0,0:02,,,DAL 35,21.0,6.0,"Brandon Aubrey kicks off 62 yards, returned by Deonte Harty for 20 yards (tackle by Nick Vigil)",0.0,1.27,3.0,2024,44
3.0,15:00,,,DAL 35,21.0,6.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,44
3.0,15:00,1.0,10.0,BAL 30,21.0,6.0,Lamar Jackson left end for 6 yards (tackle by Trevon Diggs and DeMarcus Lawrence),0.94,1.2,3.0,2024,44
3.0,14:29,2.0,4.0,BAL 36,21.0,6.0,Derrick Henry up the middle for 3 yards (tackle by Eric Kendricks),1.2,0.89,3.0,2024,44
3.0,13:55,3.0,1.0,BAL 39,21.0,6.0,Derrick Henry left guard for 29 yards (tackle by Malik Hooker),0.89,3.45,3.0,2024,44
3.0,13:12,1.0,10.0,DAL 32,21.0,6.0,"Justice Hill left tackle for 8 yards (tackle by Mazi Smith). Penalty on Andrew Vorhees: Offensive Holding, 10 yards (accepted) (no play)",3.45,2.79,3.0,2024,44
3.0,12:40,1.0,20.0,DAL 42,21.0,6.0,Lamar Jackson right end for 16 yards (tackle by Micah Parsons),2.79,3.71,3.0,2024,44
3.0,12:06,2.0,4.0,DAL 26,27.0,6.0,"Derrick Henry left guard for 26 yards, touchdown",3.71,7.0,3.0,2024,44
3.0,11:58,,,DAL 15,28.0,6.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2024,44
3.0,11:58,,,BAL 35,28.0,6.0,"Justin Tucker kicks off 69 yards, returned by Juanyeh Thomas for 33 yards (tackle by Josh Ross)",0.0,0.87,3.0,2024,44
3.0,11:53,1.0,10.0,DAL 29,28.0,6.0,Rico Dowdle right guard for 3 yards (tackle by Travis Jones and Roquan Smith),0.87,0.73,3.0,2024,44
3.0,11:22,2.0,7.0,DAL 32,28.0,6.0,Dak Prescott pass complete short middle to CeeDee Lamb for 9 yards (tackle by Brandon Stephens),0.73,1.66,3.0,2024,44
3.0,10:49,1.0,10.0,DAL 41,28.0,6.0,Deuce Vaughn up the middle for 4 yards (tackle by Trenton Simpson and Roquan Smith),1.66,1.66,3.0,2024,44
3.0,10:18,2.0,6.0,DAL 45,28.0,6.0,Dak Prescott pass incomplete short right intended for Jake Ferguson,1.66,0.96,3.0,2024,44
3.0,10:13,3.0,6.0,DAL 45,28.0,6.0,"Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Marlon Humphrey). Penalty on Nate Wiggins: Defensive Holding, 5 yards (accepted) (no play)",0.96,2.26,3.0,2024,44
3.0,10:05,1.0,10.0,DAL 50,28.0,6.0,"Rico Dowdle right end for 6 yards (tackle by Tavius Robinson). Penalty on Eddie Jackson: Face Mask (15 Yards), 15 yards (accepted)",2.26,3.64,3.0,2024,44
3.0,9:53,1.0,10.0,BAL 29,28.0,6.0,"Rico Dowdle left tackle for no gain (tackle by Trenton Simpson and Roquan Smith). Penalty on Brevyn Spann-Ford: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,3.0,2024,44
3.0,9:29,1.0,20.0,BAL 39,28.0,6.0,Ezekiel Elliott right guard for 2 yards (tackle by Roquan Smith),2.98,2.02,3.0,2024,44
3.0,8:53,2.0,18.0,BAL 37,28.0,6.0,Dak Prescott pass incomplete short right intended for Deuce Vaughn (defended by Michael Pierce),2.02,1.36,3.0,2024,44
3.0,8:50,3.0,18.0,BAL 37,28.0,6.0,Dak Prescott sacked by Kyle Van Noy for -11 yards,1.36,0.07,3.0,2024,44
3.0,8:00,4.0,29.0,BAL 48,28.0,6.0,"Bryan Anger punts 37 yards, fair catch by Deonte Harty at BAL-11",0.07,0.37,3.0,2024,44
3.0,7:52,1.0,10.0,BAL 11,28.0,6.0,Derrick Henry left end for 3 yards (tackle by Trevon Diggs),-0.37,-0.53,3.0,2024,44
3.0,7:10,2.0,7.0,BAL 14,28.0,6.0,Derrick Henry up the middle for 9 yards (tackle by Malik Hooker),-0.53,0.48,3.0,2024,44
3.0,6:28,1.0,10.0,BAL 23,28.0,6.0,Lamar Jackson right tackle for 9 yards (tackle by Caelen Carson),0.48,1.15,3.0,2024,44
3.0,5:37,2.0,1.0,BAL 32,28.0,6.0,Derrick Henry right tackle for 3 yards (tackle by DeMarvion Overshown and Caelen Carson),1.15,1.27,3.0,2024,44
3.0,4:58,1.0,10.0,BAL 35,28.0,6.0,Justice Hill right end for 13 yards (tackle by Donovan Wilson and Eric Kendricks),1.27,2.13,3.0,2024,44
3.0,4:20,1.0,10.0,BAL 48,28.0,6.0,"Derrick Henry left tackle for no gain (tackle by Micah Parsons and DeMarvion Overshown). Penalty on Daniel Faalele: Offensive Holding, 10 yards (accepted) (no play)",2.13,1.47,3.0,2024,44
