Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA,week,year,game_id
4.0,3:59,3.0,5.0,DAL 46,28.0,18.0,"Dak Prescott pass incomplete deep middle intended for Jake Ferguson. Penalty on Marcus Williams: Illegal Contact, 5 yards (accepted) (no play)",1.09,2.32,3.0,2024,44
4.0,3:55,1.0,10.0,BAL 49,28.0,18.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,2.32,1.78,3.0,2024,44
4.0,3:50,2.0,10.0,BAL 49,28.0,18.0,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Ar'Darius Washington). Penalty on Odafe Oweh: Roughing the Passer, 15 yards (accepted) (no play)",1.78,3.31,3.0,2024,44
4.0,3:45,1.0,10.0,BAL 34,28.0,18.0,Dak Prescott pass incomplete short middle intended for Hunter Luepke (defended by Roquan Smith),3.31,2.77,3.0,2024,44
4.0,3:41,2.0,10.0,BAL 34,28.0,18.0,Dak Prescott pass complete short left to Rico Dowdle for 18 yards (tackle by Kyle Hamilton and Eddie Jackson),2.77,4.51,3.0,2024,44
4.0,3:10,1.0,10.0,BAL 16,28.0,18.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks (defended by Brandon Stephens),4.51,3.9,3.0,2024,44
4.0,3:05,2.0,10.0,BAL 16,28.0,18.0,Dak Prescott pass incomplete deep right,3.9,3.08,3.0,2024,44
4.0,2:58,3.0,10.0,BAL 16,28.0,24.0,"Dak Prescott pass complete deep left to KaVontae Turpin for 16 yards, touchdown",3.08,7.0,3.0,2024,44
4.0,2:53,,,BAL 15,28.0,25.0,Brandon Aubrey kicks extra point good,0.0,0.0,3.0,2024,44
4.0,2:53,,,DAL 35,28.0,25.0,"Brandon Aubrey kicks off 65 yards, returned by Deonte Harty for 31 yards (tackle by Hunter Luepke and Jalen Brooks). Penalty on Chris Board: Offensive Holding, 10 yards (accepted)",0.0,0.34,3.0,2024,44
4.0,2:44,1.0,10.0,BAL 21,28.0,25.0,Lamar Jackson up the middle for 4 yards (tackle by Mazi Smith),0.34,0.34,3.0,2024,44
4.0,2:40,,,,,,Timeout #1 by Dallas Cowboys,,,3.0,2024,44
4.0,2:40,2.0,6.0,BAL 25,28.0,25.0,Derrick Henry up the middle for no gain (tackle by Micah Parsons),0.34,-0.36,3.0,2024,44
4.0,2:36,,,,,,Timeout #2 by Dallas Cowboys,,,3.0,2024,44
4.0,2:36,3.0,6.0,BAL 25,28.0,25.0,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Trevon Diggs),-0.36,1.2,3.0,2024,44
4.0,2:28,,,,,,Timeout #3 by Dallas Cowboys,,,3.0,2024,44
4.0,2:28,1.0,10.0,BAL 34,28.0,25.0,Derrick Henry right tackle for 1 yard (tackle by Caelen Carson),1.2,0.79,3.0,2024,44
4.0,2:00,2.0,9.0,BAL 35,28.0,25.0,Lamar Jackson left guard for 10 yards (tackle by DeMarvion Overshown and Eric Kendricks),0.79,1.93,3.0,2024,44
4.0,1:13,1.0,10.0,BAL 45,28.0,25.0,Lamar Jackson kneels for -1 yards,1.93,1.25,3.0,2024,44
4.0,0:33,2.0,11.0,BAL 44,28.0,25.0,Lamar Jackson kneels for -1 yards,1.25,0.43,3.0,2024,44
