Unnamed: 0,CAR,LVR,week,year,game_id
First Downs,24,20,3.0,2024,41
Rush-Yds-TDs,31-131-1,16-55-1,3.0,2024,41
Cmp-Att-Yd-TD-INT,26-37-319-3-0,27-40-296-2-1,3.0,2024,41
Sacked-Yards,2-13,3-20,3.0,2024,41
Net Pass Yards,306,276,3.0,2024,41
Total Yards,437,331,3.0,2024,41
Fumbles-Lost,0-0,0-0,3.0,2024,41
Turnovers,0,1,3.0,2024,41
Penalties-Yards,7-51,6-54,3.0,2024,41
Third Down Conv.,5-12,3-11,3.0,2024,41
Fourth Down Conv.,0-0,1-3,3.0,2024,41
Time of Possession,36:02,23:58,3.0,2024,41
