Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Packers to receive the opening kickoff.",,,3.0,2024,37
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Malik Willis pass complete short middle to Jayden Reed for 30 yards (tackle by Quandre Diggs),0.94,2.92,3.0,2024,37
1.0,14:24,1.0,10.0,TEN 40,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Jeffery Simmons),2.92,2.91,3.0,2024,37
1.0,13:48,2.0,6.0,TEN 36,0.0,0.0,Malik Willis pass incomplete short right intended for Dontayvion Wicks,2.91,2.21,3.0,2024,37
1.0,13:43,3.0,6.0,TEN 36,0.0,0.0,Malik Willis pass complete deep right to Christian Watson for 30 yards (tackle by Roger McCreary),2.21,5.83,3.0,2024,37
1.0,13:04,1.0,6.0,TEN 6,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Harold Landry),5.83,5.15,3.0,2024,37
1.0,12:30,2.0,5.0,TEN 5,6.0,0.0,"Malik Willis right end for 5 yards, touchdown",5.15,7.0,3.0,2024,37
1.0,12:25,,,TEN 15,7.0,0.0,Brayden Narveson kicks extra point good,0.0,0.0,3.0,2024,37
1.0,12:25,,,GNB 35,7.0,0.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
1.0,12:25,1.0,10.0,TEN 30,7.0,0.0,Will Levis pass complete deep left to Josh Whyle for 23 yards (tackle by Eric Wilson),0.94,2.46,3.0,2024,37
1.0,11:48,1.0,10.0,GNB 47,7.0,0.0,Will Levis pass complete short left to Chigoziem Okonkwo for 8 yards (tackle by Eric Stokes),2.46,2.99,3.0,2024,37
1.0,11:08,2.0,2.0,GNB 39,7.0,0.0,Tony Pollard left guard for 3 yards (tackle by Rashan Gary),2.99,3.18,3.0,2024,37
1.0,10:30,1.0,10.0,GNB 36,7.0,0.0,Tony Pollard left end for 1 yard (tackle by Devonte Wyatt),3.18,2.77,3.0,2024,37
1.0,9:53,2.0,9.0,GNB 35,7.0,0.0,Will Levis pass incomplete short right intended for Calvin Ridley,2.77,2.08,3.0,2024,37
1.0,9:47,3.0,9.0,GNB 35,7.0,0.0,Will Levis pass complete short middle to Tyler Boyd for 20 yards (tackle by Quay Walker and Edgerrin Cooper),2.08,4.58,3.0,2024,37
1.0,9:00,1.0,10.0,GNB 15,7.0,0.0,Tony Pollard left end for 2 yards (tackle by Isaiah McDuffie),4.58,4.28,3.0,2024,37
1.0,8:22,2.0,8.0,GNB 13,7.0,0.0,Will Levis pass incomplete short middle intended for Tyler Boyd,4.28,3.4,3.0,2024,37
1.0,8:15,3.0,8.0,GNB 13,7.0,0.0,"Will Levis sacked by Rashan Gary for no gain. Penalty on Preston Smith: Defensive Offside, 5 yards (accepted) (no play)",3.4,4.45,3.0,2024,37
1.0,7:57,3.0,3.0,GNB 8,7.0,0.0,Will Levis pass complete short middle to Josh Whyle for 7 yards (tackle by Quay Walker),4.45,6.97,3.0,2024,37
1.0,7:18,1.0,1.0,GNB 1,7.0,6.0,"Will Levis pass complete short right to Nick Vannett for 1 yard, touchdown",6.97,7.0,3.0,2024,37
1.0,7:15,,,GNB 15,7.0,7.0,Nick Folk kicks extra point good,0.0,0.0,3.0,2024,37
1.0,7:15,,,TEN 35,7.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
1.0,7:15,1.0,10.0,GNB 30,7.0,7.0,Josh Jacobs right guard for -1 yards (tackle by Amani Hooker),0.94,0.26,3.0,2024,37
1.0,6:43,2.0,11.0,GNB 29,7.0,7.0,Malik Willis pass complete short left to Jayden Reed for 9 yards (tackle by Quandre Diggs),0.26,0.76,3.0,2024,37
1.0,5:59,,,,,,Timeout #1 by Green Bay Packers,,,3.0,2024,37
1.0,5:59,3.0,2.0,GNB 38,7.0,7.0,Malik Willis scrambles left end for 20 yards (tackle by Ernest Jones),0.76,2.79,3.0,2024,37
1.0,5:19,1.0,10.0,TEN 42,7.0,7.0,Emanuel Wilson up the middle for no gain (tackle by Jeffery Simmons and Arden Key),2.79,2.24,3.0,2024,37
1.0,4:44,2.0,10.0,TEN 42,7.0,7.0,Malik Willis pass complete short left to Luke Musgrave for 3 yards (tackle by Chidobe Awuzie and Kenneth Murray),2.24,1.95,3.0,2024,37
1.0,4:07,3.0,7.0,TEN 39,7.0,7.0,Malik Willis scrambles up the middle for 8 yards (tackle by Harold Landry),1.95,3.51,3.0,2024,37
1.0,3:16,1.0,10.0,TEN 31,7.0,7.0,Malik Willis right end for 29 yards (tackle by L'Jarius Sneed),3.51,6.74,3.0,2024,37
1.0,2:33,1.0,2.0,TEN 2,7.0,7.0,Josh Jacobs right guard for -2 yards (tackle by L'Jarius Sneed),6.74,5.34,3.0,2024,37
1.0,1:56,2.0,4.0,TEN 4,7.0,7.0,Josh Jacobs up the middle for 1 yard (tackle by T'Vondre Sweat and Jaylen Harrell),5.34,4.72,3.0,2024,37
1.0,1:14,3.0,3.0,TEN 3,7.0,7.0,Malik Willis pass incomplete short left intended for Jayden Reed,4.72,3.04,3.0,2024,37
1.0,1:08,4.0,3.0,TEN 3,10.0,7.0,Brayden Narveson 21 yard field goal good,3.04,3.0,3.0,2024,37
1.0,1:05,,,GNB 35,10.0,7.0,"Brayden Narveson kicks off 60 yards, returned by Jha'Quan Jackson for 26 yards (tackle by Xavier McKinney)",0.0,1.0,3.0,2024,37
1.0,0:58,1.0,10.0,TEN 31,16.0,7.0,"Will Levis pass short right intended for DeAndre Hopkins is intercepted by Jaire Alexander at TEN-35 and returned for 35 yards, touchdown",1.0,-7.0,3.0,2024,37
1.0,0:51,,,TEN 15,17.0,7.0,Brayden Narveson kicks extra point good,0.0,0.0,3.0,2024,37
1.0,0:51,,,GNB 35,17.0,7.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,37
1.0,0:51,1.0,10.0,TEN 30,17.0,7.0,Tyjae Spears right guard for 6 yards (tackle by Isaiah McDuffie and Kingsley Enagbare),0.94,1.2,3.0,2024,37
1.0,0:12,2.0,4.0,TEN 36,17.0,7.0,"Penalty on Kenny Clark: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.2,1.66,3.0,2024,37
2.0,15:00,1.0,10.0,TEN 41,17.0,7.0,Tyjae Spears right guard for 1 yard (tackle by Quay Walker and Isaiah McDuffie),1.66,1.26,3.0,2024,37
2.0,14:19,2.0,9.0,TEN 42,17.0,7.0,Will Levis pass complete short middle to Tyler Boyd for 1 yard (tackle by Isaiah McDuffie),1.26,0.7,3.0,2024,37
2.0,13:34,3.0,8.0,TEN 43,17.0,7.0,Will Levis scrambles left tackle for 3 yards (tackle by Keisean Nixon),0.7,-0.32,3.0,2024,37
2.0,12:48,4.0,5.0,TEN 46,17.0,7.0,"Ryan Stonehouse punts 36 yards, fair catch by Jayden Reed at GB-18",-0.32,-0.04,3.0,2024,37
2.0,12:40,1.0,10.0,GNB 18,17.0,7.0,Malik Willis pass complete short right to Tucker Kraft for 21 yards (tackle by Kenneth Murray),0.04,1.53,3.0,2024,37
2.0,12:06,1.0,10.0,GNB 39,17.0,7.0,Jayden Reed left end for 4 yards (tackle by Quandre Diggs and Jamal Adams),1.53,1.53,3.0,2024,37
