Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,3.0,2024,42
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 69 yards, returned by Dee Williams for 39 yards (tackle by Storm Duck)",0.0,1.27,3.0,2024,42
1.0,14:53,1.0,10.0,SEA 35,0.0,0.0,Zach Charbonnet left guard for 4 yards (tackle by Zach Sieler and Calais Campbell),1.27,1.26,3.0,2024,42
1.0,14:20,2.0,6.0,SEA 39,0.0,0.0,Geno Smith pass complete short right to AJ Barner for 6 yards (tackle by Jordyn Brooks),1.26,1.93,3.0,2024,42
1.0,13:44,1.0,10.0,SEA 45,0.0,0.0,Geno Smith pass complete deep middle to Tyler Lockett for 18 yards (tackle by Jordan Poyer),1.93,3.12,3.0,2024,42
1.0,12:56,,,,,,Timeout #1 by Seattle Seahawks,,,3.0,2024,42
1.0,12:56,1.0,10.0,MIA 37,0.0,0.0,Zach Charbonnet up the middle for no gain (tackle by Da'Shawn Hand),3.12,2.57,3.0,2024,42
1.0,12:17,2.0,10.0,MIA 37,0.0,0.0,Geno Smith sacked by Da'Shawn Hand for -5 yards,2.57,1.22,3.0,2024,42
1.0,11:36,3.0,15.0,MIA 42,0.0,0.0,Geno Smith pass complete short left to Zach Charbonnet for 5 yards (tackle by Kendall Fuller),1.22,0.79,3.0,2024,42
1.0,10:54,4.0,10.0,MIA 37,0.0,3.0,Jason Myers 56 yard field goal good,0.79,3.0,3.0,2024,42
1.0,10:49,,,SEA 35,0.0,3.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,3.0,2024,42
1.0,10:49,1.0,10.0,MIA 30,0.0,3.0,Skylar Thompson pass complete short left to De'Von Achane for 22 yards (tackle by Rayshawn Jenkins),0.94,2.39,3.0,2024,42
1.0,10:08,1.0,10.0,SEA 48,0.0,3.0,Jaylen Wright left end for 9 yards (tackle by Tyrice Knight),2.39,3.06,3.0,2024,42
1.0,9:28,2.0,1.0,SEA 39,0.0,3.0,Skylar Thompson pass incomplete short right intended for De'Von Achane (defended by Boye Mafe),3.06,2.34,3.0,2024,42
1.0,9:22,3.0,1.0,SEA 39,0.0,3.0,Jeff Wilson right guard for no gain (tackle by Johnathan Hankins and Devon Witherspoon),2.34,0.66,3.0,2024,42
1.0,8:41,4.0,1.0,SEA 39,0.0,3.0,Jason Sanders 57 yard field goal no good,0.66,-2.06,3.0,2024,42
