Unnamed: 0,KAN,ATL,week,year,game_id
First Downs,22,19,3.0,2024,46
Rush-Yds-TDs,33-128-0,25-82-1,3.0,2024,46
Cmp-Att-Yd-TD-INT,26-39-217-2-1,20-29-230-1-1,3.0,2024,46
Sacked-Yards,0-0,2-1,3.0,2024,46
Net Pass Yards,217,229,3.0,2024,46
Total Yards,345,311,3.0,2024,46
Fumbles-Lost,0-0,2-0,3.0,2024,46
Turnovers,1,1,3.0,2024,46
Penalties-Yards,6-61,6-44,3.0,2024,46
Third Down Conv.,6-14,2-9,3.0,2024,46
Fourth Down Conv.,1-1,1-3,3.0,2024,46
Time of Possession,34:57,25:03,3.0,2024,46
