Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA,week,year,game_id
2.0,14:49,1.0,10.0,NOR 19,0.0,3.0,Derek Carr pass incomplete short left,0.15,-0.39,3.0,2024,39
2.0,14:45,2.0,10.0,NOR 19,0.0,3.0,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Zack Baun),-0.39,-0.03,3.0,2024,39
2.0,14:05,3.0,2.0,NOR 27,0.0,3.0,Derek Carr pass incomplete short right intended for Foster Moreau (defended by Jalen Carter),-0.03,-1.57,3.0,2024,39
2.0,14:02,4.0,2.0,NOR 27,0.0,3.0,"Matthew Hayball punts 52 yards, fair catch by Britain Covey at PHI-21",-1.57,-0.34,3.0,2024,39
2.0,13:54,1.0,10.0,PHI 21,0.0,3.0,Saquon Barkley right tackle for 1 yard (tackle by Demario Davis),0.34,-0.07,3.0,2024,39
2.0,13:16,2.0,9.0,PHI 22,0.0,3.0,Saquon Barkley right guard for 11 yards (tackle by Will Harris),-0.07,1.14,3.0,2024,39
2.0,12:48,1.0,10.0,PHI 33,0.0,3.0,Jalen Hurts scrambles left end for 6 yards (tackle by Marshon Lattimore),1.14,1.4,3.0,2024,39
2.0,12:03,2.0,4.0,PHI 39,0.0,3.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",1.4,0.73,3.0,2024,39
2.0,11:38,2.0,9.0,PHI 34,0.0,3.0,Jalen Hurts pass complete short right to Britain Covey for 11 yards (tackle by Will Harris),0.73,1.93,3.0,2024,39
2.0,11:06,1.0,10.0,PHI 45,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Tyrann Mathieu),1.93,2.6,3.0,2024,39
2.0,10:21,2.0,1.0,NOR 46,0.0,3.0,Jalen Hurts pass complete short right to Dallas Goedert for -4 yards (tackle by Paulson Adebo),2.6,1.36,3.0,2024,39
2.0,9:38,3.0,5.0,NOR 50,0.0,3.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 4 yards (tackle by Tyrann Mathieu and Pete Werner),1.36,0.2,3.0,2024,39
