Quarter,Time,Down,ToGo,Location,NWE,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Jets to receive the opening kickoff.",,,3.0,2023,42
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,42
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Zach Wilson pass complete short right to Garrett Wilson for 1 yard (tackle by Anfernee Jennings),0.61,0.2,3.0,2023,42
1.0,14:14,2.0,9.0,NYJ 26,0.0,0.0,Breece Hall right end for -6 yards (tackle by Anfernee Jennings),0.2,-1.29,3.0,2023,42
1.0,13:34,3.0,15.0,NYJ 20,0.0,0.0,Zach Wilson pass incomplete short left,-1.29,-2.03,3.0,2023,42
1.0,13:24,4.0,15.0,NYJ 20,0.0,0.0,"Thomas Morstead punts 38 yards, fair catch by Demario Douglas at NE-42",-2.03,-1.73,3.0,2023,42
1.0,13:18,1.0,10.0,NWE 42,0.0,0.0,Mac Jones pass incomplete short middle,1.73,1.19,3.0,2023,42
1.0,13:15,2.0,10.0,NWE 42,0.0,0.0,Rhamondre Stevenson right end for 4 yards (tackle by Jordan Whitehead),1.19,1.03,3.0,2023,42
1.0,12:42,3.0,6.0,NWE 46,0.0,0.0,Mac Jones pass complete short left to Mike Gesicki for 18 yards (tackle by Adrian Amos),1.03,3.18,3.0,2023,42
1.0,12:08,1.0,10.0,NYJ 36,0.0,0.0,Rhamondre Stevenson up the middle for -1 yards (tackle by Quincy Williams and Jamien Sherwood),3.18,2.5,3.0,2023,42
1.0,11:30,2.0,11.0,NYJ 37,0.0,0.0,Mac Jones pass complete short left to Hunter Henry for 8 yards (tackle by C.J. Mosley and Quincy Williams),2.5,2.87,3.0,2023,42
1.0,10:51,3.0,3.0,NYJ 29,0.0,0.0,Mac Jones pass incomplete deep right intended for DeVante Parker,2.87,1.58,3.0,2023,42
1.0,10:46,4.0,3.0,NYJ 29,3.0,0.0,Chad Ryland 48 yard field goal good,1.58,3.0,3.0,2023,42
1.0,10:41,,,NWE 35,3.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,42
1.0,10:41,1.0,10.0,NYJ 25,3.0,0.0,Breece Hall up the middle for 3 yards (tackle by Anfernee Jennings),0.61,0.47,3.0,2023,42
1.0,10:05,2.0,7.0,NYJ 28,3.0,0.0,Zach Wilson pass incomplete short left intended for Garrett Wilson (defended by Ja'Whaun Bentley),0.47,-0.23,3.0,2023,42
1.0,9:59,3.0,7.0,NYJ 28,3.0,0.0,Zach Wilson pass complete short left to Allen Lazard for 12 yards (tackle by Shaun Wade),-0.23,1.6,3.0,2023,42
1.0,9:24,1.0,10.0,NYJ 40,3.0,0.0,Dalvin Cook right guard for 3 yards (tackle by Anfernee Jennings and Sam Roberts),1.6,1.46,3.0,2023,42
1.0,8:45,2.0,7.0,NYJ 43,3.0,0.0,Dalvin Cook left tackle for -1 yards (tackle by Jabrill Peppers),1.46,0.63,3.0,2023,42
1.0,8:05,3.0,8.0,NYJ 42,3.0,0.0,Zach Wilson sacked by Matt Judon for -7 yards,0.63,-1.04,3.0,2023,42
1.0,7:23,4.0,15.0,NYJ 35,3.0,0.0,"Penalty on Nick Bawden: False Start, 5 yards (accepted) (no play)",-1.04,-1.37,3.0,2023,42
1.0,7:15,4.0,20.0,NYJ 30,3.0,0.0,"Thomas Morstead punts 52 yards, returned by Jabrill Peppers for 18 yards (tackle by Ashtyn Davis)",-1.37,-1.33,3.0,2023,42
1.0,7:05,1.0,10.0,NWE 36,3.0,0.0,Ezekiel Elliott left end for 12 yards (tackle by Quincy Williams and Adrian Amos),1.33,2.13,3.0,2023,42
1.0,6:30,1.0,10.0,NWE 48,3.0,0.0,Mac Jones pass complete short right to Kendrick Bourne for 8 yards (tackle by Sauce Gardner),2.13,2.66,3.0,2023,42
1.0,6:00,2.0,2.0,NYJ 44,3.0,0.0,Ezekiel Elliott up the middle for -1 yards (tackle by Solomon Thomas),2.66,1.82,3.0,2023,42
1.0,5:18,3.0,3.0,NYJ 45,3.0,0.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,1.82,0.27,3.0,2023,42
1.0,5:13,4.0,3.0,NYJ 45,3.0,0.0,Bryce Baringer punts 39 yards downed by Pharaoh Brown,0.27,0.38,3.0,2023,42
1.0,5:00,1.0,10.0,NYJ 6,3.0,0.0,"Breece Hall right guard for 1 yard. Breece Hall fumbles (forced by Daniel Ekuale), recovered by Breece Hall at NYJ-7",-0.38,-0.71,3.0,2023,42
1.0,4:14,2.0,9.0,NYJ 7,3.0,0.0,Breece Hall left end for 2 yards (tackle by Kyle Dugger and Matt Judon),-0.71,-1.07,3.0,2023,42
1.0,3:42,3.0,7.0,NYJ 9,3.0,0.0,Zach Wilson pass complete short middle to Michael Carter for 3 yards (tackle by Matt Judon and Christian Gonzalez),-1.07,-2.49,3.0,2023,42
1.0,3:14,4.0,4.0,NYJ 12,3.0,0.0,"Thomas Morstead punts 52 yards, returned by Jabrill Peppers for 7 yards (tackle by Ashtyn Davis)",-2.49,-1.8,3.0,2023,42
1.0,3:02,1.0,10.0,NWE 43,3.0,0.0,Rhamondre Stevenson up the middle for 10 yards (tackle by C.J. Mosley),1.8,2.46,3.0,2023,42
1.0,2:30,1.0,10.0,NYJ 47,3.0,0.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Quincy Williams),2.46,2.59,3.0,2023,42
1.0,1:55,2.0,5.0,NYJ 42,3.0,0.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,2.59,1.88,3.0,2023,42
1.0,1:51,3.0,5.0,NYJ 42,3.0,0.0,Mac Jones pass complete short middle to Kendrick Bourne for 18 yards (tackle by Jordan Whitehead and Quincy Williams),1.88,3.97,3.0,2023,42
1.0,1:10,1.0,10.0,NYJ 24,3.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Micheal Clemons),3.97,3.97,3.0,2023,42
