Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Colts to receive the opening kickoff.",,,3.0,2023,37
1,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
1,15:00,1.0,10.0,IND 25,0.0,0.0,Zack Moss left end for 24 yards (tackle by Daryl Worley),0.61,2.19,3.0,2023,37
1,14:37,1.0,10.0,IND 49,0.0,0.0,Zack Moss left tackle for 2 yards (tackle by David Ojabo and Michael Pierce),2.19,1.92,3.0,2023,37
1,14:01,2.0,8.0,BAL 49,0.0,0.0,Gardner Minshew pass incomplete deep left intended for Alec Pierce,1.92,1.22,3.0,2023,37
1,13:56,3.0,8.0,BAL 49,0.0,0.0,Gardner Minshew sacked by Kyle Hamilton for -10 yards,1.22,-0.65,3.0,2023,37
1,13:17,4.0,18.0,IND 41,0.0,0.0,"Rigoberto Sanchez punts 46 yards, returned by Devin Duvernay for 7 yards (tackle by Andrew Ogletree)",-0.65,-0.28,3.0,2023,37
1,13:06,1.0,10.0,BAL 20,0.0,0.0,Lamar Jackson left end for 11 yards (tackle by Rodney Thomas),0.28,1.0,3.0,2023,37
1,12:29,1.0,10.0,BAL 31,0.0,0.0,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Shaquille Leonard and Zaire Franklin),1.0,1.14,3.0,2023,37
1,11:56,2.0,5.0,BAL 36,0.0,0.0,Gus Edwards up the middle for -1 yards (tackle by Samson Ebukam),1.14,0.3,3.0,2023,37
1,11:21,3.0,6.0,BAL 35,0.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Julius Brents),0.3,1.66,3.0,2023,37
1,10:43,1.0,10.0,BAL 41,0.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards (tackle by Julius Brents),1.66,2.2,3.0,2023,37
1,10:10,2.0,2.0,BAL 49,0.0,0.0,Lamar Jackson scrambles up the middle for 5 yards (tackle by Shaquille Leonard),2.2,2.52,3.0,2023,37
1,9:33,1.0,10.0,IND 46,0.0,0.0,Gus Edwards left guard for 5 yards (tackle by Taven Bryan and Dayo Odeyingbo),2.52,2.65,3.0,2023,37
1,8:54,2.0,5.0,IND 41,0.0,0.0,Lamar Jackson pass complete short left to Rashod Bateman for 6 yards (tackle by Dallis Flowers),2.65,3.25,3.0,2023,37
1,8:27,1.0,10.0,IND 35,0.0,0.0,Lamar Jackson scrambles right end for 2 yards (tackle by Kenny Moore),3.25,2.97,3.0,2023,37
1,7:52,2.0,8.0,IND 33,0.0,0.0,Lamar Jackson pass complete deep right to Isaiah Likely for 20 yards (tackle by Rodney Thomas),2.97,4.71,3.0,2023,37
1,7:14,1.0,10.0,IND 13,0.0,0.0,Gus Edwards right guard for 5 yards (tackle by Samson Ebukam),4.71,4.96,3.0,2023,37
1,6:42,2.0,5.0,IND 8,0.0,6.0,"Lamar Jackson right end for 8 yards, touchdown",4.96,7.0,3.0,2023,37
1,6:35,,,IND 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2023,37
1,6:35,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,37
1,6:35,1.0,10.0,IND 25,0.0,7.0,Gardner Minshew pass complete short left to Josh Downs for 5 yards (tackle by Brandon Stephens),0.61,0.74,3.0,2023,37
1,6:17,2.0,5.0,IND 30,0.0,7.0,Zack Moss left guard for 4 yards (tackle by Brandon Stephens and Travis Jones),0.74,0.56,3.0,2023,37
1,5:43,3.0,1.0,IND 34,0.0,7.0,Zack Moss left guard for 2 yards (tackle by Tavius Robinson and Kyle Hamilton),0.56,1.33,3.0,2023,37
1,4:58,1.0,10.0,IND 36,0.0,7.0,Gardner Minshew pass complete short middle to Kylen Granson for 2 yards (tackle by Jeremiah Moon),1.33,1.06,3.0,2023,37
1,4:18,2.0,8.0,IND 38,0.0,7.0,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by Brandon Stephens),1.06,0.37,3.0,2023,37
1,4:13,3.0,8.0,IND 38,0.0,7.0,Gardner Minshew sacked by Kyle Hamilton for -10 yards,0.37,-1.5,3.0,2023,37
1,3:36,4.0,18.0,IND 28,0.0,7.0,Rigoberto Sanchez punts 47 yards out of bounds,-1.5,-0.61,3.0,2023,37
1,3:27,1.0,10.0,BAL 25,0.0,7.0,Gus Edwards up the middle for 9 yards (tackle by Julian Blackmon),0.61,1.28,3.0,2023,37
1,2:52,2.0,1.0,BAL 34,0.0,7.0,Lamar Jackson pass complete deep right to Mark Andrews for 20 yards (tackle by Rodney Thomas),1.28,2.52,3.0,2023,37
1,2:17,1.0,10.0,IND 46,0.0,7.0,"Lamar Jackson pass complete short middle to Kenyan Drake for 24 yards. Kenyan Drake fumbles (forced by Julius Brents), recovered by Julius Brents at IND-20",2.52,-0.28,3.0,2023,37
1,2:07,1.0,10.0,IND 20,0.0,7.0,Zack Moss up the middle for 3 yards (tackle by Michael Pierce),0.28,0.14,3.0,2023,37
1,1:35,2.0,7.0,IND 23,0.0,7.0,Zack Moss left tackle for 12 yards (tackle by Geno Stone),0.14,1.27,3.0,2023,37
1,1:04,1.0,10.0,IND 35,0.0,7.0,Gardner Minshew pass incomplete short right intended for Andrew Ogletree (defended by Roquan Smith),1.27,0.72,3.0,2023,37
1,1:00,2.0,10.0,IND 35,0.0,7.0,Gardner Minshew pass complete short right to Isaiah McKenzie for 3 yards (tackle by Daryl Worley and Roquan Smith),0.72,0.43,3.0,2023,37
1,0:20,3.0,7.0,IND 38,0.0,7.0,Gardner Minshew pass complete short middle to Michael Pittman for 13 yards (tackle by Geno Stone),0.43,2.32,3.0,2023,37
2,15:00,1.0,10.0,BAL 49,0.0,7.0,Zack Moss right guard for -1 yards (tackle by Brent Urban),2.32,1.65,3.0,2023,37
2,14:23,2.0,11.0,BAL 50,0.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for no gain (tackle by Kyle Hamilton),1.65,0.96,3.0,2023,37
2,13:45,3.0,11.0,BAL 50,0.0,7.0,Gardner Minshew pass complete short left to Michael Pittman for 4 yards (tackle by Patrick Queen and Brandon Stephens),0.96,0.2,3.0,2023,37
2,13:04,4.0,7.0,BAL 46,0.0,7.0,Rigoberto Sanchez punts 39 yards downed by Segun Olubi,0.2,0.38,3.0,2023,37
2,12:56,1.0,10.0,BAL 7,0.0,7.0,Melvin Gordon up the middle for 2 yards (tackle by Zaire Franklin and Kenny Moore),-0.38,-0.63,3.0,2023,37
2,12:21,2.0,8.0,BAL 9,0.0,7.0,Melvin Gordon left guard for 4 yards (tackle by Kwity Paye and Grover Stewart),-0.63,-0.72,3.0,2023,37
2,11:39,3.0,4.0,BAL 13,0.0,7.0,"Lamar Jackson sacked by Samson Ebukam for -5 yards. Lamar Jackson fumbles (forced by Samson Ebukam), recovered by Lamar Jackson at BAL-8",-0.72,-2.49,3.0,2023,37
2,10:48,4.0,9.0,BAL 8,0.0,7.0,Jordan Stout punts 65 yards downed by Trenton Simpson,-2.49,-0.74,3.0,2023,37
2,10:36,1.0,10.0,IND 27,0.0,7.0,Gardner Minshew pass complete deep middle to Alec Pierce for 23 yards (tackle by Geno Stone),0.74,2.26,3.0,2023,37
