Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA,week,year,game_id
1.0,8:39,2.0,10.0,NYG 25,0.0,3.0,Matt Breida right end for 6 yards (tackle by Charvarius Ward),0.06,0.17,3.0,2023,33
1.0,8:05,3.0,4.0,NYG 31,0.0,3.0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Talanoa Hufanga),0.17,1.47,3.0,2023,33
1.0,7:27,1.0,10.0,NYG 38,0.0,3.0,Daniel Jones pass complete short left to Daniel Bellinger for 8 yards (tackle by Dre Greenlaw),1.47,2.0,3.0,2023,33
1.0,6:55,2.0,2.0,NYG 46,0.0,3.0,Matt Breida right tackle for 1 yard (tackle by Nick Bosa),2.0,1.42,3.0,2023,33
1.0,6:27,3.0,1.0,NYG 47,0.0,3.0,Daniel Jones up the middle for 1 yard (tackle by Deommodore Lenoir and Fred Warner),1.42,2.13,3.0,2023,33
1.0,5:54,1.0,10.0,NYG 48,0.0,3.0,Daniel Jones pass complete short left to Parris Campbell for 4 yards (tackle by Deommodore Lenoir),2.13,2.12,3.0,2023,33
1.0,5:25,2.0,6.0,SFO 48,0.0,3.0,Daniel Jones pass complete short right to Gary Brightwell for 18 yards (tackle by Dre Greenlaw),2.12,3.58,3.0,2023,33
1.0,4:45,1.0,10.0,SFO 30,0.0,3.0,Daniel Jones pass incomplete short left intended for Gary Brightwell,3.58,3.03,3.0,2023,33
1.0,4:40,2.0,10.0,SFO 30,0.0,3.0,Gary Brightwell up the middle for 2 yards (tackle by Tashaun Gipson and Javon Hargrave),3.03,2.61,3.0,2023,33
1.0,4:00,3.0,8.0,SFO 28,0.0,3.0,Daniel Jones pass complete short left to Parris Campbell for 2 yards (tackle by Isaiah Oliver),2.61,1.76,3.0,2023,33
1.0,3:23,4.0,6.0,SFO 26,3.0,3.0,Graham Gano 44 yard field goal good,1.76,3.0,3.0,2023,33
1.0,3:18,,,NYG 35,3.0,3.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
1.0,3:18,1.0,10.0,SFO 25,3.0,3.0,Elijah Mitchell up the middle for 2 yards (tackle by A'Shawn Robinson),0.61,0.33,3.0,2023,33
1.0,2:36,2.0,8.0,SFO 27,3.0,3.0,Brock Purdy pass complete short left to George Kittle for 15 yards (tackle by Xavier McKinney),0.33,1.73,3.0,2023,33
1.0,2:08,1.0,10.0,SFO 42,3.0,3.0,Elijah Mitchell left tackle for 1 yard (tackle by A'Shawn Robinson and Dexter Lawrence),1.73,1.32,3.0,2023,33
1.0,1:49,2.0,9.0,SFO 43,3.0,3.0,Brock Purdy pass incomplete deep right,1.32,0.63,3.0,2023,33
1.0,1:42,3.0,9.0,SFO 43,3.0,3.0,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Oshane Ximines),0.63,-0.06,3.0,2023,33
1.0,0:53,4.0,2.0,SFO 50,3.0,3.0,"Mitch Wishnowsky punts 43 yards, returned by Eric Gray for 3 yards (tackle by Ronnie Bell)",-0.06,0.38,3.0,2023,33
1.0,0:44,1.0,10.0,NYG 10,3.0,3.0,Daniel Jones sacked by Nick Bosa for -8 yards,-0.38,-1.36,3.0,2023,33
1.0,0:03,2.0,18.0,NYG 2,3.0,3.0,Matt Breida left guard for 2 yards (tackle by Dre Greenlaw),-1.36,-2.12,3.0,2023,33
2.0,15:00,3.0,16.0,NYG 4,3.0,3.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Fred Warner and Isaiah Oliver),-2.12,-2.49,3.0,2023,33
2.0,14:21,4.0,8.0,NYG 12,3.0,3.0,"Jamie Gillan punts 60 yards, fair catch by Ray-Ray McCloud at SF-28",-2.49,-0.81,3.0,2023,33
2.0,14:13,1.0,10.0,SFO 28,3.0,3.0,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by D.J. Davidson),0.81,0.26,3.0,2023,33
2.0,14:09,2.0,10.0,SFO 28,3.0,3.0,"Brock Purdy pass complete short middle to Deebo Samuel for 7 yards (tackle by Xavier McKinney). Penalty on Trent Williams: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.26,-0.41,3.0,2023,33
2.0,13:51,2.0,15.0,SFO 23,3.0,3.0,Brock Purdy pass incomplete short right intended for George Kittle,-0.41,-1.09,3.0,2023,33
2.0,13:48,3.0,15.0,SFO 23,3.0,3.0,Brock Purdy pass complete short left to Deebo Samuel for 30 yards (tackle by Xavier McKinney),-1.09,2.46,3.0,2023,33
2.0,13:06,1.0,10.0,NYG 47,3.0,3.0,Christian McCaffrey left guard for 9 yards (tackle by Bobby Okereke and Micah McFadden),2.46,3.13,3.0,2023,33
2.0,12:26,2.0,1.0,NYG 38,3.0,3.0,Christian McCaffrey left guard for 10 yards (tackle by Jason Pinnock),3.13,3.71,3.0,2023,33
2.0,11:40,1.0,10.0,NYG 28,3.0,3.0,Brock Purdy pass complete short left to Deebo Samuel for -1 yards (tackle by Micah McFadden),3.71,3.03,3.0,2023,33
2.0,10:55,2.0,11.0,NYG 29,3.0,3.0,Brock Purdy pass complete short right to Elijah Mitchell for -2 yards (tackle by Micah McFadden),3.03,2.08,3.0,2023,33
2.0,10:17,3.0,13.0,NYG 31,3.0,3.0,Brock Purdy pass complete short right to Christian McCaffrey for 17 yards (tackle by Leonard Williams),2.08,4.65,3.0,2023,33
2.0,9:33,1.0,10.0,NYG 14,3.0,3.0,Christian McCaffrey left tackle for 4 yards (tackle by Micah McFadden),4.65,4.71,3.0,2023,33
2.0,8:53,2.0,6.0,NYG 10,3.0,3.0,"Christian McCaffrey right tackle for no gain. Penalty on Colton McKivitz: Offensive Holding, 10 yards (offset) . Penalty on Jihad Ward: Face Mask (15 Yards), 15 yards (offset) (no play)",4.71,4.71,3.0,2023,33
2.0,8:37,2.0,6.0,NYG 10,3.0,3.0,Christian McCaffrey left guard for 1 yard (tackle by Bobby Okereke and Kayvon Thibodeaux),4.71,4.05,3.0,2023,33
2.0,7:53,3.0,5.0,NYG 9,3.0,9.0,"Brock Purdy pass complete short left to Ronnie Bell for 9 yards, touchdown. Penalty on Oshane Ximines: Defensive Offside, 5 yards (declined)",4.05,7.0,3.0,2023,33
2.0,7:49,,,NYG 15,3.0,10.0,Jake Moody kicks extra point good,0.0,0.0,3.0,2023,33
2.0,7:49,,,SFO 35,3.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,33
2.0,7:49,1.0,10.0,NYG 25,3.0,10.0,Daniel Jones pass incomplete short left,0.61,0.06,3.0,2023,33
2.0,7:41,2.0,10.0,NYG 25,3.0,10.0,Daniel Jones pass complete short left to Matt Breida for 8 yards (tackle by Fred Warner),0.06,0.43,3.0,2023,33
2.0,6:59,3.0,2.0,NYG 33,3.0,10.0,Daniel Jones sacked by Javon Hargrave for -8 yards,0.43,-1.7,3.0,2023,33
2.0,6:21,4.0,10.0,NYG 25,3.0,10.0,"Jamie Gillan punts 48 yards, fair catch by Ray-Ray McCloud at SF-27",-1.7,-0.74,3.0,2023,33
2.0,6:13,1.0,10.0,SFO 27,3.0,10.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,0.74,0.2,3.0,2023,33
2.0,6:08,2.0,10.0,SFO 27,3.0,10.0,Brock Purdy pass complete short right to Elijah Mitchell for 9 yards (tackle by Kayvon Thibodeaux and Isaiah Simmons),0.2,0.7,3.0,2023,33
2.0,5:27,3.0,1.0,SFO 36,3.0,10.0,Christian McCaffrey left tackle for 12 yards (tackle by Deonte Banks),0.7,2.13,3.0,2023,33
2.0,4:46,1.0,10.0,SFO 48,3.0,10.0,Elijah Mitchell right end for 18 yards (tackle by Xavier McKinney),2.13,3.31,3.0,2023,33
