Quarter,Time,Down,ToGo,Location,NOR,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Saints to receive the opening kickoff.",,,3.0,2023,39
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,39
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Tony Jones right guard for no gain (tackle by Tedarrell Slaton and Kenny Clark),0.61,0.13,3.0,2023,39
1.0,14:31,2.0,9.0,NOR 25,0.0,0.0,Derek Carr pass incomplete short right intended for Michael Thomas,0.13,-0.56,3.0,2023,39
1.0,14:29,3.0,9.0,NOR 25,0.0,0.0,Derek Carr sacked by Kenny Clark for -9 yards,-0.56,-2.39,3.0,2023,39
1.0,13:50,4.0,19.0,NOR 16,0.0,0.0,"Lou Hedley punts 38 yards, returned by Jayden Reed for 2 yards (tackle by Nephi Sewell and J.T. Gray)",-2.39,-2.13,3.0,2023,39
1.0,13:41,1.0,10.0,GNB 48,0.0,0.0,"AJ Dillon left tackle for no gain (tackle by Alontae Taylor and Demario Davis). Penalty on Jon Runyan: Offensive Holding, 10 yards (accepted) (no play)",2.13,1.47,3.0,2023,39
1.0,13:21,1.0,20.0,GNB 38,0.0,0.0,"Penalty on Royce Newman: False Start, 5 yards (accepted) (no play)",1.47,1.14,3.0,2023,39
1.0,13:09,1.0,25.0,GNB 33,0.0,0.0,Jordan Love pass complete short right to Luke Musgrave for 10 yards (tackle by Isaac Yiadom and Pete Werner),1.14,0.91,3.0,2023,39
1.0,12:23,2.0,15.0,GNB 43,0.0,0.0,Jordan Love scrambles left end for 8 yards (tackle by Marshon Lattimore),0.91,1.29,3.0,2023,39
1.0,11:37,3.0,7.0,NOR 49,0.0,0.0,Jordan Love pass complete short right to Romeo Doubs for 5 yards (tackle by Isaac Yiadom and Tyrann Mathieu),1.29,0.33,3.0,2023,39
1.0,10:56,4.0,2.0,NOR 44,0.0,0.0,"Emanuel Wilson aborted snap, recovered by Jordan Love at NO-44 Jordan Love pass incomplete short left intended for Dontayvion Wicks",0.33,-1.86,3.0,2023,39
1.0,10:44,1.0,10.0,NOR 44,0.0,0.0,"Kendre Miller right end for 1 yard (tackle by Kenny Clark). Penalty on Kenny Clark: Unnecessary Roughness / Defense, 15 yards (accepted)",1.86,2.92,3.0,2023,39
1.0,10:25,1.0,10.0,GNB 40,0.0,0.0,Kendre Miller right guard for 1 yard (tackle by Darnell Savage and Quay Walker),2.92,2.51,3.0,2023,39
1.0,9:55,2.0,9.0,GNB 39,0.0,0.0,Derek Carr pass complete short left to Chris Olave for 12 yards (tackle by Rudy Ford and Justin Hollins),2.51,3.78,3.0,2023,39
