Quarter,Time,Tm,Detail,NYG,SFO,week,year,game_id
1.0,8:44,49ers,Jake Moody 28 yard field goal,0,3,3.0,2023,33
,3:18,Giants,Graham Gano 44 yard field goal,3,3,3.0,2023,33
2.0,7:49,49ers,Ronnie Bell 9 yard pass from Brock Purdy (Jake Moody kick),3,10,3.0,2023,33
,1:40,49ers,Christian McCaffrey 4 yard rush (Jake Moody kick),3,17,3.0,2023,33
,0:13,Giants,Graham Gano 57 yard field goal,6,17,3.0,2023,33
3.0,10:00,Giants,Matt Breida 8 yard rush (pass failed),12,17,3.0,2023,33
,4:08,49ers,Jake Moody 21 yard field goal,12,20,3.0,2023,33
4.0,12:47,49ers,Jake Moody 36 yard field goal,12,23,3.0,2023,33
,5:58,49ers,Deebo Samuel 27 yard pass from Brock Purdy (Jake Moody kick),12,30,3.0,2023,33
