Unnamed: 0,CHI,KAN,week,year,game_id
First Downs,11,31,3.0,2023,44
Rush-Yds-TDs,26-116-0,37-153-2,3.0,2023,44
Cmp-Att-Yd-TD-INT,11-22-99-1-1,27-38-303-3-2,3.0,2023,44
Sacked-Yards,3-12,0-0,3.0,2023,44
Net Pass Yards,87,303,3.0,2023,44
Total Yards,203,456,3.0,2023,44
Fumbles-Lost,1-1,0-0,3.0,2023,44
Turnovers,2,2,3.0,2023,44
Penalties-Yards,6-32,3-15,3.0,2023,44
Third Down Conv.,4-12,10-14,3.0,2023,44
Fourth Down Conv.,1-2,0-0,3.0,2023,44
Time of Possession,23:47,36:13,3.0,2023,44
