#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,NOR 25,3,1:19,-9,Punt,0,Saints,3.0,2023,39
2,1,10:44,NOR 44,9,4:04,56,Touchdown,0,Saints,3.0,2023,39
3,1,3:12,NOR 10,6,3:54,7,Punt,0,Saints,3.0,2023,39
4,2,4:30,NOR 11,14,4:24,82,Field Goal,0,Saints,3.0,2023,39
5,3,13:17,NOR 38,5,3:00,5,Punt,0,Saints,3.0,2023,39
6,3,8:52,NOR 44,6,2:37,14,Punt,0,Saints,3.0,2023,39
7,4,14:58,NOR 13,3,2:08,8,Punt,0,Saints,3.0,2023,39
8,4,11:00,NOR 19,5,2:33,20,Punt,0,Saints,3.0,2023,39
9,4,6:58,NOR 17,3,1:35,7,Punt,0,Saints,3.0,2023,39
10,4,2:56,NOR 25,8,1:51,47,Missed FG,0,Saints,3.0,2023,39
