Quarter,Time,Down,ToGo,Location,BUF,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Bills to receive the opening kickoff.",,,3.0,2023,35
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,35
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for -1 yards (tackle by Kamren Curl),0.61,-0.07,3.0,2023,35
1.0,14:20,2.0,11.0,BUF 24,0.0,0.0,James Cook left tackle for 1 yard (tackle by Chase Young),-0.07,-0.62,3.0,2023,35
1.0,13:41,3.0,10.0,BUF 25,0.0,0.0,Josh Allen scrambles up the middle for 13 yards (tackle by Darrick Forrest),-0.62,1.47,3.0,2023,35
1.0,13:02,1.0,10.0,BUF 38,0.0,0.0,Gabriel Davis right guard for -2 yards (tackle by Daron Payne),1.47,0.65,3.0,2023,35
1.0,12:22,2.0,12.0,BUF 36,0.0,0.0,Josh Allen pass complete short right to Dalton Kincaid for 4 yards (tackle by Jamin Davis),0.65,0.5,3.0,2023,35
1.0,11:41,3.0,8.0,BUF 40,0.0,0.0,Josh Allen pass complete deep right to Stefon Diggs for 30 yards (tackle by Emmanuel Forbes),0.5,3.58,3.0,2023,35
1.0,10:55,1.0,10.0,WAS 30,0.0,0.0,"Josh Allen pass complete short right to Dawson Knox for 11 yards (tackle by Benjamin St-Juste). Penalty on James Smith-Williams: Defensive Offside, 5 yards (declined)",3.58,4.31,3.0,2023,35
1.0,10:23,1.0,10.0,WAS 19,0.0,0.0,Josh Allen pass incomplete deep middle intended for Dawson Knox,4.31,3.75,3.0,2023,35
1.0,10:18,2.0,10.0,WAS 19,0.0,0.0,James Cook right tackle for 1 yard (tackle by Cody Barton and Jamin Davis),3.75,3.14,3.0,2023,35
1.0,9:38,3.0,9.0,WAS 18,0.0,0.0,Josh Allen pass incomplete deep middle intended for Dawson Knox,3.14,2.25,3.0,2023,35
1.0,9:32,4.0,9.0,WAS 18,3.0,0.0,Tyler Bass 36 yard field goal good,2.25,3.0,3.0,2023,35
1.0,9:29,,,BUF 35,3.0,0.0,"Tyler Bass kicks off 66 yards, returned by Antonio Gibson for 28 yards (tackle by Reggie Gilliam and Siran Neal)",0.0,0.74,3.0,2023,35
1.0,9:25,1.0,10.0,WAS 27,3.0,0.0,Brian Robinson left tackle for 7 yards (tackle by Jordan Poyer),0.74,1.14,3.0,2023,35
1.0,8:43,2.0,3.0,WAS 34,3.0,0.0,Sam Howell pass complete short middle to Terry McLaurin for 5 yards (tackle by Terrel Bernard),1.14,1.53,3.0,2023,35
1.0,8:09,1.0,10.0,WAS 39,3.0,0.0,Brian Robinson right end for 5 yards (tackle by Matt Milano),1.53,1.66,3.0,2023,35
1.0,7:30,2.0,5.0,WAS 44,3.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 10 yards (tackle by Tre'Davious White),1.66,2.52,3.0,2023,35
1.0,6:52,1.0,10.0,BUF 46,3.0,0.0,Sam Howell pass complete deep right to Cole Turner for 21 yards (tackle by Jordan Poyer),2.52,3.91,3.0,2023,35
1.0,6:13,1.0,10.0,BUF 25,3.0,0.0,Sam Howell sacked by and DaQuan Jones for -8 yards and Ed Oliver for -8 yards,3.91,2.28,3.0,2023,35
1.0,5:30,2.0,18.0,BUF 33,3.0,0.0,Sam Howell sacked by Terrel Bernard for -1 yards,2.28,1.49,3.0,2023,35
1.0,4:45,3.0,19.0,BUF 34,3.0,0.0,Sam Howell pass deep middle intended for Dyami Brown is intercepted by Terrel Bernard at BUF-16 and returned for no gain (tackle by Dyami Brown),1.49,0.14,3.0,2023,35
1.0,4:39,1.0,10.0,BUF 16,3.0,0.0,Josh Allen pass incomplete deep left intended for Stefon Diggs (defended by Benjamin St-Juste),-0.14,-0.66,3.0,2023,35
1.0,4:33,2.0,10.0,BUF 16,3.0,0.0,James Cook left guard for 8 yards (tackle by Percy Butler),-0.66,-0.32,3.0,2023,35
1.0,3:58,3.0,2.0,BUF 24,3.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 4 yards (tackle by Cody Barton),-0.32,0.81,3.0,2023,35
1.0,3:25,1.0,10.0,BUF 28,3.0,0.0,Josh Allen pass incomplete short middle intended for James Cook (defended by Jonathan Allen),0.81,0.26,3.0,2023,35
1.0,3:20,2.0,10.0,BUF 28,3.0,0.0,James Cook right tackle for 2 yards (tackle by Cody Barton),0.26,-0.16,3.0,2023,35
1.0,2:41,3.0,8.0,BUF 30,3.0,0.0,Josh Allen pass incomplete deep middle intended for Stefon Diggs (defended by Percy Butler),-0.16,-1.37,3.0,2023,35
1.0,2:35,4.0,8.0,BUF 30,3.0,0.0,"Sam Martin punts 70 yards, touchback.",-1.37,-0.28,3.0,2023,35
1.0,2:27,1.0,10.0,WAS 20,3.0,0.0,Brian Robinson right guard for 1 yard (tackle by Ed Oliver and DaQuan Jones),0.28,-0.13,3.0,2023,35
1.0,1:48,2.0,9.0,WAS 21,3.0,0.0,Sam Howell pass incomplete short left intended for Jahan Dotson,-0.13,-0.82,3.0,2023,35
1.0,1:45,3.0,9.0,WAS 21,3.0,0.0,Sam Howell sacked by Terrel Bernard for -10 yards,-0.82,-2.49,3.0,2023,35
1.0,0:59,4.0,19.0,WAS 11,3.0,0.0,"Tress Way punts 57 yards, returned by Deonte Harty for 23 yards (tackle by Jeremy Reaves). Penalty on David Mayo: Offensive Holding, 10 yards (accepted)",-2.49,-3.25,3.0,2023,35
1.0,0:47,1.0,10.0,WAS 35,9.0,0.0,"Josh Allen pass complete deep left to Gabriel Davis for 35 yards, touchdown",3.25,7.0,3.0,2023,35
1.0,0:41,,,WAS 15,10.0,0.0,Tyler Bass kicks extra point good,0.0,0.0,3.0,2023,35
1.0,0:41,,,BUF 35,10.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,35
1.0,0:41,1.0,10.0,WAS 25,10.0,0.0,Sam Howell pass complete deep left to Curtis Samuel for 37 yards (tackle by Christian Benford),0.61,3.05,3.0,2023,35
2.0,15:00,1.0,10.0,BUF 38,10.0,0.0,"Curtis Samuel left tackle for no gain (tackle by Terrel Bernard). Penalty on Jordan Phillips: Defensive Holding, 5 yards (accepted) (no play)",3.05,3.38,3.0,2023,35
2.0,14:40,1.0,10.0,BUF 33,10.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 9 yards,3.38,4.05,3.0,2023,35
2.0,14:05,2.0,1.0,BUF 24,10.0,0.0,Sam Howell scrambles up the middle for 18 yards (tackle by Tim Settle and Matt Milano),4.05,5.83,3.0,2023,35
2.0,13:15,1.0,6.0,BUF 6,10.0,0.0,Sam Howell pass incomplete short middle intended for Cole Turner,5.83,4.95,3.0,2023,35
2.0,13:11,2.0,6.0,BUF 6,10.0,0.0,Sam Howell pass complete short right to Cole Turner for 5 yards (tackle by Terrel Bernard),4.95,5.17,3.0,2023,35
2.0,12:29,3.0,1.0,BUF 1,10.0,0.0,Brian Robinson right tackle for -1 yards (tackle by Ed Oliver and Matt Milano),5.17,3.25,3.0,2023,35
2.0,11:46,4.0,2.0,BUF 2,10.0,0.0,Sam Howell pass incomplete short middle intended for Cole Turner,3.25,0.38,3.0,2023,35
