Unnamed: 0,HOU,JAX,week,year,game_id
First Downs,15,22,3.0,2023,40
Rush-Yds-TDs,26-86-1,27-116-1,3.0,2023,40
Cmp-Att-Yd-TD-INT,20-30-280-2-0,29-42-288-1-1,3.0,2023,40
Sacked-Yards,0-0,0-0,3.0,2023,40
Net Pass Yards,280,288,3.0,2023,40
Total Yards,366,404,3.0,2023,40
Fumbles-Lost,0-0,1-1,3.0,2023,40
Turnovers,0,2,3.0,2023,40
Penalties-Yards,8-75,6-49,3.0,2023,40
Third Down Conv.,9-15,5-13,3.0,2023,40
Fourth Down Conv.,0-0,0-1,3.0,2023,40
Time of Possession,27:57,32:03,3.0,2023,40
