Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,3.0,2023,47
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Rachaad White left guard for 2 yards (tackle by Zach Cunningham and Reed Blankenship),0.61,0.33,3.0,2023,47
1.0,14:24,2.0,8.0,TAM 27,0.0,0.0,Rachaad White up the middle for 5 yards (tackle by Zach Cunningham and Josh Sweat),0.33,0.3,3.0,2023,47
1.0,13:46,3.0,3.0,TAM 32,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Josh Jobe),0.3,1.53,3.0,2023,47
1.0,13:13,1.0,10.0,TAM 39,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Deven Thompkins,1.53,0.99,3.0,2023,47
1.0,13:07,2.0,10.0,TAM 39,0.0,0.0,Rachaad White right tackle for 2 yards (tackle by Justin Evans and Zach Cunningham),0.99,0.56,3.0,2023,47
1.0,12:29,3.0,8.0,TAM 41,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,0.56,-0.65,3.0,2023,47
1.0,12:23,4.0,8.0,TAM 41,0.0,0.0,"Jake Camarda punts 48 yards, returned by Britain Covey for 14 yards (tackle by Christian Izien)",-0.65,-0.61,3.0,2023,47
1.0,12:12,1.0,10.0,PHI 25,0.0,0.0,D'Andre Swift right tackle for 8 yards (tackle by Devin White and Ryan Neal),0.61,1.14,3.0,2023,47
1.0,11:32,2.0,2.0,PHI 33,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 28 yards (tackle by Antoine Winfield),1.14,2.98,3.0,2023,47
1.0,10:51,1.0,10.0,TAM 39,0.0,0.0,Jalen Hurts pass complete deep middle to A.J. Brown for 16 yards (tackle by Antoine Winfield),2.98,4.04,3.0,2023,47
1.0,10:26,1.0,10.0,TAM 23,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 1 yard (tackle by Jamel Dean),4.04,3.63,3.0,2023,47
1.0,9:47,2.0,9.0,TAM 22,0.0,0.0,Jalen Hurts pass complete short right to D'Andre Swift for 8 yards (tackle by Christian Izien),3.63,4.28,3.0,2023,47
1.0,9:19,3.0,1.0,TAM 14,0.0,0.0,Jalen Hurts pass incomplete short right intended for Olamide Zaccheaus (defended by Zyon McCollum),4.28,2.66,3.0,2023,47
1.0,9:14,4.0,1.0,TAM 14,0.0,0.0,Kenneth Gainwell up the middle for -1 yards (tackle by Ryan Neal and Antoine Winfield),2.66,0.22,3.0,2023,47
1.0,9:09,1.0,10.0,TAM 15,0.0,0.0,Baker Mayfield pass complete deep middle to Cade Otton for 16 yards (tackle by Reed Blankenship),-0.22,1.0,3.0,2023,47
1.0,8:36,1.0,10.0,TAM 31,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 5 yards (tackle by Darius Slay),1.0,1.14,3.0,2023,47
1.0,8:03,2.0,5.0,TAM 36,0.0,0.0,Rachaad White left guard for -2 yards (tackle by Nicholas Morrow),1.14,0.17,3.0,2023,47
1.0,7:19,3.0,7.0,TAM 34,0.0,0.0,Baker Mayfield scrambles right end for 2 yards (tackle by Josh Sweat),0.17,-0.98,3.0,2023,47
1.0,6:49,4.0,5.0,TAM 36,0.0,0.0,"Jake Camarda punts 60 yards, returned by Britain Covey for 52 yards (tackle by Sean Tucker)",-0.98,-2.65,3.0,2023,47
1.0,6:25,1.0,10.0,TAM 44,0.0,0.0,D'Andre Swift up the middle for 14 yards (tackle by Devin White),2.65,3.58,3.0,2023,47
1.0,5:39,1.0,10.0,TAM 30,0.0,0.0,D'Andre Swift up the middle for 1 yard (tackle by Antoine Winfield),3.58,3.17,3.0,2023,47
1.0,5:05,2.0,9.0,TAM 29,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 3 yards (tackle by Jamel Dean),3.17,2.87,3.0,2023,47
1.0,4:28,3.0,6.0,TAM 26,0.0,0.0,D'Andre Swift right tackle for 13 yards (tackle by Zyon McCollum),2.87,4.71,3.0,2023,47
1.0,3:53,1.0,10.0,TAM 13,0.0,0.0,Jalen Hurts pass incomplete short middle intended for Jack Stoll,4.71,4.05,3.0,2023,47
1.0,3:48,2.0,10.0,TAM 13,0.0,0.0,"Jalen Hurts pass complete short left to Dallas Goedert for no gain. Penalty on Landon Dickerson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.05,3.4,3.0,2023,47
1.0,3:21,2.0,15.0,TAM 18,0.0,0.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,3.4,2.79,3.0,2023,47
1.0,3:17,3.0,15.0,TAM 18,0.0,0.0,Jalen Hurts pass incomplete deep right,2.79,2.25,3.0,2023,47
1.0,3:10,4.0,15.0,TAM 18,3.0,0.0,Jake Elliott 36 yard field goal good,2.25,3.0,3.0,2023,47
1.0,3:05,,,PHI 35,3.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
1.0,3:05,1.0,10.0,TAM 25,3.0,0.0,Sean Tucker left tackle for -1 yards (tackle by Reed Blankenship),0.61,-0.07,3.0,2023,47
1.0,2:28,2.0,11.0,TAM 24,3.0,0.0,Baker Mayfield sacked by Marlon Tuipulotu for -2 yards,-0.07,-1.02,3.0,2023,47
1.0,1:46,3.0,13.0,TAM 22,3.0,0.0,Baker Mayfield pass incomplete deep left intended for Deven Thompkins,-1.02,-1.9,3.0,2023,47
1.0,1:41,4.0,13.0,TAM 22,3.0,0.0,"Jake Camarda punts 74 yards, returned by Britain Covey for 15 yards (tackle by Christian Izien and J.J. Russell)",-1.9,-0.15,3.0,2023,47
1.0,1:27,1.0,10.0,PHI 19,3.0,0.0,"D'Andre Swift right end for 2 yards (tackle by Devin White and Zyon McCollum). Penalty on Greg Gaines: Defensive Holding, 5 yards (accepted)",0.15,0.67,3.0,2023,47
1.0,1:04,1.0,10.0,PHI 26,3.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 15 yards,0.67,1.66,3.0,2023,47
1.0,0:41,1.0,10.0,PHI 41,3.0,0.0,Jalen Hurts scrambles right end for 5 yards (tackle by Lavonte David),1.66,1.8,3.0,2023,47
2.0,15:00,2.0,5.0,PHI 46,3.0,0.0,Jalen Hurts pass incomplete short right intended for Dallas Goedert,1.8,1.09,3.0,2023,47
2.0,14:57,3.0,5.0,PHI 46,3.0,0.0,Jalen Hurts pass incomplete short left,1.09,-0.32,3.0,2023,47
2.0,14:49,4.0,5.0,PHI 46,3.0,0.0,"Braden Mann punts 38 yards, fair catch by Deven Thompkins at TB-16",-0.32,0.14,3.0,2023,47
2.0,14:42,1.0,10.0,TAM 16,3.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 16 yards (tackle by Sydney Brown),-0.14,1.07,3.0,2023,47
2.0,14:10,1.0,10.0,TAM 32,3.0,0.0,Rachaad White up the middle for no gain (tackle by Fletcher Cox and Jordan Davis),1.07,0.53,3.0,2023,47
2.0,13:35,2.0,10.0,TAM 32,3.0,0.0,Rachaad White up the middle for 7 yards (tackle by Brandon Graham),0.53,0.76,3.0,2023,47
2.0,12:59,3.0,3.0,TAM 39,3.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 8 yards (tackle by Josh Jobe),0.76,2.06,3.0,2023,47
2.0,12:25,1.0,10.0,TAM 47,3.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 6 yards (tackle by Josh Sweat and Sydney Brown),2.06,2.33,3.0,2023,47
2.0,11:41,2.0,4.0,PHI 47,3.0,0.0,Baker Mayfield pass complete short left to Deven Thompkins for 1 yard (tackle by James Bradberry),2.33,1.75,3.0,2023,47
2.0,10:59,3.0,3.0,PHI 46,3.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 18 yards (tackle by Reed Blankenship),1.75,3.71,3.0,2023,47
2.0,10:17,1.0,10.0,PHI 28,3.0,0.0,Baker Mayfield pass incomplete short right intended for Cade Otton,3.71,3.17,3.0,2023,47
2.0,10:13,2.0,10.0,PHI 28,3.0,0.0,Sean Tucker up the middle for 2 yards (tackle by Jordan Davis),3.17,2.74,3.0,2023,47
2.0,9:32,3.0,8.0,PHI 26,3.0,0.0,"Baker Mayfield pass incomplete intended for Cade Otton. Penalty on Josh Jobe: Defensive Pass Interference, 10 yards (accepted) (no play)",2.74,4.51,3.0,2023,47
2.0,9:27,1.0,10.0,PHI 16,3.0,0.0,Rachaad White up the middle for 1 yard (tackle by Josh Sweat and Marlon Tuipulotu),4.51,4.05,3.0,2023,47
2.0,8:50,2.0,9.0,PHI 15,3.0,0.0,Baker Mayfield pass incomplete short right intended for Chris Godwin,4.05,3.22,3.0,2023,47
2.0,8:43,3.0,9.0,PHI 15,3.0,0.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Sydney Brown),3.22,2.44,3.0,2023,47
2.0,8:37,4.0,9.0,PHI 15,3.0,3.0,Chase McLaughlin 33 yard field goal good,2.44,3.0,3.0,2023,47
2.0,8:33,,,TAM 35,3.0,3.0,"Jake Camarda kicks off 66 yards, returned by Devon Allen for 17 yards (tackle by K.J. Britt)",0.0,-0.14,3.0,2023,47
2.0,8:29,1.0,10.0,PHI 16,3.0,3.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 5 yards (tackle by Lavonte David and YaYa Diaby),-0.14,0.15,3.0,2023,47
2.0,7:44,2.0,5.0,PHI 21,3.0,3.0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.15,-0.7,3.0,2023,47
2.0,7:37,3.0,5.0,PHI 21,3.0,3.0,Jalen Hurts pass complete short middle to Dallas Goedert for 13 yards (tackle by Ryan Neal),-0.7,1.2,3.0,2023,47
2.0,6:55,1.0,10.0,PHI 34,3.0,3.0,Kenneth Gainwell up the middle for 8 yards (tackle by Devin White),1.2,1.74,3.0,2023,47
2.0,6:14,2.0,2.0,PHI 42,3.0,3.0,Jalen Hurts pass complete short left to Olamide Zaccheaus for 24 yards (tackle by Christian Izien),1.74,3.31,3.0,2023,47
2.0,5:32,1.0,10.0,TAM 34,3.0,3.0,Kenneth Gainwell right guard for 1 yard (tackle by Lavonte David),3.31,2.91,3.0,2023,47
2.0,4:52,2.0,9.0,TAM 33,3.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 4 yards (tackle by Christian Izien),2.91,2.74,3.0,2023,47
2.0,4:07,3.0,5.0,TAM 29,3.0,3.0,"Penalty on Dallas Goedert: False Start, 5 yards (accepted) (no play)",2.74,2.08,3.0,2023,47
2.0,3:41,3.0,10.0,TAM 34,9.0,3.0,"Jalen Hurts pass complete deep right to Olamide Zaccheaus for 34 yards, touchdown",2.08,7.0,3.0,2023,47
2.0,3:32,,,TAM 15,10.0,3.0,Jake Elliott kicks extra point good,0.0,0.0,3.0,2023,47
2.0,3:32,,,PHI 35,10.0,3.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
2.0,3:32,1.0,10.0,TAM 25,10.0,3.0,Rachaad White up the middle for 2 yards (tackle by Brandon Graham),0.61,0.33,3.0,2023,47
2.0,2:49,2.0,8.0,TAM 27,10.0,3.0,"Baker Mayfield pass complete to Chris Godwin for no gain. Penalty on Matt Feiler: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.33,-0.34,3.0,2023,47
2.0,2:32,2.0,13.0,TAM 22,10.0,3.0,Baker Mayfield pass short middle intended for Chris Godwin is intercepted by Reed Blankenship at TB-37 and returned for no gain (tackle by Rachaad White),-0.34,-3.12,3.0,2023,47
2.0,2:26,1.0,10.0,TAM 37,10.0,3.0,Kenneth Gainwell up the middle for 6 yards (tackle by Devin White),3.12,3.38,3.0,2023,47
2.0,2:00,2.0,4.0,TAM 31,10.0,3.0,Jalen Hurts left tackle for 3 yards (tackle by Logan Hall),3.38,3.07,3.0,2023,47
2.0,1:35,3.0,1.0,TAM 28,10.0,3.0,"Jalen Hurts up the middle for 1 yard (tackle by Vita Vea and Devin White) Replay Assistant challenged the first down ruling, and the play was upheld.",3.07,3.78,3.0,2023,47
2.0,0:53,1.0,10.0,TAM 27,10.0,3.0,"Jalen Hurts pass incomplete intended for A.J. Brown. Penalty on Jamel Dean: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.78,4.11,3.0,2023,47
2.0,0:48,1.0,10.0,TAM 22,10.0,3.0,Jalen Hurts pass short left intended for D'Andre Swift is intercepted by Devin White at TB-17 and returned for 26 yards (tackle by Jalen Hurts),4.11,-1.8,3.0,2023,47
2.0,0:39,1.0,10.0,TAM 43,10.0,3.0,"Baker Mayfield sacked by and Jalen Carter for -11 yards and Fletcher Cox for -11 yards. Baker Mayfield fumbles (forced by Jalen Carter), recovered by Robert Hainsey at TB-32",1.8,-0.23,3.0,2023,47
2.0,0:32,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,3.0,2023,47
2.0,0:32,2.0,21.0,TAM 32,10.0,3.0,"Baker Mayfield pass complete short left to Rachaad White for 2 yards. Rachaad White fumbles (forced by Jalen Carter), recovered by James Bradberry at TB-37 and returned for 1 yard (tackle by Matt Feiler)",-0.23,-3.18,3.0,2023,47
2.0,0:24,1.0,10.0,TAM 36,10.0,3.0,Kenneth Gainwell up the middle for 6 yards (tackle by Lavonte David),3.18,3.45,3.0,2023,47
2.0,0:20,,,,,,Timeout #1 by Philadelphia Eagles,,,3.0,2023,47
2.0,0:20,2.0,4.0,TAM 30,10.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 2 yards (tackle by Zyon McCollum and Lavonte David),3.45,3.01,3.0,2023,47
2.0,0:15,,,,,,Timeout #2 by Philadelphia Eagles,,,3.0,2023,47
2.0,0:15,3.0,2.0,TAM 28,10.0,3.0,Jalen Hurts right end for 8 yards (tackle by Christian Izien),3.01,4.24,3.0,2023,47
2.0,0:09,,,,,,Timeout #3 by Philadelphia Eagles,,,3.0,2023,47
2.0,0:09,1.0,10.0,TAM 20,10.0,3.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,4.24,3.69,3.0,2023,47
2.0,0:03,2.0,10.0,TAM 20,13.0,3.0,Jake Elliott 38 yard field goal good,3.69,3.0,3.0,2023,47
3.0,15:00,,,TAM 35,13.0,3.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,47
3.0,15:00,1.0,10.0,PHI 25,13.0,3.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,0.61,0.06,3.0,2023,47
