Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Steelers to receive the opening kickoff.",,,3.0,2023,46
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris left tackle for 5 yards (tackle by Divine Deablo),0.61,0.74,3.0,2023,46
1.0,14:24,2.0,5.0,PIT 30,0.0,0.0,Najee Harris up the middle for 4 yards (tackle by Bilal Nichols and John Jenkins),0.74,0.56,3.0,2023,46
1.0,13:46,3.0,1.0,PIT 34,0.0,0.0,Connor Heyward left guard for no gain (tackle by Bilal Nichols),0.56,-1.11,3.0,2023,46
1.0,13:08,4.0,1.0,PIT 34,0.0,0.0,"Pressley Harvin punts 57 yards, returned by DeAndre Carter for 3 yards (tackle by Mark Robinson)",-1.11,0.35,3.0,2023,46
1.0,12:56,1.0,10.0,LVR 12,0.0,0.0,Jimmy Garoppolo pass complete short right to Davante Adams for 5 yards (tackle by Patrick Peterson),-0.35,-0.23,3.0,2023,46
1.0,12:23,2.0,5.0,LVR 17,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Cole Holcomb and Elandon Roberts),-0.23,-0.6,3.0,2023,46
1.0,11:48,3.0,3.0,LVR 19,0.0,0.0,Jimmy Garoppolo pass incomplete short right intended for Davante Adams,-0.6,-2.14,3.0,2023,46
1.0,11:40,4.0,3.0,LVR 19,0.0,0.0,"AJ Cole punts 48 yards, returned by Calvin Austin for no gain (tackle by Curtis Bolton). Penalty on James Pierre: Offensive Holding, 10 yards (accepted)",-2.14,-0.48,3.0,2023,46
1.0,11:27,1.0,10.0,PIT 23,0.0,0.0,Najee Harris up the middle for 4 yards (tackle by Robert Spillane),0.48,0.47,3.0,2023,46
1.0,10:52,2.0,6.0,PIT 27,0.0,0.0,Kenny Pickett pass incomplete short left intended for Najee Harris,0.47,-0.23,3.0,2023,46
1.0,10:47,3.0,6.0,PIT 27,0.0,0.0,Kenny Pickett pass incomplete short left intended for Calvin Austin,-0.23,-1.57,3.0,2023,46
1.0,10:42,4.0,6.0,PIT 27,0.0,0.0,"Pressley Harvin punts 59 yards, returned by DeAndre Carter for 12 yards (tackle by Mark Robinson)",-1.57,-0.67,3.0,2023,46
1.0,10:27,1.0,10.0,LVR 26,0.0,0.0,Jimmy Garoppolo pass complete short right to Davante Adams for 9 yards (tackle by Damontae Kazee),0.67,1.35,3.0,2023,46
1.0,9:49,2.0,1.0,LVR 35,0.0,0.0,Josh Jacobs up the middle for 5 yards (tackle by Elandon Roberts and Larry Ogunjobi),1.35,1.6,3.0,2023,46
1.0,9:09,1.0,10.0,LVR 40,0.0,0.0,Jimmy Garoppolo pass complete deep left to Davante Adams for 19 yards (tackle by Levi Wallace),1.6,2.85,3.0,2023,46
1.0,8:26,1.0,10.0,PIT 41,0.0,0.0,"Josh Jacobs for 2 yards. Josh Jacobs fumbles (forced by Minkah Fitzpatrick), recovered by T.J. Watt at PIT-39 Replay Assistant challenged the fumble ruling, and the original play was overturned. Josh Jacobs up the middle for 1 yard (tackle by Kwon Alexander and Minkah Fitzpatrick)",2.85,2.44,3.0,2023,46
1.0,8:10,2.0,9.0,PIT 40,0.0,0.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",2.44,1.77,3.0,2023,46
1.0,7:58,2.0,14.0,PIT 45,0.0,0.0,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 13 yards (tackle by Patrick Peterson),1.77,2.81,3.0,2023,46
1.0,7:30,3.0,1.0,PIT 32,0.0,0.0,Jimmy Garoppolo right guard for no gain (tackle by Kwon Alexander),2.81,1.31,3.0,2023,46
1.0,7:10,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2023,46
1.0,7:10,4.0,1.0,PIT 32,0.0,6.0,"Jimmy Garoppolo pass complete deep middle to Davante Adams for 32 yards, touchdown",1.31,7.0,3.0,2023,46
1.0,7:04,,,PIT 15,0.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,3.0,2023,46
1.0,7:04,,,LVR 35,0.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
1.0,7:04,1.0,10.0,PIT 25,0.0,7.0,Kenny Pickett pass incomplete short right intended for George Pickens,0.61,0.06,3.0,2023,46
1.0,7:00,2.0,10.0,PIT 25,0.0,7.0,Jaylen Warren left tackle for 3 yards (tackle by Jerry Tillery),0.06,-0.23,3.0,2023,46
1.0,6:21,3.0,7.0,PIT 28,6.0,7.0,"Kenny Pickett pass complete deep middle to Calvin Austin for 72 yards, touchdown. Penalty on Tre'von Moehrig: Defensive Holding, 5 yards (declined)",-0.23,7.0,3.0,2023,46
1.0,6:12,,,LVR 15,7.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,3.0,2023,46
1.0,6:12,,,PIT 35,7.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
1.0,6:12,1.0,10.0,LVR 25,7.0,7.0,Jimmy Garoppolo sacked by T.J. Watt for -8 yards,0.61,-1.15,3.0,2023,46
1.0,5:31,2.0,18.0,LVR 17,7.0,7.0,Jimmy Garoppolo pass complete short middle to Jakobi Meyers for 13 yards (tackle by Patrick Peterson and Minkah Fitzpatrick),-1.15,0.04,3.0,2023,46
1.0,4:50,3.0,5.0,LVR 30,7.0,7.0,Jimmy Garoppolo pass incomplete deep left intended for Ameer Abdullah,0.04,-1.37,3.0,2023,46
1.0,4:42,4.0,5.0,LVR 30,7.0,7.0,"AJ Cole punts 50 yards, returned by Calvin Austin for 5 yards (tackle by Jakob Johnson and Jacob Bobenmoyer)",-1.37,-0.61,3.0,2023,46
1.0,4:29,1.0,10.0,PIT 25,7.0,7.0,Kenny Pickett pass incomplete short right intended for Connor Heyward,0.61,0.06,3.0,2023,46
1.0,4:25,2.0,10.0,PIT 25,7.0,7.0,Najee Harris up the middle for 2 yards (tackle by John Jenkins and Jerry Tillery),0.06,-0.36,3.0,2023,46
1.0,3:42,3.0,8.0,PIT 27,7.0,7.0,Kenny Pickett pass complete short middle to George Pickens for 13 yards (tackle by Robert Spillane),-0.36,1.6,3.0,2023,46
1.0,3:00,1.0,10.0,PIT 40,7.0,7.0,Najee Harris left guard for no gain (tackle by Marcus Peters and Nate Hobbs),1.6,1.05,3.0,2023,46
1.0,2:22,2.0,10.0,PIT 40,7.0,7.0,Kenny Pickett pass complete short right to Allen Robinson for 6 yards (tackle by Marcus Peters),1.05,1.16,3.0,2023,46
1.0,1:41,3.0,4.0,PIT 46,7.0,7.0,Kenny Pickett sacked by Maxx Crosby for -7 yards,1.16,-0.78,3.0,2023,46
1.0,0:59,4.0,11.0,PIT 39,7.0,7.0,Pressley Harvin punts 47 yards downed by James Pierre,-0.78,0.28,3.0,2023,46
1.0,0:49,1.0,10.0,LVR 14,7.0,7.0,Josh Jacobs right guard for 2 yards (tackle by Mark Robinson),-0.28,-0.51,3.0,2023,46
1.0,0:23,2.0,8.0,LVR 16,7.0,7.0,Jimmy Garoppolo pass complete short left to Davante Adams for 7 yards (tackle by Levi Wallace),-0.51,-0.32,3.0,2023,46
2.0,15:00,3.0,1.0,LVR 23,7.0,7.0,Jimmy Garoppolo pass complete short right to Davante Adams for 6 yards (tackle by Minkah Fitzpatrick),-0.32,0.87,3.0,2023,46
2.0,14:29,1.0,10.0,LVR 29,7.0,7.0,Josh Jacobs left guard for 6 yards (tackle by Keanu Neal),0.87,1.14,3.0,2023,46
2.0,13:57,2.0,4.0,LVR 35,7.0,7.0,Josh Jacobs up the middle for 3 yards (tackle by Mark Robinson),1.14,0.83,3.0,2023,46
2.0,13:18,3.0,1.0,LVR 38,7.0,7.0,Jimmy Garoppolo pass complete deep middle to Davante Adams for 19 yards (tackle by Kwon Alexander),0.83,2.72,3.0,2023,46
2.0,12:33,1.0,10.0,PIT 43,7.0,7.0,Jimmy Garoppolo pass incomplete deep right intended for Jakobi Meyers,2.72,2.18,3.0,2023,46
2.0,12:27,2.0,10.0,PIT 43,7.0,7.0,Jimmy Garoppolo pass short middle intended for Michael Mayer is intercepted by Levi Wallace at PIT-31 and returned for no gain (tackle by Michael Mayer),2.18,-1.0,3.0,2023,46
2.0,12:24,1.0,10.0,PIT 31,7.0,7.0,Kenny Pickett pass complete short left to Pat Freiermuth for 14 yards (tackle by Nate Hobbs),1.0,1.93,3.0,2023,46
2.0,11:45,1.0,10.0,PIT 45,7.0,7.0,Kenny Pickett pass complete short left to Calvin Austin for no gain (tackle by Divine Deablo),1.93,1.38,3.0,2023,46
2.0,11:10,2.0,10.0,PIT 45,7.0,7.0,Najee Harris left guard for 9 yards (tackle by Robert Spillane),1.38,1.88,3.0,2023,46
2.0,10:30,,,,,,Timeout #1 by Pittsburgh Steelers,,,3.0,2023,46
2.0,10:30,3.0,1.0,LVR 46,7.0,7.0,"Kenny Pickett up the middle for 2 yards (tackle by Robert Spillane). Penalty on Maxx Crosby: Unnecessary Roughness / Defense, 15 yards (accepted)",1.88,3.64,3.0,2023,46
2.0,10:00,1.0,10.0,LVR 29,7.0,7.0,Jaylen Warren left tackle for 6 yards (tackle by Divine Deablo and Jakorian Bennett),3.64,3.91,3.0,2023,46
2.0,9:25,2.0,4.0,LVR 23,7.0,7.0,Jaylen Warren up the middle for -2 yards (tackle by John Jenkins),3.91,2.94,3.0,2023,46
2.0,8:46,3.0,6.0,LVR 25,7.0,7.0,Kenny Pickett pass incomplete short left intended for Calvin Austin (defended by Nate Hobbs),2.94,1.83,3.0,2023,46
2.0,8:37,4.0,6.0,LVR 25,10.0,7.0,Chris Boswell 43 yard field goal good,1.83,3.0,3.0,2023,46
2.0,8:33,,,PIT 35,10.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,46
2.0,8:33,1.0,10.0,LVR 25,10.0,7.0,Josh Jacobs left guard for -1 yards (tackle by Cole Holcomb and Keanu Neal),0.61,-0.07,3.0,2023,46
2.0,8:00,2.0,11.0,LVR 24,10.0,7.0,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams (defended by Levi Wallace),-0.07,-0.76,3.0,2023,46
