Quarter,Time,Down,ToGo,Location,DEN,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,3.0,2023,38
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,Raheem Mostert right end for 6 yards (tackle by Zach Allen and Alex Singleton),0.61,0.87,3.0,2023,38
1.0,14:27,2.0,4.0,MIA 31,0.0,0.0,Tua Tagovailoa pass complete short middle to Durham Smythe for 15 yards (tackle by Delarrin Turner-Yell),0.87,1.99,3.0,2023,38
1.0,13:48,1.0,10.0,MIA 46,0.0,6.0,"Tua Tagovailoa pass complete deep middle to Tyreek Hill for 54 yards, touchdown",1.99,7.0,3.0,2023,38
1.0,13:37,,,DEN 15,0.0,7.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
1.0,13:37,,,MIA 35,0.0,7.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
1.0,13:37,1.0,10.0,DEN 25,0.0,7.0,Javonte Williams left guard for 2 yards (tackle by Zach Sieler and Jerome Baker),0.61,0.33,3.0,2023,38
1.0,13:02,2.0,8.0,DEN 27,0.0,7.0,Marvin Mims left end for 3 yards (tackle by Kader Kohou),0.33,0.04,3.0,2023,38
1.0,12:22,3.0,5.0,DEN 30,0.0,7.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Kader Kohou),0.04,-1.37,3.0,2023,38
1.0,12:16,4.0,5.0,DEN 30,0.0,7.0,"Riley Dixon punts 61 yards, returned by Braxton Berrios for 10 yards (tackle by Delarrin Turner-Yell and Jonathon Cooper)",-1.37,-0.15,3.0,2023,38
1.0,12:04,1.0,10.0,MIA 19,0.0,7.0,Raheem Mostert left end for 15 yards (tackle by Delarrin Turner-Yell),0.15,1.2,3.0,2023,38
1.0,11:21,1.0,10.0,MIA 34,0.0,7.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 5 yards (tackle by Alex Singleton),1.2,1.33,3.0,2023,38
1.0,10:46,2.0,5.0,MIA 39,0.0,7.0,De'Von Achane left end for 26 yards (tackle by Kareem Jackson),1.33,3.25,3.0,2023,38
1.0,10:03,1.0,10.0,DEN 35,0.0,7.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 9 yards (tackle by Josey Jewell),3.25,3.92,3.0,2023,38
1.0,9:17,2.0,1.0,DEN 26,0.0,7.0,De'Von Achane right guard for 4 yards (tackle by Delarrin Turner-Yell and Josey Jewell),3.92,4.11,3.0,2023,38
1.0,8:39,1.0,10.0,DEN 22,0.0,7.0,Tua Tagovailoa pass complete short middle to Raheem Mostert for 3 yards (tackle by Josey Jewell and Patrick Surtain),4.11,3.97,3.0,2023,38
1.0,7:56,2.0,7.0,DEN 19,0.0,7.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 8 yards (tackle by Essang Bassey),3.97,4.84,3.0,2023,38
1.0,7:17,1.0,10.0,DEN 11,0.0,7.0,De'Von Achane right guard for 3 yards (tackle by Jonathan Harris and Kareem Jackson),4.84,4.7,3.0,2023,38
1.0,6:36,2.0,7.0,DEN 8,0.0,13.0,"De'Von Achane left end for 8 yards, touchdown",4.7,7.0,3.0,2023,38
1.0,6:31,,,DEN 15,0.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2023,38
1.0,6:31,,,MIA 35,0.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,38
