Quarter,Time,Tm,Detail,NOR,GNB,week,year,game_id
1.0,6:40,Saints,Jimmy Graham 8 yard pass from Derek Carr (Blake Grupe kick),7,0,3.0,2023,39
2.0,10:30,Saints,Rashid Shaheed 76 yard punt return (Blake Grupe kick),14,0,3.0,2023,39
,0:06,Saints,Blake Grupe 25 yard field goal,17,0,3.0,2023,39
4.0,11:00,Packers,Anders Carlson 38 yard field goal,17,3,3.0,2023,39
,6:58,Packers,Jordan Love 1 yard rush (Samori Toure pass from Jordan Love),17,11,3.0,2023,39
,2:56,Packers,Romeo Doubs 8 yard pass from Jordan Love (Anders Carlson kick),17,18,3.0,2023,39
