Unnamed: 0,DAL,ARI,week,year,game_id
First Downs,26,20,3.0,2023,45
Rush-Yds-TDs,33-185-0,30-222-2,3.0,2023,45
Cmp-Att-Yd-TD-INT,25-40-249-1-1,17-21-189-1-0,3.0,2023,45
Sacked-Yards,2-18,2-11,3.0,2023,45
Net Pass Yards,231,178,3.0,2023,45
Total Yards,416,400,3.0,2023,45
Fumbles-Lost,0-0,0-0,3.0,2023,45
Turnovers,1,0,3.0,2023,45
Penalties-Yards,13-107,8-69,3.0,2023,45
Third Down Conv.,9-16,5-10,3.0,2023,45
Fourth Down Conv.,0-1,0-0,3.0,2023,45
Time of Possession,34:33,25:27,3.0,2023,45
