Unnamed: 0,NOR,GNB,week,year,game_id
First Downs,15,21,3.0,2023,39
Rush-Yds-TDs,22-77-0,26-95-1,3.0,2023,39
Cmp-Att-Yd-TD-INT,23-34-204-1-0,22-44-259-1-1,3.0,2023,39
Sacked-Yards,4-29,1-14,3.0,2023,39
Net Pass Yards,175,245,3.0,2023,39
Total Yards,252,340,3.0,2023,39
Fumbles-Lost,0-0,1-0,3.0,2023,39
Turnovers,0,1,3.0,2023,39
Penalties-Yards,7-102,11-90,3.0,2023,39
Third Down Conv.,4-14,8-18,3.0,2023,39
Fourth Down Conv.,1-1,1-3,3.0,2023,39
Time of Possession,27:25,32:35,3.0,2023,39
