Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Chargers to receive the opening kickoff.",,,3.0,2023,41
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Joshua Kelley up the middle for 2 yards (tackle by Jordan Hicks),0.61,0.33,3.0,2023,41
1.0,14:28,2.0,8.0,LAC 27,0.0,0.0,"Joshua Kelley left end for no gain (tackle by Akayleb Evans). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",0.33,-1.15,3.0,2023,41
1.0,14:09,2.0,18.0,LAC 17,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Josh Metellus and Camryn Bynum),-1.15,-0.76,3.0,2023,41
1.0,13:30,3.0,11.0,LAC 24,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Camryn Bynum),-0.76,-1.37,3.0,2023,41
1.0,12:55,4.0,5.0,LAC 30,0.0,0.0,JK Scott punts 27 yards downed by Tre' McKitty,-1.37,-1.8,3.0,2023,41
1.0,12:43,1.0,10.0,MIN 43,0.0,0.0,Alexander Mattison right tackle for 2 yards (tackle by Sebastian Joseph-Day and Nick Williams),1.8,1.52,3.0,2023,41
1.0,12:05,2.0,8.0,MIN 45,0.0,0.0,Alexander Mattison left end for 13 yards (tackle by Kenneth Murray and Derwin James),1.52,2.79,3.0,2023,41
1.0,11:25,1.0,10.0,LAC 42,0.0,0.0,Alexander Mattison up the middle for 6 yards (tackle by Tuli Tuipulotu),2.79,3.05,3.0,2023,41
1.0,10:42,2.0,4.0,LAC 36,0.0,0.0,Alexander Mattison up the middle for 8 yards (tackle by Derwin James and Nick Niemann),3.05,3.71,3.0,2023,41
1.0,10:06,1.0,10.0,LAC 28,0.0,0.0,Alexander Mattison left end for 2 yards (tackle by Nick Williams),3.71,3.44,3.0,2023,41
1.0,9:24,2.0,8.0,LAC 26,0.0,0.0,Kirk Cousins pass complete short left to Josh Oliver for no gain (tackle by Kenneth Murray),3.44,2.74,3.0,2023,41
1.0,8:41,3.0,8.0,LAC 26,0.0,0.0,"Kirk Cousins pass complete short middle to T.J. Hockenson for 9 yards. T.J. Hockenson fumbles (forced by Alohi Gilman), recovered by Alohi Gilman at LAC-17 and returned for 4 yards (tackle by Jordan Addison)",2.74,-0.34,3.0,2023,41
1.0,8:32,1.0,10.0,LAC 21,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Harrison Smith),0.34,0.88,3.0,2023,41
1.0,7:53,2.0,2.0,LAC 29,0.0,0.0,Joshua Kelley left tackle for 4 yards (tackle by Jordan Hicks and Akayleb Evans),0.88,1.14,3.0,2023,41
1.0,7:20,1.0,10.0,LAC 33,0.0,0.0,Justin Herbert pass incomplete short left intended for Keenan Allen,1.14,0.59,3.0,2023,41
1.0,7:16,2.0,10.0,LAC 33,0.0,0.0,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Jordan Hicks and Akayleb Evans),0.59,0.56,3.0,2023,41
1.0,6:31,3.0,5.0,LAC 38,0.0,0.0,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Byron Murphy),0.56,1.93,3.0,2023,41
1.0,5:59,1.0,10.0,LAC 45,0.0,0.0,Justin Herbert scrambles left guard for 12 yards (tackle by Akayleb Evans),1.93,2.72,3.0,2023,41
1.0,5:21,1.0,10.0,MIN 43,0.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 3 yards (tackle by Harrison Smith and Josh Metellus),2.72,2.58,3.0,2023,41
1.0,4:44,2.0,7.0,MIN 40,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 9 yards (tackle by Byron Murphy),2.58,3.51,3.0,2023,41
1.0,4:07,1.0,10.0,MIN 31,0.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by Akayleb Evans),3.51,3.37,3.0,2023,41
1.0,3:32,2.0,7.0,MIN 28,0.0,0.0,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by Byron Murphy),3.37,2.68,3.0,2023,41
1.0,3:27,3.0,7.0,MIN 28,0.0,0.0,Justin Herbert pass complete deep right to Keenan Allen for 25 yards (tackle by Mekhi Blackmon),2.68,6.51,3.0,2023,41
1.0,2:55,1.0,3.0,MIN 3,6.0,0.0,"Justin Herbert pass complete short right to Donald Parham for 3 yards, touchdown",6.51,7.0,3.0,2023,41
1.0,2:51,,,MIN 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,3.0,2023,41
1.0,2:51,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,41
1.0,2:51,1.0,10.0,MIN 25,7.0,0.0,Kirk Cousins pass complete short left to Alexander Mattison for 5 yards (tackle by Kenneth Murray),0.61,0.74,3.0,2023,41
1.0,2:04,2.0,5.0,MIN 30,7.0,0.0,Alexander Mattison left guard for 1 yard (tackle by Sebastian Joseph-Day and Nick Williams),0.74,0.3,3.0,2023,41
1.0,1:42,3.0,3.0,MIN 32,7.0,0.0,"Penalty on Morgan Fox: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.3,1.33,3.0,2023,41
1.0,1:27,1.0,10.0,MIN 36,7.0,0.0,Ty Chandler left end for 12 yards (tackle by Derwin James),1.33,2.13,3.0,2023,41
1.0,0:39,1.0,10.0,MIN 48,7.0,0.0,Kirk Cousins pass incomplete short middle intended for Ty Chandler (defended by Ja'Sir Taylor),2.13,1.58,3.0,2023,41
1.0,0:25,2.0,10.0,MIN 48,7.0,0.0,Ty Chandler left guard for 6 yards (tackle by Kenneth Murray),1.58,1.68,3.0,2023,41
1.0,0:10,,,,,,Timeout #1 by Los Angeles Chargers,,,3.0,2023,41
1.0,0:10,3.0,4.0,LAC 46,7.0,0.0,Kirk Cousins sacked by Joey Bosa for -7 yards,1.68,-0.26,3.0,2023,41
2.0,15:00,4.0,11.0,MIN 47,7.0,0.0,"Ryan Wright punts 53 yards, touchback.",-0.26,-0.28,3.0,2023,41
2.0,14:53,1.0,10.0,LAC 20,7.0,0.0,Joshua Kelley right tackle for no gain (tackle by Byron Murphy and Danielle Hunter),0.28,-0.27,3.0,2023,41
2.0,14:21,2.0,10.0,LAC 20,7.0,0.0,Justin Herbert pass complete short middle to Mike Williams for 9 yards (tackle by Byron Murphy),-0.27,0.23,3.0,2023,41
2.0,13:41,3.0,1.0,LAC 29,7.0,0.0,Justin Herbert pass complete short left to Gerald Everett for 2 yards (tackle by Akayleb Evans),0.23,1.0,3.0,2023,41
2.0,13:05,1.0,10.0,LAC 31,7.0,0.0,Justin Herbert pass incomplete deep right intended for Mike Williams,1.0,0.46,3.0,2023,41
2.0,12:59,2.0,10.0,LAC 31,7.0,0.0,Justin Herbert pass complete short right to Derius Davis for 3 yards (tackle by Josh Metellus),0.46,0.17,3.0,2023,41
