Quarter,Time,Down,ToGo,Location,CAR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,3.0,2023,43
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2023,43
1.0,15:00,1.0,10.0,SEA 25,0.0,0.0,Kenneth Walker left guard for 2 yards (tackle by Deion Jones),0.61,0.33,3.0,2023,43
1.0,14:27,2.0,8.0,SEA 27,0.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,0.33,-0.36,3.0,2023,43
1.0,14:22,3.0,8.0,SEA 27,0.0,0.0,Geno Smith pass complete short left to DeeJay Dallas for -2 yards (tackle by Frankie Luvu),-0.36,-1.7,3.0,2023,43
1.0,13:37,4.0,10.0,SEA 25,0.0,0.0,"Michael Dickson punts 51 yards, returned by Ihmir Smith-Marsette for -3 yards (tackle by Brady Russell and Zach Charbonnet)",-1.7,-0.34,3.0,2023,43
1.0,13:25,1.0,10.0,CAR 21,0.0,0.0,Miles Sanders for 4 yards (tackle by Jordyn Brooks and Jarran Reed),0.34,0.34,3.0,2023,43
1.0,12:51,2.0,6.0,CAR 25,0.0,0.0,Andy Dalton pass incomplete short right intended for DJ Chark,0.34,-0.36,3.0,2023,43
1.0,12:44,3.0,6.0,CAR 25,0.0,0.0,"Andy Dalton pass complete deep left to Adam Thielen for 23 yards. Penalty on Julian Love: Roughing the Passer, 15 yards (accepted)",-0.36,3.12,3.0,2023,43
1.0,12:32,1.0,10.0,SEA 37,0.0,0.0,Laviska Shenault right guard for 2 yards (tackle by Jarran Reed),3.12,2.84,3.0,2023,43
1.0,11:49,2.0,8.0,SEA 35,0.0,0.0,Andy Dalton pass complete short right to Jonathan Mingo for 4 yards (tackle by Devon Witherspoon),2.84,2.68,3.0,2023,43
1.0,11:08,3.0,4.0,SEA 31,0.0,0.0,Andy Dalton pass complete short right to Miles Sanders for 6 yards (tackle by Jordyn Brooks),2.68,3.91,3.0,2023,43
1.0,10:22,1.0,10.0,SEA 25,0.0,0.0,Miles Sanders left end for no gain (tackle by Jarran Reed),3.91,3.36,3.0,2023,43
1.0,9:44,2.0,10.0,SEA 25,0.0,0.0,"Andy Dalton pass complete to Miles Sanders for no gain. Penalty on Uchenna Nwosu: Defensive Offside, 5 yards (accepted) (no play)",3.36,4.04,3.0,2023,43
1.0,9:25,2.0,5.0,SEA 20,0.0,0.0,Andy Dalton sacked by Boye Mafe for -11 yards,4.04,1.88,3.0,2023,43
1.0,8:47,,,,,,Timeout #1 by Seattle Seahawks,,,3.0,2023,43
1.0,8:47,3.0,16.0,SEA 31,0.0,0.0,"Andy Dalton pass complete short right to Miles Sanders for 6 yards (tackle by Quandre Diggs and Devon Witherspoon). Penalty on Tommy Tremble: Offensive Holding, 10 yards (accepted)",1.88,1.35,3.0,2023,43
1.0,8:27,3.0,20.0,SEA 35,0.0,0.0,Andy Dalton pass complete short left to Adam Thielen for 6 yards (tackle by Uchenna Nwosu),1.35,1.5,3.0,2023,43
1.0,7:51,4.0,14.0,SEA 29,3.0,0.0,Eddy Pineiro 47 yard field goal good,1.5,3.0,3.0,2023,43
