Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Vikings,-4.0,8.26,3.97,1.07,-9.19,-15.21,-24.55,8.97,4.12,4.83,-0.13,3.05,0.07,-0.92,2.76,3.0,2023,41
Chargers,4.0,15.21,24.55,-8.97,-4.12,-8.26,-3.97,-1.07,9.19,-4.83,-3.05,0.13,0.92,-0.07,-2.76,3.0,2023,41
